date,open,high,low,close,volume,dividends,stock_splits
2024-03-01,1.0814809799194336,1.0896124078415577,1.0408237433745464,1.0814809799194336,320000,0.0,0.0
2024-03-04,1.0814809283882296,1.13026949359626,1.0814809283882296,1.1140066385269165,1198000,0.0,0.0
2024-03-05,1.1140066125872523,1.1140066125872523,1.0570865242356728,1.0733494758605957,158000,0.0,0.0
2024-03-06,1.0814809283882296,1.13026949359626,1.0733495008535578,1.1140066385269165,283000,0.0,0.0
2024-03-07,1.1140066815259009,1.1140066815259009,1.0652180175004389,1.1058752536773682,71000,0.0,0.0
2024-03-08,1.081481012493733,1.1140067251619066,1.081481012493733,1.0977438688278198,400000,0.0,0.0
2024-03-11,1.0977438688278198,1.1221381533289498,1.081481012493733,1.0977438688278198,86000,0.0,0.0
2024-03-12,1.1058752441009492,1.195321046594511,1.1058752441009492,1.1302695274353027,548000,0.0,0.0
2024-03-13,1.1221381026286448,1.1790581941604614,1.1221381026286448,1.1790581941604614,25000,0.0,0.0
2024-03-14,1.1627952830317252,1.1627952830317252,1.1140067144965602,1.1221381425857544,80000,0.0,0.0
2024-03-15,1.13026949359626,1.13026949359626,1.1140066385269165,1.1140066385269165,115000,0.0,0.0
2024-03-18,1.1140067144965602,1.1221381425857544,1.105875286407366,1.1221381425857544,121000,0.0,0.0
2024-03-19,1.1058752441009492,1.1302695274353027,1.1058752441009492,1.1302695274353027,56000,0.0,0.0
2024-03-20,1.13026949359626,1.13026949359626,1.1058752109922447,1.1140066385269165,90000,0.0,0.0
2024-03-21,1.105875286407366,1.1465324268533368,1.0977438583181718,1.1221381425857544,646000,0.0,0.0
2024-03-22,1.1140066475710435,1.1140066475710435,1.089612364768982,1.089612364768982,263000,0.0,0.0
2024-03-25,1.0977438898792424,1.1546638881401,1.0896124615562626,1.1384010314941406,457000,0.0,0.0
2024-03-26,1.2197153998984138,1.2359782563875759,1.1627953052520752,1.1627953052520752,1205000,0.0,0.0
2024-03-27,1.195321233092897,1.2197155202333365,1.179058374999271,1.2115840911865234,945000,0.0,0.0
2024-03-28,1.2197152636040491,1.2685038276197664,1.1953209815961907,1.2603724002838135,468000,0.0,0.0
2024-04-02,1.2603724383317119,1.3498182386616273,1.244109583168866,1.3254239559173584,514000,0.0,0.0
2024-04-03,1.3254240983419339,1.3254240983419339,1.2685040022213128,1.2766355276107788,177000,0.0,0.0
2024-04-05,1.3010298640869522,1.3416870079601193,1.3010298640869522,1.3335555791854858,397000,0.0,0.0
2024-04-08,1.333555374620716,1.3904754642459975,1.333555374620716,1.349818229675293,178000,0.0,0.0
2024-04-09,1.3335554267582095,1.341686854603409,1.3010297153774106,1.31729257106781,112000,0.0,0.0
2024-04-10,1.317292721636219,1.3416870079601193,1.317292721636219,1.3335555791854858,101000,0.0,0.0
2024-04-11,1.3010296821594238,1.3091611097970113,1.2766353992466615,1.3010296821594238,158000,0.0,0.0
2024-04-12,1.2766354842811194,1.292898340639535,1.2766354842811194,1.2847669124603271,19000,0.0,0.0
2024-04-15,1.2847669124603271,1.2847669124603271,1.2847669124603271,1.2847669124603271,0,0.0,0.0
2024-04-16,1.2847667878015112,1.2847667878015112,1.2278466991356503,1.235978126525879,94000,0.0,0.0
2024-04-17,1.2359782026933868,1.260372486367377,1.2197153469107263,1.2441096305847168,234000,0.0,0.0
2024-04-18,1.2441097168557353,1.2847669560659714,1.2197154314901577,1.2766355276107788,257000,0.0,0.0
2024-04-19,1.2766354842811194,1.2847669124603271,1.1546638677244638,1.2847669124603271,169000,0.0,0.0
2024-04-22,1.2766355276107788,1.2847669560659714,1.2685040022213128,1.2766355276107788,87000,0.0,0.0
2024-04-23,1.2766355276107788,1.3010298129763562,1.2766355276107788,1.2766355276107788,68000,0.0,0.0
2024-04-24,1.2603725737661204,1.2847669560659714,1.2603725737661204,1.2766355276107788,112000,0.0,0.0
2024-04-25,1.276635441496487,1.30102972521657,1.2685039166555256,1.2928982973098755,154000,0.0,0.0
2024-04-26,1.3010298640869522,1.3660812942840195,1.3010298640869522,1.3335555791854858,175000,0.0,0.0
2024-04-29,1.3172925195661391,1.3579496572025815,1.3172925195661391,1.349818229675293,72000,0.0,0.0
2024-04-30,1.317292721636219,1.3498184367347528,1.317292721636219,1.3335555791854858,27000,0.0,0.0
