date,open,high,low,close,volume,dividends,stock_splits,capital_gains
2024-03-01,0.7070000171661377,0.7070000171661377,0.7070000171661377,0.7070000171661377,0,0.0,0.0,0.0
2024-03-04,0.7120000123977661,0.7120000123977661,0.7120000123977661,0.7120000123977661,3000,0.0,0.0,0.0
2024-03-05,0.7080000042915344,0.7080000042915344,0.7080000042915344,0.7080000042915344,4000,0.0,0.0,0.0
2024-03-06,0.7080000042915344,0.7080000042915344,0.7080000042915344,0.7080000042915344,0,0.0,0.0,0.0
2024-03-07,0.6919999718666077,0.6919999718666077,0.6919999718666077,0.6919999718666077,0,0.0,0.0,0.0
2024-03-08,0.6970000267028809,0.6970000267028809,0.6970000267028809,0.6970000267028809,0,0.0,0.0,0.0
2024-03-11,0.6990000009536743,0.7099999785423279,0.6990000009536743,0.7129999995231628,89200,0.0,0.0,0.0
2024-03-12,0.7110000252723694,0.7149999737739563,0.7110000252723694,0.7149999737739563,47600,0.0,0.0,0.0
2024-03-13,0.7120000123977661,0.7120000123977661,0.7120000123977661,0.7120000123977661,0,0.0,0.0,0.0
2024-03-14,0.7039999961853027,0.7039999961853027,0.7039999961853027,0.7039999961853027,0,0.0,0.0,0.0
2024-03-15,0.6940000057220459,0.6990000009536743,0.6930000185966492,0.7039999961853027,47200,0.0,0.0,0.0
2024-03-18,0.7200000286102295,0.7200000286102295,0.7200000286102295,0.7200000286102295,165000,0.0,0.0,0.0
2024-03-19,0.7070000171661377,0.7070000171661377,0.7070000171661377,0.7070000171661377,0,0.0,0.0,0.0
2024-03-20,0.7070000171661377,0.7070000171661377,0.7070000171661377,0.7070000171661377,0,0.0,0.0,0.0
2024-03-21,0.7020000219345093,0.7020000219345093,0.7020000219345093,0.7020000219345093,0,0.0,0.0,0.0
2024-03-22,0.6840000152587891,0.6840000152587891,0.6840000152587891,0.6840000152587891,6000,0.0,0.0,0.0
2024-03-25,0.6740000247955322,0.675000011920929,0.6740000247955322,0.6740000247955322,56400,0.0,0.0,0.0
2024-03-26,0.6669999957084656,0.6669999957084656,0.6669999957084656,0.6669999957084656,3000,0.0,0.0,0.0
2024-03-27,0.6489999890327454,0.6489999890327454,0.6489999890327454,0.6489999890327454,1000,0.0,0.0,0.0
2024-03-28,0.6579999923706055,0.6579999923706055,0.6579999923706055,0.6579999923706055,0,0.0,0.0,0.0
2024-04-02,0.6610000133514404,0.6610000133514404,0.6610000133514404,0.6629999876022339,40600,0.0,0.0,0.0
2024-04-03,0.652999997138977,0.652999997138977,0.652999997138977,0.652999997138977,0,0.0,0.0,0.0
2024-04-05,0.6499999761581421,0.6499999761581421,0.6499999761581421,0.6499999761581421,0,0.0,0.0,0.0
