issueID,issuer,name1,typeID,typeShort,typeLong,expmat
25477,2696098,"1957 & Co. (Hospitality) Limited",0,O,"Ordinary shares",NULL
28420,22235644,"360 LUDASHI HOLDINGS LIMITED",0,O,"Ordinary shares",NULL
5141,49735,"361 Degrees International Limited",0,O,"Ordinary shares",NULL
33714,26873434,"3D Medicines Inc.",0,O,"Ordinary shares",NULL
2177,8377,"3D-GOLD Jewellery Holdings Limited",0,O,"Ordinary shares",NULL
3324,17952,"3DG HOLDINGS (INTERNATIONAL) LIMITED",0,O,"Ordinary shares",NULL
10308,17952,"3DG HOLDINGS (INTERNATIONAL) LIMITED",1,Wrnt,Warrant,2018-01-31
14137,2369728,"3SBio Inc.",0,O,"Ordinary shares",NULL
26697,12141986,"51 Credit Card Inc.",0,O,"Ordinary shares",NULL
26694,12821918,"7Road Holdings Limited",0,O,"Ordinary shares",NULL
2475,10458,"8088 Investment Holdings Limited",0,O,"Ordinary shares",NULL
26087,2623231,"A & S Group (Holdings) Limited",0,O,"Ordinary shares",NULL
9633,153116,"A Metaverse Company",0,O,"Ordinary shares",NULL
25915,12053154,"A-Living Smart City Services Co., Ltd.",6,H,H-share,NULL
3393,18167,"A-S CHINA PLUMBING PRODUCTS LIMITED",0,O,"Ordinary shares",NULL
19664,2426208,"A.Plus Group Holdings Limited",0,O,"Ordinary shares",NULL
4987,45572,"A8 New Media Group Limited",0,O,"Ordinary shares",NULL
4613,28231,"AAC TECHNOLOGIES HOLDINGS INC.",0,O,"Ordinary shares",NULL
14157,2379725,"AAG Energy Holdings Limited",0,O,"Ordinary shares",NULL
26783,10403056,"AB Builders Group Limited",0,O,"Ordinary shares",NULL
32393,26926478,"Abbisko Cayman Limited",0,O,"Ordinary shares",NULL
2867,12759,"ABC MULTIACTIVE LIMITED",0,O,"Ordinary shares",NULL
5284,51808,"ABF Hong Kong Bond Index Fund",10,Unit,Unit,NULL
5285,51809,"ABF Pan Asia Bond Index Fund",10,Unit,Unit,NULL
22500,2631633,"Able Engineering Holdings Limited",0,O,"Ordinary shares",NULL
28430,22488385,"Accel Group Holdings Limited",0,O,"Ordinary shares",NULL
4745,34306,"Aceso Life Science Group Limited",0,O,"Ordinary shares",NULL
28567,22926328,"Acme International Holdings Limited",0,O,"Ordinary shares",NULL
31946,25683871,"Acotec Scientific Holdings Limited",0,O,"Ordinary shares",NULL
2527,10928,"ACROSSASIA LIMITED",0,O,"Ordinary shares",NULL
28896,23789087,"Activation Group Holdings Limited (KY)",0,O,"Ordinary shares",NULL
9247,153237,"Add New Energy Investment Holdings Group Limited",0,O,"Ordinary shares",NULL
34373,25633404,"ADICON Holdings Limited",0,O,"Ordinary shares",NULL
29411,23501100,"ADTIGER CORPORATIONS LIMITED",0,O,"Ordinary shares",NULL
4721,33117,"Advanced Semiconductor Manufacturing Corporation Limited",6,H,H-share,NULL
392,3034,"AEON CREDIT SERVICE (ASIA) COMPANY LIMITED",0,O,"Ordinary shares",NULL
393,3035,"AEON STORES (HONG KONG) CO., LIMITED",0,O,"Ordinary shares",NULL
22330,2596576,"Aeso Holding Limited",0,O,"Ordinary shares",NULL
26488,11729067,"Affluent Foundation Holdings Limited",0,O,"Ordinary shares",NULL
4684,31047,"Agile Group Holdings Limited (KY)",0,O,"Ordinary shares",NULL
6068,5608,"AGRICULTURAL BANK OF CHINA LIMITED",6,H,H-share,NULL
386,3003,"Agritrade Resources Limited",0,O,"Ordinary shares",NULL
3463,18285,"AGTech Holdings Limited",0,O,"Ordinary shares",NULL
16060,2423427,"Ahsay Backup Software Development Company Limited",0,O,"Ordinary shares",NULL
30438,22911671,"AI X Tech Inc.",0,O,"Ordinary shares",NULL
34312,61400,"AIA Group Limited",0,O,"Ordinary shares",NULL
6325,61400,"AIA Group Limited",0,O,"Ordinary shares",NULL
118,879,"Aidigong Maternal & Child Health Limited (BM)",0,O,"Ordinary shares",NULL
33489,26983485,"AIM Vaccine Co., Ltd.",6,H,H-share,NULL
32755,26786455,"AINNOVATION TECHNOLOGY GROUP CO., LTD",6,H,H-share,NULL
4544,23809,"Air China Limited",6,H,H-share,NULL
5262,51666,"AirPower Technologies Limited",0,O,"Ordinary shares",NULL
4836,38719,"Ajisen (China) Holdings Limited",0,O,"Ordinary shares",NULL
25532,2554625,"AK Medical Holdings Limited",0,O,"Ordinary shares",NULL
29178,24282014,"Akeso, Inc.",0,O,"Ordinary shares",NULL
3649,22014,"AKM INDUSTRIAL COMPANY LIMITED",0,O,"Ordinary shares",NULL
940,4754,"ALCO HOLDINGS LIMITED (BM)",0,O,"Ordinary shares",NULL
34318,1852090,"Alibaba Group Holding Limited (KY)",0,O,"Ordinary shares",NULL
11742,1852090,"Alibaba Group Holding Limited (KY)",0,O,"Ordinary shares",NULL
1237,777,"Alibaba Health Information Technology Limited",0,O,"Ordinary shares",NULL
1099,4875,"Alibaba Pictures Group Limited",0,O,"Ordinary shares",NULL
4926,41418,"Alibaba.com Limited",0,O,"Ordinary shares",NULL
13023,2329101,"All Nation International Group Limited (KY)",0,O,"Ordinary shares",NULL
941,2949,"ALLAN INTERNATIONAL HOLDINGS LIMITED",0,O,"Ordinary shares",NULL
2523,10902,"Allegro Culture Limited",0,O,"Ordinary shares",NULL
27704,17470427,"Alliance International Education Leasing Holdings Limited",0,O,"Ordinary shares",NULL
243,2117,"ALLIED GROUP LIMITED (HK)",0,O,"Ordinary shares",NULL
244,2120,"ALLIED PROPERTIES (H.K.) LIMITED",0,O,"Ordinary shares",NULL
6947,2120,"ALLIED PROPERTIES (H.K.) LIMITED",1,Wrnt,Warrant,2016-06-13
4729,2120,"ALLIED PROPERTIES (H.K.) LIMITED",1,Wrnt,Warrant,2009-06-06
