2023-09-28,6,2000
2023-10-03,6,21000
2023-10-04,6,26000
2023-10-05,6,46000
2023-10-06,6,36000
2023-10-09,6,26000
2023-10-10,6,36000
2023-10-12,6,26000
2023-10-16,6,6000
2023-11-06,6,1000
2023-12-07,6,0
2023-09-28,7,3000000
2023-09-29,7,0
2023-09-28,9,3000
2024-06-14,9,2000
2024-10-24,9,18000
2024-10-30,9,2000
2024-11-29,9,0
2023-10-03,10,500
2023-10-04,10,10000
2023-10-05,10,20000
2023-10-06,10,10000
2023-10-09,10,0
2023-10-16,10,3000
2024-01-23,10,6500
2024-01-24,10,4500
2024-01-25,10,5500
2024-09-19,10,9000
2024-10-10,10,19000
2024-11-27,10,13000
2024-11-29,10,7000
2024-12-03,10,10000
2025-01-17,10,13500
2025-01-22,10,23500
2025-04-23,10,17000
2023-09-28,17,25000
2023-10-03,17,52500
2023-10-04,17,53500
2023-10-05,17,67500
2023-10-06,17,65500
2023-10-09,17,63500
2023-10-10,17,93000
2023-10-11,17,93500
2023-10-13,17,98500
2023-10-16,17,115500
2023-10-17,17,133500
2023-10-18,17,135500
2023-10-19,17,140500
2023-10-20,17,130500
2023-10-24,17,123500
2023-10-25,17,125000
2023-10-26,17,137000
2023-10-30,17,110500
2023-10-31,17,113500
2023-11-06,17,123500
2023-11-07,17,124000
2023-11-08,17,110500
2023-11-09,17,105500
2023-11-16,17,95500
2023-12-06,17,97500
2023-12-14,17,90500
2023-12-20,17,99500
2023-12-21,17,102000
2023-12-22,17,104000
2023-12-28,17,105000
2023-12-29,17,111500
2024-01-10,17,121500
2024-01-18,17,141000
2024-01-19,17,155000
2024-01-23,17,158000
2024-02-01,17,178000
2024-02-06,17,177500
2024-02-07,17,158000
2024-02-20,17,179500
2024-02-21,17,203000
2024-02-26,17,203500
2024-02-27,17,216000
2024-02-29,17,240000
2024-03-01,17,263000
2024-03-04,17,307000
2024-03-05,17,351000
2024-03-06,17,353500
2024-03-07,17,392000
2024-03-08,17,393000
2024-03-11,17,396000
2024-03-13,17,412000
2024-03-14,17,434000
2024-03-15,17,442500
2024-03-22,17,445500
2024-03-25,17,473500
2024-03-27,17,550000
2024-03-28,17,575500
2024-04-02,17,633000
2024-04-03,17,706000
2024-04-05,17,720500
2024-04-08,17,762500
2024-04-10,17,766500
2024-04-11,17,802500
2024-04-12,17,862500
2024-04-15,17,864000
2024-04-16,17,913500
2024-04-17,17,937000
2024-04-19,17,957000
2024-04-22,17,960000
2024-04-23,17,970000
2024-04-24,17,1000000
2024-04-25,17,1006000
2024-04-26,17,1051000
2024-04-29,17,1039000
2024-04-30,17,1065500
2024-05-02,17,1083500
2024-05-07,17,1139000
2024-05-08,17,1144000
2024-05-09,17,1141000
2024-05-10,17,1148000
2024-05-13,17,1175000
2024-05-17,17,1195000
2024-05-23,17,1188500
2024-05-29,17,1178500
2024-06-05,17,1170500
2024-06-06,17,1160500
2024-06-11,17,1150000
2024-06-14,17,1140000
2024-06-17,17,1130000
2024-06-18,17,1120000
2024-06-19,17,1110000
2024-06-21,17,1090000
2024-06-24,17,1080000
2024-06-25,17,1070000
2024-06-26,17,1085000
2024-06-27,17,1071000
2024-06-28,17,1059000
2024-07-02,17,1029000
2024-07-03,17,972500
2024-07-04,17,942500
2024-07-05,17,902500
2024-07-08,17,857500
2024-07-09,17,792500
2024-07-10,17,744000
2024-07-11,17,704000
2024-07-15,17,604000
2024-07-16,17,504000
2024-07-17,17,423000
2024-07-19,17,419000
2024-07-22,17,372500
2024-07-23,17,363000
2024-08-13,17,367000
2024-08-15,17,370000
2024-08-16,17,378500
2024-09-17,17,392500
2024-09-19,17,400500
2024-09-24,17,464000
2024-09-25,17,456000
2024-10-04,17,446000
2024-10-08,17,438000
2024-10-09,17,405000
2024-10-14,17,415000
2024-10-17,17,416000
2024-10-18,17,431000
2024-10-24,17,441000
2024-10-25,17,467000
2024-10-29,17,477500
2024-10-30,17,488000
2024-10-31,17,498500
2024-11-12,17,509000
2024-11-13,17,535000
2024-11-14,17,545000
2024-11-15,17,530000
2024-11-19,17,540000
2024-11-20,17,550000
2024-11-21,17,556000
2024-11-22,17,592500
2024-11-25,17,566000
2024-11-26,17,851500
2024-11-27,17,1231000
2024-11-29,17,1235500
2024-12-02,17,1220500
2024-12-03,17,1206000
2024-12-04,17,1196000
2024-12-05,17,1174000
2024-12-06,17,1145000
2024-12-09,17,1125000
2024-12-10,17,1105000
2024-12-11,17,1069000
2024-12-12,17,1039000
2024-12-13,17,983000
2024-12-17,17,925000
2024-12-18,17,883500
2024-12-19,17,846000
2024-12-20,17,804500
2024-12-23,17,765000
2024-12-27,17,687500
2024-12-30,17,591500
2025-01-02,17,560500
2025-01-03,17,113000
2025-01-06,17,65000
2025-01-08,17,70000
2025-02-07,17,40000
2025-03-07,17,49500
2025-03-12,17,85000
2025-03-21,17,87500
2025-04-02,17,137500
2025-04-09,17,144500
2025-04-10,17,155000
2025-04-14,17,190000
2025-04-15,17,200500
2025-04-16,17,235500
2025-04-17,17,238500
2025-04-22,17,251500
2025-04-23,17,256500
2025-04-25,17,246500
2025-04-28,17,238000
2025-04-30,17,270000
2025-05-02,17,273000
2023-09-28,22,1500
2023-10-06,22,28000
2023-10-09,22,48500
2023-10-10,22,1500
2023-10-27,22,1000
2023-09-28,24,5500
2023-10-03,24,13500
2023-10-10,24,14000
2023-10-11,24,15000
2023-10-16,24,20000
2023-10-17,24,48500
2023-10-18,24,68500
2023-10-19,24,78500
2023-10-26,24,108500
2023-11-16,24,128500
2023-11-23,24,148500
2023-12-01,24,149500
2023-12-04,24,149000
2023-12-06,24,154500
2023-12-07,24,175000
2023-12-08,24,178500
2023-12-13,24,180500
2024-01-02,24,181000
2024-01-03,24,183500
2024-01-09,24,186000
2024-01-11,24,187000
2024-01-12,24,188500
