date,ABN AMRO CLEARING HONG KONG LTD,BNP PARIBAS,BANK OF CHINA (HONG KONG) LTD,CHINA CITIC BANK INTERNATIONAL LTD,CITIBANK N.A.,FUTU SECURITIES INTERNATIONAL,HANG SENG SECURITIES LTD,MIRAE ASSET SECURITIES (HK) LTD,THE HONGKONG AND SHANGHAI BANKING
2024-05-20,17250.0,113940.0,0.0,0.0,4315600.0,4590.0,0.0,0.0,190320420.0
2024-10-04,1352560.0,491860.0,60660.0,0.0,0.0,6530.0,0.0,0.0,201556990.0
2024-10-07,1260180.0,530870.0,0.0,0.0,4324890.0,7080.0,0.0,0.0,201617710.0
2024-10-10,1167300.0,525980.0,0.0,0.0,4314890.0,5850.0,0.0,0.0,201689920.0
2024-10-14,1835560.0,642120.0,100560.0,0.0,0.0,5750.0,0.0,0.0,199960420.0
2024-11-18,1174150.0,79500.0,0.0,0.0,0.0,6380.0,0.0,247740.0,193314760.0
2024-11-20,2706740.0,135770.0,0.0,0.0,0.0,6420.0,0.0,121530.0,190002070.0
2024-11-26,66690.0,11820.0,0.0,0.0,0.0,10390.0,0.0,397520.0,192248320.0
2024-12-10,1490140.0,43160.0,0.0,0.0,0.0,11710.0,0.0,532570.0,188506320.0
2024-12-11,1636370.0,63090.0,0.0,0.0,0.0,5950.0,0.0,72230.0,187806320.0
2024-12-12,7221930.0,68090.0,0.0,0.0,0.0,5960.0,0.0,67350.0,182340450.0
2024-12-13,1306990.0,38090.0,90560.0,0.0,0.0,11960.0,0.0,91190.0,182515450.0
2024-12-27,559030.0,88260.0,0.0,0.0,0.0,12080.0,0.0,718380.0,182536450.0
2025-01-03,149150.0,23100.0,80560.0,0.0,0.0,12170.0,0.0,1530.0,183207450.0
2025-01-08,295800.0,51490.0,0.0,0.0,0.0,12350.0,0.0,223280.0,183128910.0
2025-01-10,319680.0,51490.0,0.0,0.0,0.0,9460.0,0.0,482310.0,182318920.0
2025-01-22,2140200.0,188070.0,0.0,0.0,0.0,5330.0,0.0,233520.0,179569920.0
2025-02-06,3232640.0,197260.0,180500.0,0.0,0.0,4710.0,0.0,61190.0,177771920.0
2025-02-10,2675560.0,222800.0,100500.0,0.0,0.0,4590.0,0.0,11550.0,178431920.0
2025-02-11,1653460.0,210960.0,0.0,0.0,0.0,4150.0,0.0,1201530.0,179476720.0
2025-02-19,3401370.0,243250.0,90500.0,0.0,0.0,0.0,0.0,14760.0,175841920.0
2025-02-27,201900.0,131800.0,60500.0,0.0,0.0,5090.0,0.0,81090.0,177021620.0
2025-03-03,989050.0,153810.0,0.0,0.0,0.0,5080.0,0.0,223780.0,174618960.0
2025-03-20,1616870.0,317680.0,40500.0,0.0,0.0,0.0,0.0,31280.0,173435850.0
2025-03-21,699880.0,209260.0,0.0,0.0,0.0,5080.0,0.0,22300.0,173569250.0
2025-03-25,1353620.0,217360.0,20500.0,0.0,0.0,5070.0,0.0,99760.0,171949250.0
2025-04-09,373170.0,173220.0,0.0,0.0,0.0,7310.0,12470.0,244270.0,173422340.0
2025-04-15,451680.0,111820.0,0.0,0.0,0.0,7610.0,0.0,7590.0,175418340.0
