date,ABCI SECURITIES CO LTD,KINGKEY SECURITIES GROUP LTD,CHINA INTERNATIONAL CAPITAL CORPORATION,CITIBANK N.A.,PHILLIP SECURITIES (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING
2024-03-01,0.0,73.49369526324328,0.0,0.0,0.0,26.506304736756714
2024-03-04,0.0,73.5131987739502,0.0,0.0,0.0,26.486801226049806
2024-03-06,0.0,73.56992042651953,0.0,0.0,0.0,26.430079573480462
2024-03-07,0.0,73.84517314380142,0.0,0.0,0.0,26.154826856198575
2024-03-08,0.0,54.65218820442664,0.0,25.990845606116427,0.0,19.35696618945693
2024-03-13,0.0,55.03927159948764,0.0,26.080837293372948,0.0,18.87989110713941
2024-03-14,0.0,55.0493780108121,0.0,26.074974762254122,0.0,18.875647226933776
2024-03-19,0.0,55.109921193755504,0.0,26.039854848503975,0.0,18.850223957740518
2024-03-20,0.0,54.83909463554192,0.0,25.91188725007088,0.0,19.249018114387194
2024-03-25,0.0,54.84169171647498,0.0,25.90837857024551,0.0,19.249929713279503
2024-03-26,0.0,54.859842480975374,0.0,25.89796505176154,0.0,19.242192467263088
2024-03-27,0.0,54.88402081550585,0.0,25.8840933752523,0.0,19.231885809241856
2024-04-03,0.0,58.03666603255536,0.0,27.370926190425664,0.0,14.592407777018975
2024-04-05,0.0,58.49910805754494,0.0,26.89083067429156,0.0,14.610061268163502
2024-04-08,0.0,58.7860302907163,0.0,26.621837429567208,0.0,14.592132279716497
2024-04-09,0.0,51.108912810057724,0.0,23.145178562025727,13.059424905360492,12.686483722556051
2024-04-10,0.0,51.108911971158996,0.0,23.145179823516308,13.059424691003848,12.686483514320845
2024-04-16,0.0,51.114929946451014,0.0,23.14233089693433,13.057817214093697,12.684921942520955
2024-04-17,0.0,51.33291187918866,0.0,22.995902319417848,13.021522295054638,12.649663506338857
2024-04-18,0.0,51.41802270149457,0.0,22.92548806351908,13.014067568630546,12.642421666355801
2024-04-19,0.0,51.46438673435253,0.0,22.876395940817655,13.015451372362651,12.64376595246716
2024-04-24,0.0,51.551567464027514,0.0,22.83530485828536,12.992072734052648,12.621054943634476
2024-04-25,0.0,51.626891183885434,0.0,22.76311758566533,12.99048179400214,12.619509436447093
2024-04-30,0.0,51.62188252824219,0.0,22.7501169141403,12.983062556012435,12.64493800160507
2024-05-02,0.0,51.86732854448676,0.0,22.63469436656115,12.917193085483996,12.580784003468093
2024-05-03,0.0,52.04833067595174,0.0,22.549576964980965,12.868618190089334,12.533474168977962
2024-05-06,0.0,52.187529144823955,0.0,22.48411800116409,12.831261994281917,12.497090859730035
2024-05-07,0.0,52.30291201731559,0.0,22.42985847276044,12.800297104994405,12.466932404929564
2024-05-08,0.0,52.341249320355466,0.0,22.411830112586255,12.790008659936861,12.456911907121418
2024-05-10,0.0,52.41773933781694,0.0,22.375860196207658,12.769481307209826,12.43691915876558
2024-05-17,0.0,52.49198766687261,0.0,22.330126777636718,12.738813526732912,12.439072028757764
