date,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,CHINA MERCHANTS BANK CO LTD,CMB WING LUNG BANK LTD,BANK OF CHINA (HONG KONG) LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,ICBC (ASIA) SECURITIES LTD
2024-10-07,35330000.0,14438000.0,6272000.0,0.0,0.0,0.0,0.0,26436000.0,5838000.0
2024-10-08,36026000.0,13658000.0,6132000.0,12098000.0,0.0,0.0,0.0,26536000.0,5998000.0
2025-04-03,36192000.0,14574000.0,0.0,10602000.0,7414000.0,6298000.0,0.0,0.0,0.0
2025-05-02,36412000.0,16632000.0,10582000.0,10522000.0,5822000.0,0.0,0.0,0.0,0.0
