date,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,PHILLIP SECURITIES (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,BRIGHT SMART SECURITIES INTERNATIONAL,IFAST SECURITIES (HK) LTD,DBS BANK LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,REALINK FINANCIAL TRADE LTD
2024-03-01,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2024-03-05,0.0,45.00494559841741,0.0,0.0,0.0,54.995054401582586,0.0,0.0,0.0,0.0
2024-03-06,0.0,31.404174573055027,0.0,30.205278592375368,0.0,38.390546834569605,0.0,0.0,0.0,0.0
2024-03-07,0.0,27.19737136882981,0.0,26.151893062504666,0.0,33.23874243895153,0.0,0.0,13.411993129713986,0.0
2024-03-11,0.0,27.091396248883598,0.0,26.39178326883001,0.0,33.17207502232807,0.0,0.0,13.344745459958322,0.0
2024-03-12,0.0,27.11574246371418,0.0,26.393747673985857,0.0,33.14477112020841,0.0,0.0,13.345738742091552,0.0
2024-03-13,0.0,27.13605239654659,0.0,26.39178326883001,0.0,33.127418874665075,0.0,0.0,13.344745459958322,0.0
2024-03-14,0.0,27.112335293679745,0.0,26.397677361721133,0.0,33.14226159458051,0.0,0.0,13.34772575001861,0.0
2024-03-15,0.0,27.122430741733687,0.0,26.370271075364908,0.0,33.15460232350313,0.0,0.0,13.352695859398272,0.0
2024-03-19,0.0,27.124450733596483,0.0,26.372235048782304,0.0,33.14962389215759,0.0,0.0,13.353690325463619,0.0
2024-03-25,0.0,27.122430741733687,0.0,26.370271075364908,0.0,33.15460232350313,0.0,0.0,13.352695859398272,0.0
2024-03-26,0.0,27.12179868969625,0.0,26.362418106015483,0.0,33.167063728409765,0.0,0.0,13.348719475878498,0.0
2024-03-27,0.0,20.988650112346605,22.613354842426688,20.400990954658063,0.0,25.666877916690673,0.0,0.0,10.330126173877973,0.0
2024-04-02,0.0,20.959843290891282,22.613354842426688,20.435559140404447,0.0,25.66111655239961,0.0,0.0,10.330126173877973,0.0
2024-04-10,32.218927986268234,14.254505734571273,15.311695404540846,13.83709136303347,0.0,17.383162986658345,0.0,0.0,6.99461652492783,0.0
2024-04-19,32.186282151208104,14.341387373343725,15.296180826188621,13.823070927513639,0.0,17.365549493374903,0.0,0.0,6.987529228371006,0.0
2024-04-25,32.186282151208104,14.349181605611847,15.296180826188621,13.823070927513639,0.0,17.365549493374903,0.0,0.0,6.979734996102883,0.0
2024-04-30,32.18126558603491,14.358634663341647,15.293796758104738,13.820916458852867,0.0,17.366739401496257,0.0,0.0,6.978647132169575,0.0
2024-05-07,32.118690207668976,14.521272458582873,15.264058489538773,13.794042156023956,0.0,17.33685929843665,0.0,0.0,6.9650773897487746,0.0
2024-05-08,32.09622260220737,14.58106637649619,15.25338100419711,13.78439297372921,0.0,17.324731851391263,0.0,0.0,6.960205191978859,0.0
2024-05-10,32.091234069008394,14.598228162884674,15.251010258004353,13.78225054398508,0.0,17.329810382343798,0.0,0.0,6.947466583773703,0.0
2024-05-13,32.084646205313724,14.52133660092582,15.268214883105768,13.821138211382115,0.0,17.349360096471777,0.0,0.0,6.955304002800794,0.0
2024-05-17,32.07936199183038,14.52246644621669,15.269402839914415,13.822213577125073,0.0,17.350709978603383,0.0,0.0,6.9558451663100564,0.0
2024-05-24,30.552056317154502,13.679140422378659,14.542423119673952,13.164134864764728,0.0,16.51352352723231,0.0,0.0,6.624675805854021,4.92404594294183
2024-05-28,30.55998221102175,13.68639513767928,14.546195752881443,13.130489567505466,0.0,16.525219582700217,0.0,0.0,6.626394396471853,4.925323351739984
2024-05-31,28.419782870928827,12.731345855591936,13.527485783215578,12.210925383422367,0.0,15.371359641564709,6.996381182147165,0.0,6.162329829398587,4.580389453730828
2024-06-03,28.433502293024375,12.75818075238785,13.534016068411434,12.21682010965139,0.0,15.406365297748353,6.999758629012792,0.0,6.0687562497844905,4.582600599979311
2024-06-04,28.40838562857734,12.764636921591615,13.53354941038549,12.216398869043514,0.0,15.412730156540928,6.999517274670712,0.0,6.068546996758844,4.596234742431556
