date,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,VALUABLE CAPITAL LTD,UOB KAY HIAN (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,BRIGHT SMART SECURITIES INTERNATIONAL,CELESTIAL SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,TOTAL_CCASS_PCT
2024-03-05,0.0,0.06958109922817196,0.0,0.0,0.0,0.0,0.0,0.0,0.06958109922817196
2024-03-06,0.0,0.0692557777294025,0.046586038623786616,0.0,0.0,0.0,0.0,0.0,0.11584181635318912
2024-03-07,0.0,0.06906058483014083,0.046586038623786616,0.0,0.0,0.0,0.0,0.0,0.11564662345392744
2024-03-08,0.0,0.06899552053038693,0.046586038623786616,0.0,0.0,0.0,0.0,0.0,0.11558155915417355
2024-03-11,0.0,0.06899552053038693,0.046520974324032724,0.0,0.0,0.0,0.0,0.0,0.11551649485441964
2024-03-12,0.0,0.06857260258198664,0.046520974324032724,0.0,0.0,0.0,0.0,0.0,0.11509357690601936
2024-03-14,0.0,0.06863766688174053,0.046455910024278825,0.0,0.0,0.0,0.0,0.0,0.11509357690601936
2024-03-15,0.0,0.06876779548124831,0.046455910024278825,0.0,0.0,0.0,0.0,0.0,0.11522370550552716
2024-03-18,0.0938270437678308,0.06873526333137137,0.04678123152304829,0.0,0.0,0.0,0.0,0.0,0.20934353862225044
2024-03-19,0.0938270437678308,0.06863766688174053,0.04678123152304829,0.0,0.0,0.0,0.0,0.0,0.2092459421726196
2024-03-20,0.0938270437678308,0.06844247398247885,0.04678123152304829,0.0,0.0,0.005531256010322823,0.0,0.0,0.21458200528368077
2024-03-21,0.0938270437678308,0.06896298838050999,0.046455910024278825,0.0,0.0,0.005856577509092283,0.0,0.0,0.2151025196817119
2024-04-02,0.09356678656881523,0.06886539193087915,0.04606552422575547,0.0,0.0,0.006019238258477012,0.0,0.0,0.21451694098392685
2024-04-03,0.09356678656881523,0.0688979240807561,0.04606552422575547,0.0,0.0,0.006019238258477012,0.0,0.0,0.21454947313380382
2024-04-09,0.09356678656881523,0.0688979240807561,0.04626071712501715,0.0,0.0,0.006019238258477012,0.0,0.0,0.21474466603306547
2024-04-10,0.09356678656881523,0.06948350277854112,0.04626071712501715,0.0,0.0,0.006019238258477012,0.0,0.0,0.2153302447308505
2024-04-15,0.09356678656881523,0.06958109922817196,0.04626071712501715,0.0,0.0,0.006019238258477012,0.0,0.0,0.21542784118048136
2024-04-16,0.09356678656881523,0.06935337417903334,0.046520974324032724,0.0,0.0,0.006019238258477012,0.0,0.009606382751798507,0.22506675608215682
2024-04-17,0.09356678656881523,0.06938590632891029,0.046520974324032724,0.0,0.0,0.006019238258477012,0.0,0.009606382751798507,0.22509928823203373
2024-04-18,0.09356678656881523,0.06941843847878723,0.046520974324032724,0.0,0.0,0.006019238258477012,0.0,0.009606382751798507,0.2251318203819107
2024-04-19,0.09356678656881523,0.06915818127977166,0.0466511029235405,0.0,0.0,0.006019238258477012,0.0,0.009606382751798507,0.22500169178240292
2024-04-22,0.09356678656881523,0.06919071342964861,0.04671616722329439,0.0,0.0,0.006019238258477012,0.0,0.009606382751798507,0.22509928823203373
2024-04-23,0.09356678656881523,0.0693208420291564,0.04671616722329439,0.0,0.0,0.006019238258477012,0.0,0.009606382751798507,0.22522941683154152
2024-04-24,0.09356678656881523,0.06951603492841807,0.04671616722329439,0.0,0.0,0.006019238258477012,0.0,0.009606382751798507,0.2254246097308032
2024-04-25,0.09356678656881523,0.06945097062866418,0.046748699373171346,0.0,0.0,0.006019238258477012,0.0,0.009606382751798507,0.22539207758092628
2024-04-26,0.09356678656881523,0.06948350277854112,0.046748699373171346,0.0,0.0,0.005856577509092283,0.0,0.009606382751798507,0.2252619489814185
2024-04-30,0.09356678656881523,0.06974375997755669,0.046748699373171346,0.0,0.0,0.005856577509092283,0.0,0.009606382751798507,0.22552220618043406
2024-05-07,0.0940547688169694,0.07013414577608004,0.046748699373171346,0.0,0.010667659557944189,0.005856577509092283,0.0,0.009606382751798507,0.23706823378505576
2024-05-08,0.0940547688169694,0.0704594672748495,0.046748699373171346,0.0,0.01034233805917473,0.005856577509092283,0.0,0.009606382751798507,0.23706823378505576
2024-05-13,0.09438009031573887,0.06893045623063304,0.046748699373171346,0.0,0.01034233805917473,0.005856577509092283,0.0,0.009606382751798507,0.23586454423960876
2024-05-14,0.09438009031573887,0.06896298838050999,0.046748699373171346,0.0,0.01034233805917473,0.005856577509092283,0.0,0.009606382751798507,0.23589707638948573
2024-05-17,0.09438009031573887,0.06948350277854112,0.046748699373171346,0.0,0.01034233805917473,0.005856577509092283,0.0,0.009606382751798507,0.23641759078751687
2024-05-21,0.09317640077029186,0.06854007043210969,0.04600045992600159,0.0,0.01034233805917473,0.005856577509092283,0.018478261130105304,0.009606382751798507,0.25200049057857393
2024-05-22,0.09317640077029186,0.0688328597810022,0.04596792777612464,0.0,0.01034233805917473,0.005856577509092283,0.018478261130105304,0.009606382751798507,0.25226074777758956
2024-05-27,0.09317640077029186,0.06971122782767974,0.04596792777612464,0.0,0.01034233805917473,0.005856577509092283,0.018478261130105304,0.009606382751798507,0.25313911582426707
2024-05-28,0.09317640077029186,0.06954856707829501,0.04596792777612464,0.0,0.01034233805917473,0.005856577509092283,0.018478261130105304,0.009606382751798507,0.25297645507488237
2024-05-30,0.09317640077029186,0.06928830987927945,0.04567513842723212,0.0,0.01034233805917473,0.006507220506631201,0.018478261130105304,0.009606382751798507,0.2530740515245132
2024-06-03,0.09317640077029186,0.06906058483014083,0.04567513842723212,0.0,0.01034233805917473,0.006507220506631201,0.018478261130105304,0.009606382751798507,0.2528463264753746
2024-06-04,0.09317640077029186,0.06915818127977166,0.04567513842723212,0.0,0.01034233805917473,0.006507220506631201,0.018478261130105304,0.009606382751798507,0.2529439229250054
2024-06-07,0.09317640077029186,0.0696786956778028,0.04567513842723212,0.0,0.01034233805917473,0.006507220506631201,0.018478261130105304,0.009606382751798507,0.25346443732303653
2024-06-14,0.09317640077029186,0.06977629212743364,0.04564260627735518,0.0,0.01034233805917473,0.006507220506631201,0.018478261130105304,0.009606382751798507,0.2535295016227904
2024-06-18,0.09317640077029186,0.06977629212743364,0.04564260627735518,0.0,0.01034233805917473,0.0066698812560159314,0.018478261130105304,0.009606382751798507,0.2536921623721751
2024-06-19,0.09317640077029186,0.06987388857706447,0.04564260627735518,0.0,0.01034233805917473,0.0066698812560159314,0.018478261130105304,0.009606382751798507,0.253789758821806
2024-06-21,0.09317640077029186,0.07006908147632615,0.04564260627735518,0.0,0.01034233805917473,0.0066698812560159314,0.018478261130105304,0.009606382751798507,0.25398495172106766
2024-07-02,0.09317640077029186,0.0701016136262031,0.04564260627735518,0.0,0.01034233805917473,0.0066698812560159314,0.018478261130105304,0.009606382751798507,0.25401748387094464
2024-07-03,0.09317640077029186,0.07000401717657226,0.04564260627735518,0.0,0.01034233805917473,0.0066698812560159314,0.018478261130105304,0.009606382751798507,0.2539198874213138
2024-07-04,0.09317640077029186,0.06977629212743364,0.04564260627735518,0.0,0.01034233805917473,0.0066698812560159314,0.018478261130105304,0.009606382751798507,0.2536921623721751
2024-07-05,0.09317640077029186,0.06980882427731058,0.04561007412747824,0.0,0.01034233805917473,0.0066698812560159314,0.018478261130105304,0.009606382751798507,0.2536921623721751
2024-07-08,0.09317640077029186,0.06993895287681837,0.04561007412747824,0.0,0.01034233805917473,0.0066698812560159314,0.018478261130105304,0.009606382751798507,0.25382229097168296
2024-07-09,0.09317640077029186,0.06990642072694142,0.04561007412747824,0.0,0.01034233805917473,0.0066698812560159314,0.018478261130105304,0.009606382751798507,0.253789758821806
2024-07-11,0.09317640077029186,0.07029680652546477,0.0455124776778474,0.0,0.01034233805917473,0.0066698812560159314,0.018478261130105304,0.009606382751798507,0.25408254817069853
