date,EFG BANK AG,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,EVERBRIGHT SECURITIES INVESTMENT,HANG SENG SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,BRIGHT SMART SECURITIES INTERNATIONAL,CITIBANK N.A.,DBS BANK (HONG KONG) LTD,BOCI SECURITIES LTD
2024-03-01,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2024-03-04,0.0,72.41190718024846,0.0,0.0,0.0,0.0,27.58809281975154,0.0,0.0,0.0
2024-03-11,0.0,36.16369384489286,0.0,0.0,0.0,33.47839662776629,13.781663479177237,0.0,16.576246048163615,0.0
2024-03-13,0.0,36.12844108243001,0.0,0.0,0.0,33.465257739998435,13.846213834516105,0.0,16.560087343055446,0.0
2024-03-15,0.0,36.01224720634983,0.0,0.0,0.0,33.428242681904166,13.994578465978899,0.0,16.564931645767107,0.0
2024-03-18,0.0,36.00226257582555,0.0,0.0,0.0,33.43345881526849,13.996762175973783,0.0,16.56751643293218,0.0
2024-03-19,0.0,35.900836762956175,0.0,0.0,0.0,33.43345881526849,14.098187988843161,0.0,16.56751643293218,0.0
2024-04-05,0.0,26.815854076065182,25.20524195604508,0.0,0.0,25.07339175535596,10.530533155590522,0.0,12.37497905694326,0.0
2024-04-08,0.0,26.81052255822594,25.20707817610933,0.0,0.0,25.075218370037955,10.531300312529595,0.0,12.375880583097175,0.0
2024-04-09,0.0,26.802712170537557,25.19973490062415,0.0,0.0,25.075196457573174,10.528232355233163,0.0,12.394124116031957,0.0
2024-04-10,0.0,26.800760284596954,25.19789975021301,0.0,0.0,25.080652796084973,10.527465645185957,0.0,12.393221523919106,0.0
2024-04-11,0.0,26.79816159600271,25.2023045603199,0.0,0.0,25.07483994085642,10.52930593693779,0.0,12.395387965883184,0.0
2024-04-15,0.0,26.797380860470366,25.20157031836093,0.0,0.0,25.077022804576938,10.528999176966721,0.0,12.395026839625046,0.0
2024-04-16,0.0,26.79699050976336,25.201203213424716,0.0,0.0,25.078114188741363,10.52884580368393,0.0,12.394846284386631,0.0
