date,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,CHINA CONSTRUCTION BANK (ASIA),THE HONGKONG AND SHANGHAI BANKING,STANDARD CHARTERED BANK (HONG KONG) LTD,HANG SENG SECURITIES LTD,CITIBANK N.A.,BRIGHT SMART SECURITIES INTERNATIONAL,OCBC BANK (HONG KONG) LTD
2024-03-01,0.0,10.482410071394863,16.891202752279614,13.479776529509369,0.0,0.0,59.14661064681616,0.0,0.0
2024-03-05,0.0,10.193102835040088,16.45004964654623,13.12299005587089,0.0,0.0,57.58110170873039,2.6527557538124102,0.0
2024-03-07,0.0,10.211429333412354,16.44911324137318,13.119879098573186,0.0,0.0,57.567451439408536,2.65212688723275,0.0
2024-03-08,11.612345646679849,9.024840572498592,14.537692982571008,11.595322586981288,0.0,0.0,50.88585383739049,2.3439443738787693,0.0
2024-03-11,11.60930524827523,9.022477646719992,14.533886656106407,11.618469111236205,0.0,0.0,50.87253066621283,2.3433306714493303,0.0
2024-03-12,11.60930524827523,9.001531674237762,14.533886656106407,11.639415083718434,0.0,0.0,50.87253066621283,2.3433306714493303,0.0
2024-03-13,10.587040907733652,8.210212003583159,13.260077635114959,10.619289340101524,3.7503732457449988,5.021200358315915,46.413854882054345,2.1379516273514483,0.0
2024-03-14,10.481382066714753,8.085705163830719,13.127741843938088,10.544052785299577,3.7129444595537375,4.968723764027008,45.95064385294848,2.116614835223309,1.0121912284643308
2024-03-15,10.482373671077685,8.103026217759961,13.12898381050366,10.54505031870484,3.710930570830525,4.969193836402124,45.931339506391836,2.116815080237935,1.012286988091437
2024-03-18,10.480752173141743,8.101235881970315,13.129915439654663,10.545798592632014,3.7111938974631893,4.969546449056827,45.93459878185796,2.114599964520135,1.0123588197031517
2024-03-19,10.481000082788311,8.099062126713424,13.130226012087093,10.546048040873773,3.7112816813123133,4.969663997729235,45.935685309805685,2.114649982850993,1.012382765839178
2024-03-22,10.481991838665799,8.095097285469278,13.1314684487551,10.547045951859957,3.6903424211958127,4.993790289195103,45.93293512330712,2.114850079839139,1.0124785617126975
2024-03-25,10.474895026317347,8.09982849370158,13.1314684487551,10.547045951859957,3.6903424211958127,4.993790289195103,45.93530072742327,2.114850079839139,1.0124785617126975
2024-03-28,10.445130534558832,8.121887457562961,13.132711120574422,10.548044051717,3.6906916498101427,4.99426286714693,45.939647728213686,2.115050214698889,1.0125743757171415
2024-04-05,10.441881100266194,8.120674356699203,13.134575569358178,10.542443064182194,3.691215616681455,4.9949719018042,45.94616977225673,2.1153504880212957,1.012718130730553
2024-04-08,10.441634034095614,8.127580536396655,13.134264791131828,10.542193618607072,3.6911282785382187,4.994853715380884,45.940350420575676,2.115300436546902,1.0126941687271522
2024-04-10,10.442622368934796,8.10941918385215,13.135507992285758,10.543191471740082,3.691477655911689,4.9811285036500665,45.94469882511625,2.1391639749642093,1.0127900235450018
2024-04-11,10.44212817812903,8.094838091407071,13.134886362291919,10.561622280326064,3.691302958957917,4.980892774747702,45.942524519953146,2.1390627403192033,1.0127420938679415
