date,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,BOCI SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,HAITONG INTERNATIONAL SECURITIES CO LTD,CITIBANK N.A.,GUOSEN SECURITIES (HK) BROKERAGE CO LTD
2024-03-01,0.0,0.0,0.0,58.181441590720794,0.0,41.818558409279206,0.0
2024-03-05,0.0,55.067473243369015,0.0,26.142391810144254,0.0,18.790134946486738,0.0
2024-03-08,0.0,46.05744531797307,0.0,21.82610726239589,0.0,15.715731299135985,16.40071612049506
2024-04-03,37.70849495733126,28.689875872769587,0.0,13.595810705973625,0.0,9.78956555469356,10.216252909231963
2024-05-08,37.71215207060421,28.69265832605955,0.0,13.587430899039859,0.0,9.790514983997673,10.217243720298711
2024-05-09,37.72129795799583,28.69961682106999,0.0,13.566474268807294,0.0,9.792889363146918,10.219721588979969
2024-05-14,37.712234403803244,28.70379353837198,0.0,13.568448627146598,0.0,9.794314543514117,10.221208887164062
2024-05-20,37.710405044870235,28.702401164200825,0.0,13.572641280620907,0.0,9.793839437302934,10.220713073005093
2024-05-21,37.86111783208323,28.632954270505685,0.0,13.539801596902976,0.0,9.770142753447859,10.195983547060248
2024-05-29,37.88861985472155,28.581113801452783,0.0,13.549636803874094,0.0,9.7772397094431,10.203389830508474
2024-06-25,37.88861985472155,28.581113801452783,0.0,13.564164648910412,0.0,9.76271186440678,10.203389830508474
2024-07-04,37.892289810151105,28.58388221619527,0.0,13.555792328554825,0.0,9.76365749709415,10.204378148004649
2024-07-08,31.88913796617078,24.05543101691461,15.842673731404117,11.408192378235174,0.0,8.216833095577746,8.587731811697575
2024-07-17,31.942516534661554,24.09569690536458,15.869192455295176,11.259900383767453,0.0,8.230587082550828,8.602106638360414
2024-07-23,31.943820683460583,24.096680684277143,15.869840362552564,11.256277303719429,0.0,8.230923120891683,8.6024578450986
2024-07-24,31.924269626244488,24.081932430226864,15.860127305369677,11.310592459605028,0.0,8.225885425167293,8.597192753386649
2024-08-02,32.00261780104712,23.895615183246075,15.89905104712042,11.338350785340316,0.0,8.24607329842932,8.618291884816752
2024-09-12,32.01571323348883,23.86447336115885,15.90555691955152,11.342990424748342,0.0,8.249447581635158,8.621818479417302
