date,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA MERCHANTS SECURITIES (HK) CO LTD,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,NANYANG COMMERCIAL BANK LTD,ZHONGTAI INTERNATIONAL SECURITIES LTD,INTERACTIVE BROKERS HONG KONG LTD,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,TOTAL_CCASS_PCT
2024-03-01,0.0,8.72785,0.0,0.0,0.0,0.87685,0.0,0.34675,9.951450000000001
2024-03-04,0.0,8.72785,0.0,0.0,0.0,0.8785,0.0,0.34675,9.9531
2024-03-05,0.0,8.72785,0.0,0.0,0.0,0.8791500000000001,0.11670000000000001,0.34375,10.067450000000001
2024-03-06,0.0,8.72785,0.0,0.0,0.0,0.88095,0.11795,0.33225,10.059
2024-03-07,0.0,8.72785,0.0,0.0,0.0,0.8847499999999999,0.12065000000000001,0.31825,10.051499999999999
2024-03-08,0.0,8.72785,0.0,0.0,0.0,0.88575,0.12065000000000001,0.31825,10.0525
2024-03-11,0.0,8.72785,0.0,0.0,0.0,0.8864500000000001,0.12065000000000001,0.31825,10.0532
2024-03-12,0.0,8.72785,0.0,0.0,0.0,0.8956999999999999,0.11795,0.31825,10.059750000000001
2024-03-13,0.0,8.72785,0.0,0.0,0.0,0.8942,0.11795,0.31825,10.058250000000001
2024-03-14,0.0,8.72785,0.0,0.0,0.0,0.89505,0.11795,0.3185,10.05935
2024-03-15,0.0,8.72785,0.0,0.0,0.0,0.8952999999999999,0.11795,0.3185,10.0596
2024-03-19,0.0,8.72785,0.0,0.0,0.0,0.89695,0.11795,0.3185,10.06125
2024-03-20,0.0,8.72785,0.0,0.0,0.0,0.898,0.11795,0.3185,10.0623
2024-03-21,0.0,8.72785,0.0,0.0,0.0,0.9026,0.11795,0.31905,10.067450000000001
2024-03-22,0.0,8.72785,0.0,0.0,0.0,0.90285,0.11795,0.31905,10.0677
2024-03-25,0.0,8.72785,0.0,0.0,0.0,0.9070999999999999,0.11795,0.31805,10.07095
2024-03-26,0.0,8.72785,0.0,0.0,0.0,0.90685,0.11795,0.31405,10.0667
2024-03-27,0.0,8.72785,0.0,0.0,0.0,0.9070999999999999,0.11795,0.31285,10.06575
2024-03-28,0.0,8.72785,0.0,0.0,0.0,0.9072500000000001,0.11795,0.31384999999999996,10.066899999999999
