date,UOB KAY HIAN (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,ROCTEC SECURITIES CO LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,OCBC BANK (HONG KONG) LTD
2024-03-04,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-14,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-15,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-18,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-25,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-26,94.95628370354015,0.0,5.043716296459839,0.0,0.0,0.0,0.0
2024-04-03,94.15904650226047,0.0,4.934117564571369,0.0,0.0,0.9068359331681591,0.0
2024-04-08,94.15972017025027,0.0,4.934152866087098,0.0,0.0,0.9061269636626275,0.0
2024-04-09,94.16749461920263,0.0,4.93302346807322,0.0,0.0,0.8994819127241463,0.0
2024-04-11,88.38063878297393,6.146609867463305,4.628750267630561,0.0,0.0,0.8440010819322021,0.0
2024-04-15,88.38106769075063,6.146382976438641,4.628579405657249,0.0,0.0,0.8439699271534824,0.0
2024-05-02,88.38554983137176,6.144011936477438,4.626793876383124,0.0,0.0,0.843644355767676,0.0
2024-05-30,88.37043168420968,6.142961017217463,4.643107246252378,0.0,0.0,0.8435000523204804,0.0
2024-06-13,88.27569062698504,6.136375210062637,4.745338418613627,0.0,0.0,0.8425957443386947,0.0
2024-06-18,88.30919343988121,6.102872397166466,4.745338418613627,0.0,0.0,0.8425957443386947,0.0
2024-06-25,88.23440409137986,6.097703854313885,4.826009907095042,0.0,0.0,0.841882147211211,0.0
2024-06-28,88.23381337589468,6.09766303114374,4.826647082019191,0.0,0.0,0.8418765109423862,0.0
2024-07-03,88.23420722657336,6.097458923491886,4.826485519204518,0.0,0.0,0.8418483307302425,0.0
2024-07-04,88.2303678800805,6.097193603971611,4.83062681667316,0.0,0.0,0.8418116992747365,0.0
2024-07-31,88.24621695399028,6.075030356743615,4.83699733985228,0.0,0.0,0.8417553494138169,0.0
2024-08-05,88.24664966930106,6.0748067046106415,4.836819265882485,0.0,0.0,0.8417243602058158,0.0
2024-08-07,88.27909292990547,6.074644058856879,4.804561187204525,0.0,0.0,0.8417018240331139,0.0
2024-08-26,85.6992199988044,5.89711833613607,4.664152434222325,2.9224053459062285,0.0,0.81710388493098,0.0
2024-08-27,85.70075308435831,5.896486147756828,4.663652423403505,2.92209205548304,0.0,0.8170162889983154,0.0
2024-08-28,84.50061082756726,5.8139125187300165,4.597382313995479,2.881171456447386,1.4013479846533978,0.8055748986064676,0.0
2024-09-02,84.49420466535169,5.8139125187300165,4.597382313995479,2.881171456447386,1.4077541468689563,0.8055748986064676,0.0
2024-09-09,84.4814864158562,5.813037396107689,4.59669030611722,2.8807377763202395,1.422594463859311,0.8054536417393444,0.0
