date,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,HANG SENG SECURITIES LTD,CITIBANK N.A.,STANDARD CHARTERED BANK (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD,FUTU SECURITIES INTERNATIONAL,BRIGHT SMART SECURITIES INTERNATIONAL,BANK OF COMMUNICATIONS TRUSTEE LTD,DEUTSCHE BANK AG
2024-03-01,21.465580759741616,19.49245459460218,18.356193200732637,9.585049898190439,7.553052780188585,9.173653139953936,5.700808328672598,4.890477872706952,3.782729425211058,0.0
2024-03-04,21.481846616678,19.582348162649108,18.30936200392779,9.606903455160145,7.5577537730960085,9.202760037524614,5.752392664198497,4.73045722958075,3.7761760571850855,0.0
2024-03-05,21.493676872964077,19.583394136398134,18.31033998225085,9.60741659938269,7.551035582131569,9.197910183528753,5.758041334404179,4.7218075506616835,3.7763777582780653,0.0
2024-03-06,21.526645050741998,19.368090054411198,18.25675934359892,9.932290328841589,7.4863295635502976,9.170994795700112,5.755393946507892,4.738169785080062,3.7653271315679326,0.0
2024-03-07,21.545761294922027,19.362933917181696,18.29449396782491,9.931420960530373,7.477237415854431,9.147255857851006,5.741438242170741,4.735133610544525,3.764324733120292,0.0
2024-03-08,21.921152177750418,19.705345575702932,18.61088709597314,8.35429355297657,7.615981517465842,9.308161588962781,5.8460456079690575,4.807591414400257,3.830541468799003,0.0
2024-03-11,21.987402163885992,19.895324471946516,18.650829628509204,7.992183526805386,7.63537556432808,9.332669733175676,5.8510332372199985,4.822120890860568,3.8330607832685812,0.0
2024-03-12,22.00048051754726,19.892159555353857,18.677726111332568,7.986905670604768,7.597836675614911,9.3243932334804,5.862133090691579,4.828703638766636,3.829661506608021,0.0
2024-03-13,21.599653349479514,19.617429865775247,18.42335406622573,9.523989933254649,7.372599927840459,9.175205768136536,5.75318856640524,4.769113936890208,3.7654645859924183,0.0
2024-03-14,21.47004954424718,19.604241923211532,15.05848053339334,9.525514553539228,7.293160439134308,12.6188632794903,5.765116420753885,4.900615778826583,3.7639575274036474,0.0
2024-03-15,21.436761298970804,19.604555479602233,15.0511928847205,9.514078321266538,7.345529845578545,12.627326206371748,5.755057801861454,4.901138869900558,3.764359291727616,0.0
