date,THE HONGKONG AND SHANGHAI BANKING,BNP PARIBAS,CHINA MERCHANTS SECURITIES (HK) CO LTD,DBS BANK LTD,ABN AMRO CLEARING HONG KONG LTD,CHINA MERCHANTS BANK CO LTD,FUTU SECURITIES INTERNATIONAL,BOCI SECURITIES LTD,HANG SENG SECURITIES LTD,INTERACTIVE BROKERS HONG KONG LTD
2024-03-05,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2024-03-08,0.0,11.333714939896966,0.0,0.0,88.66628506010304,0.0,0.0,0.0,0.0,0.0
2024-03-11,0.0,12.029161603888214,0.0,0.0,87.97083839611179,0.0,0.0,0.0,0.0,0.0
2024-03-12,0.0,12.003637465898757,0.0,0.0,87.99636253410125,0.0,0.0,0.0,0.0,0.0
2024-03-14,84.47722666000183,1.823191461681971,0.0,0.0,13.699581878316192,0.0,0.0,0.0,0.0,0.0
2024-03-15,84.44924929741848,1.823191461681971,0.0,0.0,13.727559240899549,0.0,0.0,0.0,0.0,0.0
2024-03-19,84.44531170224522,1.8231064521649039,0.0,0.0,13.731581845589877,0.0,0.0,0.0,0.0,0.0
2024-03-21,84.47682274891774,1.786471420422027,0.0,0.0,13.736705830660235,0.0,0.0,0.0,0.0,0.0
2024-03-22,84.48470418544464,1.777308390061814,0.0,0.0,13.737987424493546,0.0,0.0,0.0,0.0,0.0
2024-03-26,84.30380241782886,1.7735027517221829,0.0,0.0,13.675987098582082,0.0,0.24670773186686534,0.0,0.0,0.0
2024-03-27,84.09137054422473,1.7702067239048995,0.0,0.0,13.892173502560759,0.0,0.24624922930960547,0.0,0.0,0.0
2024-04-03,84.07574519519987,1.769877794815884,0.0,0.0,13.908173537214582,0.0,0.24620347276966364,0.0,0.0,0.0
2024-04-05,83.76057656663693,1.763243182704852,0.0,0.0,14.230899702932861,0.0,0.24528054772534688,0.0,0.0,0.0
2024-04-11,82.77226971116227,1.742438343521948,1.225652168146672,0.0,14.017253340931157,0.0,0.24238643623796127,0.0,0.0,0.0
2024-04-12,82.79557697241484,1.166169024995804,0.6768353556838392,0.0,15.119038418180894,0.0,0.2423802287246181,0.0,0.0,0.0
2024-04-15,82.41865898344159,1.1608601655158977,0.660096956861981,0.0,15.519107075465472,0.0,0.2412768187150689,0.0,0.0,0.0
2024-04-17,82.38115584532002,1.1603319368397198,0.6597965915363113,0.0,15.557548596294128,0.0,0.24116703000982412,0.0,0.0,0.0
2024-04-18,82.37740740858706,1.1602791404106114,0.6597665700374065,0.0,15.561390824330553,0.0,0.24115605663436235,0.0,0.0,0.0
2024-04-22,82.37740740858706,1.1648292546867314,0.6597665700374065,0.0,15.561390824330553,0.0,0.23660594235824234,0.0,0.0,0.0
2024-04-23,82.33190626582586,1.1648292546867314,0.6597665700374065,0.0,15.606891967091755,0.0,0.23660594235824234,0.0,0.0,0.0
2024-04-24,82.33939933935429,1.155834209689258,0.6598266157674898,0.0,15.608312359189588,0.0,0.23662747599937564,0.0,0.0,0.0
2024-04-29,82.34314638760343,1.1558868086465794,0.6598566427313151,0.0,15.604471916728821,0.0,0.2366382442898509,0.0,0.0,0.0
2024-04-30,82.34314638760343,1.1558868086465794,0.6598566427313151,0.0,15.609022652195934,0.0,0.23208750882273838,0.0,0.0,0.0
2024-05-02,82.23088308875424,1.1543109195540724,0.6589570210052775,0.0,15.67863256874626,0.0,0.2772164019401513,0.0,0.0,0.0
2024-05-03,81.48120626162209,1.1439138155515534,0.6530216663581702,0.0,16.447138796827847,0.0,0.2747194596403337,0.0,0.0,0.0
2024-05-06,81.48120626162209,0.6034820916689297,0.6530216663581702,0.0,16.987570520710467,0.0,0.2747194596403337,0.0,0.0,0.0
2024-05-07,81.44452692321717,0.6482261336867366,0.6527277040595612,0.0,16.97992344629424,0.0,0.2745957927422982,0.0,0.0,0.0
2024-05-08,81.48120626162209,1.188949792541772,0.6530216663581702,0.0,16.402102819837626,0.0,0.2747194596403337,0.0,0.0,0.0
2024-05-10,81.50322972709381,1.1892711524713189,0.6531981708649289,0.0,16.37950723630953,0.0,0.2747937132604184,0.0,0.0,0.0
2024-05-14,81.52606172214404,1.1892513302496888,0.6531872836598669,0.0,16.35671053082053,0.0,0.27478913312587505,0.0,0.0,0.0
2024-05-21,81.48101432327095,1.1892513302496888,0.6531872836598669,0.0,16.401757929693623,0.0,0.27478913312587505,0.0,0.0,0.0
2024-05-22,81.48835600022345,1.1893584852618662,0.6532461377385249,0.0,16.394225484348222,0.0,0.2748138924279312,0.0,0.0,0.0
2024-05-27,81.35274878293627,1.1873792381343033,0.6521590512480075,0.0,15.247028853315486,0.0,0.2743565663870928,0.0,1.2863275079788288,0.0
2024-06-05,81.90532081377152,1.738828029907842,0.6565887092099925,0.0,14.127977743001216,0.0,0.276220077667652,0.0,1.2950646264417782,0.0
2024-06-11,81.90532081377152,1.738828029907842,0.6565887092099925,0.0,14.118921347012115,0.009056395989103344,0.276220077667652,0.0,1.2950646264417782,0.0
2024-06-13,81.76947487393497,1.738828029907842,0.6611169072045442,0.0,14.250239088854114,0.009056395989103344,0.276220077667652,0.0,1.2950646264417782,0.0
2024-06-14,82.32867569016643,1.7507194362683416,0.6656381189978591,0.0,13.663818100250571,0.009118330397230945,0.27810907711554383,0.0,1.303921246804025,0.0
2024-06-17,82.35942366518195,1.750835180297268,0.6656821258421904,0.0,13.632805179918833,0.009118933230714938,0.2781274635368056,0.0,1.304007451992236,0.0
2024-06-20,82.3519140491256,1.7506755373639296,0.6656214282685773,0.0,13.640680228627284,0.009118101757103798,0.2781021035916659,0.0,1.3038885512658434,0.0
2024-06-26,82.35942366518195,1.750835180297268,0.6656821258421904,0.0,13.632805179918833,0.009118933230714938,0.2781274635368056,0.0,1.304007451992236,0.0
2024-06-27,82.3519140491256,1.2035894319377014,0.6656214282685773,0.0,14.187766334053512,0.009118101757103798,0.2781021035916659,0.0,1.3038885512658434,0.0
2024-07-03,82.32911879473284,1.2035894319377014,0.6656214282685773,0.0,14.210561588446271,0.009118101757103798,0.2781021035916659,0.0,1.3038885512658434,0.0
2024-07-12,82.35620765147902,1.203607540054144,0.665631442605701,0.0,14.183420670865313,0.009118238939804122,0.27810628766402573,0.0,1.3039081683919893,0.0
