date,KAM FAI SECURITIES CO LTD,ARK SECURITIES (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,HANG SENG SECURITIES LTD,YUANTA SECURITIES (HONG KONG) CO LTD
2024-03-11,0.0,0.0,0.0,0.0,100.0,0.0,0.0
2024-03-12,0.0,0.0,0.0,82.16123499142367,17.83876500857633,0.0,0.0
2024-03-14,0.0,0.0,42.41407127478553,47.313310221917206,10.272618503297263,0.0,0.0
2024-03-27,0.0,0.0,42.473336381535326,47.29355518633394,10.233108432130736,0.0,0.0
2024-04-03,0.0,0.0,42.35946730409073,47.38716870673311,10.253363989176169,0.0,0.0
2024-04-05,0.0,0.0,42.32825754026356,47.39655044579782,10.275192013938625,0.0,0.0
2024-04-09,57.61516918623945,0.0,18.016282704695698,20.08894771801008,4.27960039105478,0.0,0.0
2024-04-10,57.71202581692755,0.0,17.71035060475958,20.122719167743163,4.454904410569706,0.0,0.0
2024-04-12,57.69747656733292,0.0,17.731095893651432,20.117646213544276,4.453781325471374,0.0,0.0
2024-04-16,57.673244112841495,0.0,17.732048814277665,20.15119612972717,4.443510943153677,0.0,0.0
2024-04-18,57.673244112841495,0.0,17.74044864592824,20.15119612972717,4.435111111503103,0.0,0.0
2024-04-22,57.668400064320515,0.0,17.738958603268998,20.149503605345892,4.443137727064601,0.0,0.0
2024-04-23,57.673244112841495,0.0,17.74044864592824,20.15119612972717,4.435111111503103,0.0,0.0
2024-04-24,57.81695811011931,0.0,17.623848966253192,20.142736350011067,4.416456573616433,0.0,0.0
2024-05-07,57.80725076363118,0.0,17.620889958827654,20.139354426655707,4.432504850885458,0.0,0.0
2024-05-13,57.68618339255326,0.0,17.58398602731063,20.097176003301666,4.63265457683444,0.0,0.0
2024-05-14,57.68618339255326,0.0,17.374553180256633,20.390381989177264,4.548881438012841,0.0,0.0
2024-05-24,57.70068469496042,0.0,17.378920840501056,20.370369516910948,4.550024947627579,0.0,0.0
2024-05-30,57.278320692134386,0.0,17.451342644678814,20.47080267547818,4.799533987708618,0.0,0.0
2024-06-04,57.24498889163734,0.0,17.441187237460003,20.458890162985693,4.854933707916962,0.0,0.0
2024-06-05,57.24023037239275,0.0,17.43973742976985,20.45718950718248,4.862842690654917,0.0,0.0
