date,BANK OF CHINA (HONG KONG) LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,STANDARD CHARTERED BANK (HONG KONG) LTD,CITIBANK N.A.,UBS SECURITIES HONG KONG LTD,BOCI SECURITIES LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD
2024-03-01,75.04073365238757,11.196330255187394,0.0,5.506353598799274,4.375895094329752,1.8883992153761056,1.9922881839199043,0.0,0.0,0.0
2024-03-04,74.24072852762113,11.059841512558616,0.0,5.4405611677547805,4.327632668211557,1.8682670954410316,1.9670913260838494,0.0,1.095877702329029,0.0
2024-03-05,74.24218108892043,11.044129238277765,0.0,5.440322340813742,4.344981068637443,1.8683036491297333,1.9653343856246075,0.0,1.0947482285962742,0.0
2024-03-06,74.24915635090579,11.037983247170786,0.0,5.435652219603031,4.348850254188099,1.868502354197402,1.9649909124338487,0.0,1.0948646615010353,0.0
2024-03-07,73.3135947184162,10.918449736574518,0.0,5.367706908245438,4.2972357327520765,1.8449586642928062,1.9324802746605598,0.0,1.0810690384877835,1.2445049265706225
2024-03-08,72.92560311028336,10.849631932440436,0.0,5.335974445093536,4.288746331750889,1.8352174989344712,1.9203777093318584,0.5311537648836255,1.0753611207595983,1.2379340865222175
2024-03-11,72.92863720629107,10.836652039559011,0.0,5.336422566323708,4.298873874535824,1.8352938538201258,1.9204576073387676,0.5311758637274989,1.074501397187825,1.2379855912161728
2024-03-12,72.95435106612629,10.832639011634575,0.0,5.339139918468137,4.2719241988228465,1.8358783450788132,1.9215668347639188,0.531345028817072,1.074843596706881,1.2383119995814724
2024-03-13,72.93657499239754,10.772459468478136,0.0,5.33785553194341,4.290163132671828,1.8354367051436424,1.9755982328542219,0.5393127942440827,1.0745850317220929,1.2380141105450435
2024-03-14,72.924684935561,10.773632666087426,0.0,5.339647423616372,4.300199284053669,1.8360528521578348,1.975175625311722,0.5394938388788326,1.0726836685809245,1.2384297057522236
2024-03-15,72.90060009922654,10.805803771162214,0.0,5.337883898214855,4.299502688850594,1.8340896496182413,1.9744893638068952,0.5393156602439256,1.0702941793143097,1.2380206895624228
2024-03-18,72.90637333192687,10.799936922977105,0.0,5.3350136142513565,4.315237352672814,1.834222379755368,1.975808240980005,0.5249262395012942,1.070371634793771,1.2381102831414093
2024-03-19,72.90874266608095,10.810374576532118,0.0,5.322664659034408,4.315739444377206,1.8342819888887252,1.975555829366785,0.5240838960162651,1.070406420066388,1.238150519637154
2024-03-20,72.91317607236115,10.824160185094051,0.0,5.323037852788564,4.297857611684655,1.8321036183687522,1.976734746181919,0.5242111114634079,1.0704814706314654,1.2382373314260293
2024-03-21,67.99574731885929,10.096305843959856,6.6989666129899375,4.966200023987173,4.058115187688661,1.7087533462339353,1.8361501317599764,0.4888571338797532,0.9961765826560118,1.1547278179854008
2024-03-22,68.00436122757377,10.078029283756019,6.699856824023648,4.966859971455547,4.060384241715713,1.7110902229210627,1.8363941337383818,0.48892277207204266,0.99525421850211,1.1588471042417094
2024-03-25,68.03385164568923,10.0588083193974,6.702820466948784,4.969057033243757,4.038290364780356,1.713957534672732,1.8413006685830038,0.4920936334731174,0.9944282109193304,1.1553921222922923
2024-03-26,67.97402754896723,10.084478457382957,6.697051132823486,4.985570844488528,4.065768790070348,1.7127353085748527,1.8418665780760999,0.49053142622035756,0.993572274430996,1.1543976389651451
2024-03-27,67.9725769282511,10.070974624133298,6.696820961403691,4.985652518883623,4.078870633756841,1.71478497536247,1.841908701429952,0.4905145671113875,0.9935381262758546,1.1543579633917773
2024-03-28,67.99030020057481,10.0629538888119,6.6983593152808485,4.98747267852996,4.0983247704801835,1.7151788855671095,1.808309163323242,0.4906272452000607,0.9938928969204631,1.1545809553114266
2024-04-02,67.98748982082405,10.100119052906509,6.6980824385303785,4.987477414205102,4.066816679896496,1.7151079886304181,1.8082344168455722,0.48790753588180935,0.994231421583777,1.154533230695888
2024-04-03,67.98464632046888,10.118593804110096,6.697636093599126,4.896699118903034,4.05241679318356,1.8022764560992715,1.8091261387368318,0.48787502283683576,0.9962739568267596,1.1544562952355957
