date,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,SDICS INTERNATIONAL SECURITIES (HONG,UBS SECURITIES HONG KONG LTD,BOCI SECURITIES LTD,CHINA INTERNATIONAL CAPITAL CORPORATION,FUTU SECURITIES INTERNATIONAL,INTERACTIVE BROKERS HONG KONG LTD
2024-03-01,49.366112260346156,26.499968250549816,5.611812713522759,7.9007098309996,0.0,2.5136211760500617,2.8453985092608676,0.0,1.5840436595943752,3.6783335996763644
2024-03-04,49.258220252838676,26.561605914240587,5.7184507474544635,7.945214729698895,0.0,2.5183036756154684,2.844075537699209,0.0,1.572626881347948,3.5815022611047556
2024-03-05,45.58719101628878,24.439662231194152,5.258413526398062,7.436202260813721,7.567172664516031,2.3186520006083597,2.6248710600340623,0.0,1.4536092885009007,3.3142259516459354
2024-03-06,45.61596899247235,24.49681717468936,5.278091156945695,7.455600815414799,7.574660839999696,2.321545646256081,2.6288685268003706,0.0,1.4436144064081078,3.184832441013537
2024-03-07,45.59157208894876,24.527905806086135,5.242158943357965,7.5043865067408415,7.5670099635253525,2.319266008648815,2.6262598262694987,0.0,1.4386598068366423,3.1827810495859934
2024-03-08,45.63478988090433,24.604342698526526,5.226370060100622,7.408526174160471,7.565047237524573,2.3180860415201847,2.6255786287462146,0.0,1.4375409303007154,3.1797183482163636
2024-03-11,45.60707943883115,24.588820564879057,5.192150171031704,7.468825877233264,7.56272440294641,2.3168151605315157,2.6341376542443995,0.0,1.452941175895027,3.1765055544074765
2024-03-12,45.65467629247655,24.527556411021845,5.13170319893774,7.480741550429445,7.569642683982905,2.340267578845676,2.6365473288021266,0.0,1.4417719447359525,3.217093010767755
2024-03-13,45.626968605997305,24.462755645600524,5.08662177593792,7.562978689377714,7.567514599286906,2.367303456853354,2.6358061054373074,0.0,1.4504580147735457,3.239593106735424
2024-03-14,45.2471945466175,24.625925856703766,5.14301627845305,7.785242246928892,7.580291451345202,2.3970679019059284,2.639515827475505,0.0,1.4522845555067216,3.1294613350634424
2024-03-15,45.09613511808938,24.52104990813991,5.19680101856212,7.873967304041263,7.58455292191503,2.4602784223793273,2.641373340508331,0.0,1.4961158627488031,3.1297261036158424
2024-03-18,45.369279982939176,24.447396476346274,5.134626835705654,7.749461932915821,7.572877693010385,2.4579708631597375,2.6361415450798993,0.0,1.5100876144545983,3.1221570563884584
2024-03-19,45.35327175790836,24.485685750576497,5.13267509033777,7.756336497402828,7.571030533816246,2.4568118654223805,2.635498543398182,0.0,1.523938759701032,3.0847512014367027
2024-03-20,45.18315630292392,24.352790138787277,5.113049554404466,7.930704105974633,7.572414432799652,2.597150269758381,2.635980282804553,0.0,1.5281808494439908,3.086574063103124
2024-03-21,45.14984493414565,24.328684018085646,5.1124171184681995,8.067209066123267,7.5662225951541915,2.5961839595898346,2.633824885461657,0.0,1.503588866061156,3.0420245569104063
2024-03-22,44.93032611591823,24.288400035660544,5.1489516914871105,8.176919528745902,7.56646936914427,2.596318955312615,2.6436953532625416,0.0,1.485652943547076,3.163266006921713
2024-03-25,45.03506607674782,24.22958958523274,5.1540416579028605,8.130376991633495,7.5640672083045954,2.5951750764697117,2.6429963278498803,0.0,1.484066946007492,3.1646201298514103
2024-03-26,45.16193686161525,24.084555324454463,5.1171483957042465,8.190645290393999,7.560831451365897,2.5939975649840497,2.6418678854718927,0.0,1.489169403386474,3.159847822623724
2024-03-27,45.27083651143941,24.114410868517584,5.173527131341954,8.243396134340223,7.577806955707454,2.3203456758137695,2.644192647279132,0.0,1.4913227558694664,3.1641613196910034
2024-03-28,45.25105080088218,24.026506427232313,5.192739696043969,8.252237924017603,7.571128934457601,2.3191075619585453,2.6411641720260683,0.0,1.4922429216468007,3.253821561734918
2024-04-02,45.29428056589645,23.95923198342759,5.193656012272313,8.267568529174937,7.572464943715838,2.318306275376924,2.6416302345930776,0.0,1.4915285177325555,3.2613329378103137
2024-04-03,44.10749469143045,23.05062928587006,5.034648283513396,7.9744498534755985,7.362833358057616,2.2517426667172216,2.5745613261531517,2.874093166651698,1.5052555679712678,3.264291800159538
2024-04-05,44.16652120695279,23.119380681214057,4.971799864832184,8.11434085676578,7.352982334739974,2.14563448354466,2.5685457373444875,2.870247804761119,1.4472212762335424,3.2433257536114084
