date,EVERBRIGHT SECURITIES INVESTMENT,J.P. MORGAN BROKING (HONG KONG) LTD,EAST ASIA SECURITIES CO LTD,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,CELESTIAL SECURITIES LTD,HSBC BROKING SECURITIES (HONG KONG) LTD
2024-03-12,100.0,0.0,0.0,0.0,0.0,0.0
2024-03-13,100.0,0.0,0.0,0.0,0.0,0.0
2024-03-14,39.473684210526315,0.0,0.0,0.0,0.0,60.526315789473685
2024-03-15,35.267546907574705,0.0,0.0,0.0,0.0,64.73245309242529
2024-03-19,33.88928317955997,0.0,0.0,0.0,0.0,66.11071682044003
2024-03-20,32.937365010799134,0.0,0.0,0.0,0.0,67.06263498920086
2024-03-22,28.755499685732243,0.0,12.69641734758014,0.0,0.0,58.54808296668762
2024-03-25,27.618135376756065,0.0,12.899106002554278,0.0,0.0,59.48275862068966
2024-04-08,26.44386761842959,0.0,13.108371187540557,0.0,0.0,60.447761194029844
2024-04-17,23.772696704774717,0.0,13.584398117014123,0.0,0.0,62.64290517821116
2024-05-20,23.796701447324136,0.0,13.497139010434198,0.0,0.0,62.70615954224167
2024-05-27,23.29489291598023,0.0,13.212520593080725,0.0,0.0,63.49258649093904
2024-06-04,22.638488632724943,0.0,12.840217739353186,0.0,0.0,64.52129362792188
2024-06-07,22.121401752190238,0.0,12.546933667083854,0.0,0.0,65.33166458072591
2024-06-13,36.70820353063344,0.0,20.82035306334372,0.0,0.0,42.47144340602284
2024-06-14,47.290969899665555,0.0,26.82274247491639,0.0,0.0,25.88628762541806
2024-06-17,47.513440860215056,0.0,26.814516129032256,0.0,0.0,25.672043010752688
2024-07-05,43.34763948497854,8.767627222562844,24.463519313304722,0.0,0.0,23.421213979153894
2024-07-09,43.34763948497854,8.767627222562844,24.463519313304722,0.0,0.0,23.421213979153894
2024-07-25,42.998149290561386,8.821714990746452,24.614435533621222,0.0,0.0,23.565700185070945
2024-07-26,43.265052762259465,8.876474239602732,24.14649286157666,0.0,0.0,23.71198013656114
2024-08-02,42.9106808244847,8.931917551530294,24.297314178638352,0.0,0.0,23.860087445346657
2024-08-07,43.45351043643264,9.044908285895003,23.33965844402277,0.0,0.0,24.161922833649587
2024-08-09,43.07210031347962,8.96551724137931,23.134796238244515,0.0,0.877742946708464,23.94984326018809
2024-08-15,42.785129174543165,9.010712035286703,23.251417769376182,0.0,0.8821676118462508,24.070573408947702
2024-08-19,35.69926393270242,7.518401682439538,19.400630914826497,16.561514195583594,0.7360672975814931,20.084121976866456
2024-08-22,35.29100529100529,7.5661375661375665,19.523809523809526,16.666666666666664,0.7407407407407408,20.211640211640212
2024-08-23,35.05045140732873,7.594264471587891,19.596388741370156,16.728624535315987,0.7434944237918215,20.286776420605417
2024-08-26,36.00654664484452,7.801418439716312,17.40316421167485,17.18494271685761,0.7637752318603382,20.840152755046372
2024-08-27,36.045876570180226,7.80993992353905,17.42217367558711,17.20371381758602,0.7646095030038231,20.75368651010377
2024-08-29,35.37866224433389,7.904919845218353,17.634051962410172,17.30237700386954,0.7739082365948038,21.006080707573243
2024-09-02,35.43940264215968,8.213670304422745,18.265364732912122,17.97817346352671,0.80413555427915,19.299253302699597
2024-09-03,35.45977011494253,8.218390804597702,18.2183908045977,17.98850574712644,0.8045977011494253,19.310344827586206
2024-09-04,35.58246828143022,8.246828143021915,18.166089965397923,18.050749711649367,0.8073817762399077,19.146482122260668
2024-09-09,38.25170489770614,1.3639181649101055,19.528828270303784,19.40483570985741,0.8679479231246126,20.582765034097957
2024-09-10,42.26027397260274,1.5068493150684932,21.643835616438356,21.575342465753426,0.9589041095890412,12.054794520547945
2024-10-14,45.501474926253685,1.6224188790560472,23.303834808259587,20.64896755162242,1.0324483775811208,7.890855457227139
2024-10-16,46.88449848024316,1.6717325227963524,24.012158054711247,18.237082066869302,1.0638297872340425,8.130699088145898
2024-10-18,49.124203821656046,1.7515923566878981,25.159235668789808,14.331210191082802,1.1146496815286624,8.519108280254777
2024-11-08,45.83952451708767,8.320950965824665,23.476968796433876,13.37295690936107,1.040118870728083,7.949479940564635
2024-11-11,45.83952451708767,8.320950965824665,23.476968796433876,13.37295690936107,1.040118870728083,7.949479940564635
2024-11-14,45.67809239940387,8.345752608047691,23.546944858420268,13.412816691505217,1.0432190760059614,7.973174366616989
2024-11-27,47.08141321044547,8.60215053763441,24.270353302611365,10.75268817204301,1.0752688172043012,8.218125960061444
2024-12-11,36.101295641931685,29.917550058892818,18.610129564193166,8.244994110718492,0.8244994110718492,6.301531213191991
2024-12-16,34.07448582545859,33.85214007782101,17.565314063368536,7.782101167315175,0.7782101167315175,5.947748749305169
2024-12-17,39.44658944658945,23.423423423423422,20.334620334620336,9.00900900900901,0.9009009009009009,6.885456885456885
2024-12-18,41.84300341296928,24.84641638225256,15.494880546075084,9.556313993174061,0.955631399317406,7.3037542662116035
2025-01-07,42.21763085399449,25.068870523415974,15.633608815426998,8.7465564738292,0.9641873278236914,7.369146005509641
2025-01-09,46.31738800303721,27.638572513287773,13.287775246772968,9.643128321943811,1.0630220197418374,2.050113895216401
2025-01-16,46.671767406273915,27.850038255547055,13.389441469013008,9.716908951798011,1.0711553175210407,1.300688599846978
2025-01-21,47.14064914992272,28.129829984544045,12.982998454404946,9.8145285935085,1.0819165378670788,0.8500772797527048
2025-04-22,47.14064914992272,28.129829984544045,12.982998454404946,9.8145285935085,1.0819165378670788,0.8500772797527048
