date,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,CMB INTERNATIONAL SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,FUTU SECURITIES INTERNATIONAL,GOLDMAN SACHS (ASIA) SECURITIES LTD,BRIGHT SMART SECURITIES INTERNATIONAL,BOCI SECURITIES LTD,TOTAL_CCASS_PCT
2024-03-01,15.257537103380594,18.04588483583188,8.76132025107397,0.0,0.0,2.282033853640141,0.0,0.0,0.0,1.8760123492408944,46.22278839316748
2024-03-04,15.209603147738813,18.04702071155799,8.76132025107397,0.0,3.992148826981138,2.282033853640141,2.5142840916061058,0.0,0.0,1.8751036486600074,52.681514531258166
2024-03-05,15.22664128363044,18.06814800006361,8.76132025107397,0.0,3.987605324076703,2.263178316586739,2.5074688372494545,0.0,0.0,1.8614731399467048,52.67583515262763
2024-03-06,15.232547837406205,18.09609054292588,8.76132025107397,0.0,3.987605324076703,2.247276056421219,2.5070144869590107,0.0,0.0,1.8614731399467048,52.69332763880969
2024-03-07,15.287297047404639,18.154247380102635,8.732241832485592,0.0,3.987605324076703,2.25136520903521,2.5070144869590107,0.0,0.0,1.8614731399467048,52.781244420010495
2024-03-08,15.272303487820004,18.163107210766285,8.732241832485592,0.0,3.996692329885572,2.207747581152641,2.506332961523346,8.856059556236072,0.0,1.8632905411084781,61.59777550097799
2024-03-11,15.30615258445804,18.14765930089121,8.741101663149237,0.0,3.996692329885572,2.1918453209871216,2.505424260942459,8.856059556236072,1.6558796335210557,1.8632905411084781,63.26410519117924
2024-03-12,15.297519928939614,18.143570148277217,8.876498049701379,0.0,3.996692329885572,2.156201086351545,2.504742735506794,8.856059556236072,1.6536078820688385,1.8632905411084781,63.34818225807551
2024-03-13,15.267305634625128,18.111765627946177,8.799031325180774,0.0,3.9873781489314815,2.1418890522025764,2.5076960123946757,8.856059556236072,1.6536078820688385,1.8632905411084781,63.1880237806942
2024-03-14,15.25980885483281,18.099498170104205,8.771770307754169,0.0,3.9885140246575905,2.132120520958043,2.5065601366685675,8.856059556236072,1.6536078820688385,1.862836190818035,63.130775644098335
