date,HAITONG INTERNATIONAL SECURITIES CO LTD,BANK OF COMMUNICATIONS TRUSTEE LTD,UBS SECURITIES HONG KONG LTD,BANK OF CHINA (HONG KONG) LTD,HUARONG INTERNATIONAL SECURITIES LTD,THE BANK OF EAST ASIA LTD,THE HONGKONG AND SHANGHAI BANKING
2024-03-05,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2024-03-07,0.0,81.71985419395949,0.0,13.944978552290403,0.0,0.0,4.3351672537501145
2024-03-12,0.0,81.72018808647059,0.0,13.94462694707172,0.0,0.0,4.335184966457689
2024-04-03,0.0,81.7204106829938,0.0,13.944392541996379,0.0,0.0,4.335196775009818
2024-04-11,0.0,81.72063328072967,0.0,13.944430525043478,0.0,0.0,4.334936194226848
2024-04-12,0.0,81.7211897803748,0.0,13.94425309231218,0.0,0.0,4.334557127313019
2024-04-17,0.0,81.72508549012069,0.0,13.940150751012222,0.0,0.0,4.3347637588670915
2024-04-18,0.0,81.7278683673486,0.0,13.937220267755135,0.0,0.0,4.334911364896263
2024-04-19,0.0,81.72809100571426,0.0,13.937258234730225,0.0,0.0,4.334650759555512
2024-04-22,0.0,81.72842496553714,0.0,13.93731518558071,0.0,0.0,4.33425984888215
2024-04-24,0.0,58.02131612188875,29.976281103191045,9.894493508396517,0.0,0.0,2.1079092665236834
2024-04-26,0.0,58.02322376369023,29.97726667212859,9.88186090717684,0.0,0.0,2.117648657004335
2024-05-02,0.0,58.02395318929461,29.97764352443774,9.880728007730564,0.0,0.0,2.117675278537081
2024-05-03,0.0,58.02417763163176,29.97775948090063,9.880379417555032,0.0,0.0,2.1176834699125857
2024-05-06,0.0,58.02428985345145,29.97781745946847,9.88020512145598,0.0,0.0,2.117687565624102
2024-05-14,0.0,58.02403912398933,29.97868716489896,9.88049176233836,0.0,0.0,2.11678194877334
2024-05-16,0.0,58.024712480648674,29.979035061201,9.880606423348281,0.0,0.0,2.115646034802039
2024-05-22,0.0,58.024993050535954,29.979180020376635,9.88065419955452,0.0,0.0,2.115172729532894
2024-05-28,0.0,58.026564292047965,29.979991817667212,9.878213884619298,0.0,0.0,2.115230005665522
2024-05-29,0.0,58.043348214378824,29.98866339525045,9.852146563954475,0.0,0.0,2.1158418264162444
2024-06-05,0.0,58.043460514107835,29.9887214160035,9.851972149834285,0.0,0.0,2.1158459200543795
2024-07-05,0.0,58.043516664135296,29.988750426464218,9.851981680425705,0.0,0.0,2.1157512289747853
2024-07-09,0.0,58.04070929583586,29.987299972182235,9.856341834727717,0.0,0.0,2.1156488972541894
2024-08-09,0.0,58.04087773027565,29.987386995482478,9.856370437882905,0.0,0.0,2.1153648363589643
2024-08-12,0.0,58.03054889308184,29.982050500752276,9.854616418137583,0.0,0.0,2.132784188028294
2024-08-13,0.0,58.03077339393068,29.98216649131097,9.85465454236341,0.0,0.0,2.1324055723949376
2024-08-21,0.0,58.03088564500649,29.98222448692686,9.854673604586942,0.0,0.0,2.1322162634797035
2024-08-28,0.0,58.03099789651657,29.98228248276712,9.854499232803684,0.0,0.0,2.1322203879126276
2024-09-20,0.0,58.031166274595925,29.9823694769482,9.85452782582662,0.0,0.0,2.1319364226292516
2024-09-23,0.0,58.03127852719167,29.982427473349382,9.854353452918135,0.0,0.0,2.131940546540811
2024-09-25,0.0,58.03380432541147,29.983732451696564,9.853331535650595,0.0,0.0,2.1291316872413812
2024-09-26,0.0,58.01696982250034,29.97503474116196,9.850473271569008,0.0,0.0,2.157522164768697
2024-10-02,0.0,58.0113604917064,29.972136625559965,9.849520885340873,0.0,0.0,2.166981997392764
2024-10-03,0.0,57.99694948619274,29.964691038652397,9.845140891483428,0.0,0.0,2.1932185836714373
2024-10-04,0.0,56.621196086360385,29.253894592691626,9.561399529116478,0.0,2.3853248181273106,2.1781849737042025
2024-10-07,0.0,56.65011753741853,29.268837143171,9.506707135309316,0.0,2.386543214412688,2.187794969688456
2024-10-08,0.0,56.65749964322304,29.272651180316167,9.489721373123334,0.0,2.3868542060801667,2.193273597257294
2024-10-09,0.0,56.64722941094303,29.267344964387703,9.491966436692179,0.0,2.38642154408009,2.2070376438970083
2024-10-10,0.0,56.650491945746275,29.269030584894445,9.486942558613528,0.0,2.386558987401216,2.206975923344537
2024-10-18,0.0,56.64514372495862,29.266267374330297,9.486046921847446,0.0,2.3863336787772482,2.2162083000863815
2024-10-21,0.0,56.63979651389796,29.26350468545148,9.485151454174725,0.0,2.386108412690829,2.2254389337849996
2024-10-31,0.0,56.63674905528614,29.261930186162022,9.484641113243741,0.0,2.385980030050379,2.230699615257723
2024-11-01,0.0,56.63648174999986,29.261792080272187,9.484596349115321,0.0,2.3859687690743225,2.2311610515383187
2024-11-18,0.0,56.6363213680392,29.261709217364025,9.484569490841087,0.0,2.385962012539711,2.2314379112159792
2024-11-29,0.0,56.63573330862135,29.261405390715822,9.484471011803631,0.0,2.385937238906851,2.2324530499523414
2024-12-02,0.0,56.63493142909499,29.26099109181785,9.484336725502768,0.0,2.38590345750929,2.2338372960751034
2024-12-04,0.0,56.63487797126725,29.26096347230845,9.484327773217913,0.0,2.385901205450131,2.233929577756255
2024-12-12,0.0,56.628089647307256,29.257456218359167,9.48319097038945,0.0,2.385615228488596,2.2456479354555294
2025-01-21,78.99430622307553,11.888548019084775,6.14233457873275,1.9928507330960725,0.0,0.5008380359568636,0.48112241005401224
2025-01-23,79.00786311029523,11.890588314295998,6.14338871720337,1.9932918301369889,0.0,0.5009239890475793,0.46394403902082026
2025-01-24,79.00754996572039,11.890541186414342,6.143364368122502,1.9936802758910583,0.0,0.5009220036549435,0.46394220019676985
2025-02-04,79.00762825163139,11.890552968349734,6.143370455374624,1.9935831647412143,0.0,0.500922500001627,0.46394265990141587
2025-02-05,79.00745768506577,11.890649581100657,6.143420371297055,1.9935993629411004,0.0,0.5009265700815344,0.4639464295138774
2025-02-06,79.0074285636678,11.890666076117476,6.143428893608781,1.9936021285137293,0.0,0.500927264979836,0.463947073112371
2025-02-10,79.00712902459917,11.890835741803873,6.143516553044627,1.9936305748489787,0.0,0.5009344126171259,0.46395369308623174
2025-02-20,79.00716033955383,11.890840454808723,6.143518988064665,1.993631365036546,0.0,0.5009346111655179,0.46391424137071674
