date,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,BOCI SECURITIES LTD,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,HANG SENG BANK LTD
2024-03-01,165.86443390085128,194.3734351527291,107.66975913870806,58.554098647971955,27.261617426139207,23.103568352528793,18.349766649974963,7.607314471707562,0.0
2024-03-04,165.33923360040058,191.07628167250877,107.69166700050074,57.63182073109665,27.26725087631447,23.030003755633448,20.352395593390085,7.682577366049073,0.0
2024-03-05,164.8362290936405,191.02475763645467,107.70330946419628,57.8653565348022,27.261617426139207,23.208120931397094,20.886025287931897,7.645772158237356,0.0
2024-03-06,164.5393087130696,191.00942989484227,107.72193740610916,60.04946895343014,27.25037556334502,23.009449674511767,20.930967701552326,7.667680020030045,0.0
2024-03-07,164.7469952428643,191.04897671507263,107.7268197295944,59.10893114672008,27.24286429644467,23.222812969454182,20.962765398097147,7.6743149724586885,0.0
2024-03-08,164.9005881321983,190.95687856785176,107.73957285928893,58.50189559339009,27.589900851276916,23.19076489734602,21.13014146219329,7.704973460190286,0.0
2024-03-11,165.36135428142214,191.93790610916375,107.7529679519279,57.537215072608916,27.56646569854782,23.543106409614424,21.14716700050075,7.719745618427641,0.0
2024-03-12,165.04564321482223,192.76348072108163,107.71929243865799,56.94632148222334,27.590501752628942,23.647117426139207,21.216082874311468,7.804873309964948,0.0
2024-03-13,164.0562841762644,192.54015423134703,107.72622684026038,57.32106835252879,27.523101652478715,23.619325738607913,21.220088883324987,7.797612418627942,0.0
2024-03-14,164.91394566850275,193.15847145718578,107.7646189283926,54.07537831747622,27.546413370055085,23.676762143214823,23.555266649974964,7.757176765147722,0.0
2024-03-15,163.57093114672008,192.94568527791688,107.80933600400601,55.24765523284927,27.614490485728595,23.878108162243365,23.81555708562844,7.74916474712068,0.0
2024-03-18,164.104982223335,192.8274023535303,107.70527991987981,54.741352528793186,27.56296319479219,23.846002503755635,23.957770405608414,7.6622468703054585,0.0
2024-03-19,164.5111664997496,194.5585450676014,107.72460891337006,53.597746870305464,27.614340260390584,23.852271407110667,23.852997245868803,7.674778167250876,0.0
2024-03-20,164.18899574361544,194.85927090635954,107.69318678017027,54.61134251377066,27.591844016024037,23.75192138207311,23.858630696044067,7.649615423134702,0.0
2024-03-21,166.61334476715072,195.35689659489236,107.93392288432648,53.654243114672006,27.8109727090636,23.742001752628944,23.997338758137207,7.669645468202304,0.0
2024-03-22,167.87297170756133,195.38489984977465,107.93667701552327,53.06351076614922,27.852985728592888,23.76188557836755,24.009732348522782,7.673701552328492,0.0
