date,CITIBANK N.A.,UBS SECURITIES HONG KONG LTD,NANYANG COMMERCIAL BANK LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,FIRST SHANGHAI SECURITIES LTD,BNP PARIBAS,BANK OF CHINA (HONG KONG) LTD,CHINA INTERNATIONAL CAPITAL CORPORATION
2024-03-01,0.0,0.0,70.35151879479531,0.0,0.0,0.0,17.255893916417936,12.392587288786755,0.0
2024-03-04,0.0,0.0,70.43429516600534,0.0,0.0,0.0,17.276197391095614,12.289507442899037,0.0
2024-03-05,0.0,0.0,70.44317561768068,0.0,0.0,0.0,17.26576746161684,12.291056920702474,0.0
2024-03-07,0.0,0.0,70.46094324068231,0.0,0.0,0.0,17.262915876312487,12.276140883005194,0.0
2024-03-08,0.0,0.0,37.296923354888705,23.27784878091724,23.802104539029838,0.0,9.131380530732535,6.491742794431679,0.0
2024-03-11,45.994118501040646,0.0,20.14944978473302,12.587746197788983,12.821169565902354,0.0,4.940388989762287,3.50712696077271,0.0
2024-03-14,45.99551596007248,0.0,20.15149159349171,12.589021754725445,12.822468776381848,0.0,4.940889615318737,3.5006123000097746,0.0
2024-03-15,33.97431237009068,26.135598957987767,14.8847785665641,9.29880551617657,9.471239760473487,0.0,3.649558520502168,2.5857063082052285,0.0
2024-03-18,32.333942325289385,26.135181193903495,14.884540641047362,9.298656879561145,9.471088367585505,0.0,3.5912928096535324,2.5856649770220494,1.6996328059375208
2024-03-19,32.33558317493301,26.136507475193802,14.885295986404277,9.294054061103768,9.471568996635197,0.0,3.5914750568867206,2.585796191688463,1.6997190571547658
2024-03-20,32.336038233562206,26.136772747605168,14.885447064675311,9.294148391080125,9.471665128298907,0.0,3.5911309024052507,2.585061223924324,1.699736308448703
2024-03-21,32.33427428418295,26.135346971703655,14.884635055024653,9.293641389969885,9.471148443549126,0.0,3.5906812805703625,2.590628988138397,1.6996435868609643
2024-03-22,32.33439734417373,26.135446439393235,14.885072290819897,9.29367676034541,9.471184489493128,0.0,3.590694946230565,2.589877674063355,1.69965005548068
