date,HAITONG INTERNATIONAL SECURITIES CO LTD,QUAM SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,BOCI SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,BRIGHT SMART SECURITIES INTERNATIONAL,UBS SECURITIES HONG KONG LTD,HANG SENG SECURITIES LTD
2024-03-01,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-04,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-06,0.0,97.51465560580924,0.0,0.0,0.0,2.4853443941907614,0.0,0.0,0.0
2024-03-07,0.0,92.05415621062285,0.0,0.0,2.7571759879054016,2.344950933485238,1.5675248896550638,1.2761919783314453,0.0
2024-03-08,0.0,92.05431837190795,0.0,0.0,2.757119718588598,2.344903076987305,1.567492899112929,1.276165933403212,0.0
2024-03-11,0.0,92.05448052657432,0.0,0.0,2.757063451568471,2.344855222442673,1.5674609098765142,1.2761398895380234,0.0
2024-03-12,0.0,92.05541985541936,0.0,0.0,2.7570915847914588,2.344879149470834,1.5664564989806082,1.2761529113377412,0.0
2024-03-13,0.0,92.0623522493486,0.0,0.0,2.7568102783955086,2.3446399011607255,1.5662966732299617,1.2699008978651922,0.0
2024-03-14,0.0,92.06539647203971,0.0,0.0,2.7561072634816965,2.3440419939231645,1.5658972515035687,1.2685570190518607,0.0
2024-03-15,0.0,92.068115591111,0.0,0.0,2.755517007983766,2.3435399874546117,1.565561894649305,1.2672655188013315,0.0
2024-03-18,0.0,92.06868178873835,0.0,0.0,2.755320312329662,2.343372699744387,1.5654501409493582,1.2671750582382424,0.0
2024-03-19,0.0,92.06908616612786,0.0,0.0,2.7551798326255987,2.34325322314419,1.5653703266455394,1.2671104514568163,0.0
2024-03-20,0.0,92.0712064114771,0.0,0.0,2.7531123635843193,2.343229329286096,1.5653543647614034,1.2670975308910757,0.0
2024-03-21,0.0,92.07214525955017,0.0,0.0,2.7521207392032907,2.34325322314419,1.5653703266455394,1.2671104514568163,0.0
2024-03-22,0.0,92.08145403998964,0.0,0.0,2.752429470295849,2.3435160877479904,1.5655459288581604,1.2570544731083635,0.0
2024-03-25,82.2005585137239,16.391976186526083,0.0,0.0,0.4899820326712144,0.41682499382743565,0.2786953797510437,0.22196289350031734,0.0
2024-03-26,82.20059082765125,16.391946427776187,0.0,0.0,0.48998114313522445,0.41682423710410943,0.27869487379459223,0.22196249053863903,0.0
2024-03-27,82.18999681026563,16.39037839632531,0.0,0.0,0.4899179943342639,0.41677051676986154,0.29136544073931514,0.2215708415656291,0.0
2024-03-28,82.1928962109656,16.390702669357815,0.0,0.0,0.4906592202603819,0.4167833781242528,0.2913744321483519,0.21758408914359736,0.0
2024-04-02,82.19274700908716,16.39194360131159,0.0,0.0,0.4906583295839279,0.41678262155202106,0.2913739032265763,0.2164945352387258,0.0
2024-04-03,80.43523843675409,16.041438447939356,2.141109509021515,0.0,0.48016669556864133,0.4050381060594456,0.2851435221855552,0.2118652824714073,0.0
2024-04-08,80.43509554786912,16.041587595818754,2.1411057054553635,0.0,0.4801658425782723,0.4050373865309845,0.2851430156433888,0.21186490610410164,0.0
2024-04-10,80.43448924057299,16.041679748902936,2.1410942948379907,0.0,0.48069621468725215,0.4050352279609393,0.28514149602768757,0.21186377701020773,0.0
2024-04-11,80.43431159688569,16.042390323652143,2.1410942948379907,0.0,0.48069621468725215,0.4045022968990357,0.28514149602768757,0.21186377701020773,0.0
2024-04-12,79.46639187461007,15.849166034402709,2.115329079047846,1.2035422074051687,0.4749116765047057,0.3996346509516621,0.28171019821255144,0.20931427886529014,0.0
2024-04-15,79.46691839255703,15.849166034402709,2.115329079047846,1.2035422074051687,0.4749116765047057,0.3996346509516621,0.28171019821255144,0.208787760918327,0.0
2024-04-16,79.46691839255703,15.850394576278957,2.115329079047846,1.2035422074051687,0.4749116765047057,0.3996346509516621,0.28171019821255144,0.20755921904207966,0.0
2024-04-18,79.46845724786549,15.850561488380817,2.1153513544568914,1.2035548812700716,0.4749166775477865,0.39788378098748156,0.28171316475329417,0.20756140473817347,0.0
2024-04-19,79.46845724786549,15.850561488380817,2.1153514773123727,1.2035548812700716,0.4749166775477865,0.3978836581320002,0.28171316475329417,0.20756140473817347,0.0
2024-04-23,79.48297420180998,15.835272151076405,2.1157005200000936,1.2037534733409798,0.4749950409759698,0.3979493107589628,0.28175964871647785,0.20759565332114138,0.0
2024-04-25,79.48261088854314,15.835726376689541,2.1156908492237383,1.2037479710354702,0.4749233575428735,0.3979474917497274,0.28175836080520544,0.20759470441031178,0.0
2024-04-26,79.48233184835061,15.836021852830209,2.1156834216521565,1.2037437450285258,0.47492169022591396,0.39794609467251174,0.28175737163403497,0.20759397560604076,0.0
2024-05-03,79.48219232898907,15.836169590122545,2.1156797078859224,1.2037416320361805,0.47492085657182426,0.39794539613758245,0.28175687705105423,0.2075936112058242,0.0
