date,UBS SECURITIES HONG KONG LTD,CMB WING LUNG BANK LTD,THE HONGKONG AND SHANGHAI BANKING,SDICS INTERNATIONAL SECURITIES (HONG,INTERACTIVE BROKERS HONG KONG LTD,CMB INTERNATIONAL SECURITIES LTD,FIRST SHANGHAI SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,CITIBANK N.A.,GUOTAI JUNAN SECURITIES (HONG KONG) LTD
2024-03-01,0.0,0.0,0.0,0.0,40.61537598593345,0.0,0.0,24.924270654121166,34.46035335994539,0.0
2024-03-04,0.0,0.0,0.0,0.0,40.648517820321466,0.0,0.0,24.59259165228349,34.75889052739504,0.0
2024-03-05,0.0,0.0,0.0,0.0,40.65236892628719,0.0,0.0,24.58544743311586,34.76218364059695,0.0
2024-03-06,0.0,0.0,0.0,0.0,40.66121663986676,0.0,0.0,24.694689539054075,34.64409382107917,0.0
2024-03-07,0.0,0.0,0.0,0.0,40.77516581519295,0.0,0.0,24.564336948271283,34.66049723653577,0.0
2024-03-08,0.0,0.0,0.0,0.0,40.782889829437316,0.0,0.0,24.550047217640007,34.66706295292268,0.0
2024-03-12,0.0,0.0,0.0,0.0,40.898718727558965,0.0,0.0,24.496492373634947,34.604788898806085,0.0
2024-03-13,0.0,0.0,0.0,0.0,40.941297268428634,0.0,0.0,24.446280623331887,34.612422108239485,0.0
2024-03-14,0.0,0.0,0.0,0.0,40.99713933151346,0.0,0.0,24.423165812446822,34.579694856039715,0.0
2024-03-15,0.0,0.0,0.0,0.0,40.993263275508156,0.0,0.0,24.430311190070515,34.57642553442133,0.0
2024-03-18,0.0,19.36622176680857,30.964669788815876,0.0,20.316808990200308,0.0,0.0,12.122045901459904,17.230253552715343,0.0
2024-03-19,0.0,19.37166801919937,30.93588123184873,0.0,20.360019145751153,0.0,0.0,12.125454915477563,17.20697668772318,0.0
2024-03-20,0.0,19.363499788842745,30.871300800842118,0.0,20.379544741772058,0.0,0.0,12.139082495255638,17.24657217328744,0.0
2024-03-21,0.0,19.388742028617184,30.874193771781293,0.0,20.404882195821422,0.0,0.0,12.17301879902065,17.15916320475945,0.0
2024-03-27,0.0,19.38601701303361,30.86985451867068,0.0,20.402014365516465,0.0,0.0,12.18536255459169,17.156751548187557,0.0
2024-03-28,0.0,19.397627580720208,30.851065174624065,0.0,20.42705260657201,0.0,0.0,12.177945772979307,17.146308865104412,0.0
2024-04-02,0.0,16.759517549193006,26.655268333913018,0.0,17.636803253296222,0.0,0.0,10.521724630811251,14.814381971856147,13.612304260930358
2024-04-03,0.0,16.792558942448245,26.656346652787082,0.0,17.588971637606626,0.0,0.0,10.518104854340026,14.814981276559733,13.629036636258284
2024-04-05,0.0,14.236580762226053,22.5990114579267,0.0,14.99065482166685,0.0,15.148874301795345,8.958310997575152,12.511992715919131,11.554574942890767
2024-04-08,0.0,13.215838553711606,20.97869508764957,0.0,13.957235634994777,7.204876571199559,13.96084125705261,8.331931942920567,11.611717198756724,10.738863753714586
2024-04-09,0.0,13.227208907242627,20.99674427755126,0.0,14.001108969704626,7.211075344998812,13.851765145695904,8.339100387919528,11.62489394493364,10.748103021953598
2024-04-10,32.46762486069541,8.938059773312416,14.149432021399063,0.0,9.523453164163056,4.872760603952299,9.325641261916665,5.626391276238339,7.857476123392295,7.23916091493046
2024-04-11,32.45867293654781,8.941525343015254,14.154918205668288,0.0,9.557302624632795,4.8746499280278295,9.329257109274648,5.602724022448247,7.864830847224175,7.216118983160949
2024-04-12,29.6330590528342,8.168562689246691,12.856354408254589,8.735304692258747,8.752754639174405,4.45325400283432,8.522776441129226,5.122324423056887,7.17313742872715,6.5824722224837835
2024-04-15,29.56486838727679,8.174192655953618,12.751001104756613,8.69406421971458,8.8946627671442,4.456323290875219,8.65468001033875,5.049055641981468,7.1741429038511235,6.587009018107648
2024-04-16,29.723073966572798,8.226913417505031,12.705495411642238,8.583743397059468,9.029518204989785,4.486145798509371,8.663038948071563,4.757733060725801,7.193247341537356,6.6310904533865855
2024-04-17,29.695429520304934,8.237724904302434,12.67136926119842,8.59295322467587,9.186060487464742,4.490959156453,8.622720961020013,4.689410732080619,7.1751665477561355,6.63820520474383
2024-04-18,29.71016959522578,8.239828405871274,12.677659014715271,8.59721855359581,9.178707215199786,4.4931883572257085,8.627001065906189,4.697694941756971,7.139018106109591,6.639514744393623
2024-04-19,29.758619921933455,8.239344464787806,12.678445919626736,8.611238603072941,9.20958544612376,4.500515694862371,8.561520135387763,4.667569746284571,7.122817830351103,6.650342237569495
2024-04-22,29.841111102015113,8.262184006735065,12.7135906934185,8.635109039141403,8.977856060569726,4.512991167569745,8.585252751386546,4.652588773283347,7.130596840688809,6.6887195651917475
2024-04-23,29.913035927204547,8.287636559591423,12.752756286783951,8.661710427958209,8.931498703048891,4.526893925743517,8.361651175257578,4.730934217579946,7.134559861535858,6.699322915296084
2024-04-24,29.947847362091217,8.302833746335683,12.77614124308612,8.677593560616343,8.945872488093434,4.535194971749372,8.25674029324234,4.709548468232888,7.152652788950012,6.695575077602586
2024-04-25,29.915344955720585,8.296598655884933,12.76854943885165,8.671077040787296,8.947164734533425,4.531789224780981,8.250539817100151,4.67597341575943,7.2524157435399,6.690546973041651
2024-04-26,29.93692711380201,8.302584162787644,12.777761194653484,8.677332711771783,8.951615583579734,4.535058643588809,8.25649209526553,4.677342852026638,7.189511834203466,6.695373808320906
2024-04-29,29.91337438468148,8.312746010907714,12.737219622017252,8.68795322887531,8.964578261619414,4.528570539854867,8.216436136776997,4.652970793940379,7.282582490686308,6.703568530640279
2024-04-30,29.915475227345638,8.313329822391216,12.728081185053428,8.68856339149263,8.969221045109164,4.554974341498446,8.2170131843331,4.653297576182774,7.25600489842342,6.704039328170179
2024-05-02,29.81348829277709,8.288880137181266,12.658636496423412,8.663010136132002,9.00686461524786,4.541578062129248,8.152832864835545,4.607601003120554,7.582785790578653,6.684322601574369
2024-05-03,29.83318503893117,8.294356315156831,12.666999622109287,8.66873348892809,8.954756648680846,4.544578526528122,8.158219161058192,4.602637018717247,7.587795476308516,6.6887387035816985
2024-05-06,29.83437961761807,8.294688437297417,12.665504736246074,8.66908060185803,8.911069077526637,4.544760500281229,8.158545832002648,4.622842288612052,7.608120277747332,6.691008630810515
2024-05-07,29.879056762673606,8.307109778154954,12.57883295293501,8.682062597009644,8.872280974243319,4.551566303744085,8.17076329857143,4.621744638823841,7.65761028953947,6.678972404304647
2024-05-08,29.814456267549012,8.290818374914949,12.544158288472513,8.66503585889011,8.824863746063299,4.812797053263445,8.154739289833072,4.57866098040198,7.648596134615554,6.665874005996065
2024-05-09,29.816479298735292,8.291380940402702,12.540225355451181,8.66562381654446,8.825462548684845,4.813123620967535,8.1552926218057,4.576970362225677,7.6491151227323515,6.666326312450253
2024-05-10,29.8111098142807,8.289887791576493,12.537967055789826,8.664063272393486,8.845883542463746,4.812256852218553,8.153823980370314,4.5721442442076485,7.6477376359965294,6.665125810702703
2024-05-13,29.812066932377807,8.290153947438442,12.531156986831391,8.664341441566126,8.850169554458652,4.812411354957629,8.15408576775565,4.572291037870346,7.647983174929463,6.665339801814494
