date,THE HONGKONG AND SHANGHAI BANKING,INTERACTIVE BROKERS HONG KONG LTD,BOCI SECURITIES LTD,CITIBANK N.A.,HANG SENG SECURITIES LTD,SHANGHAI COMMERCIAL BANK LTD,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,ABN AMRO CLEARING HONG KONG LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD
2024-03-04,0.0,73.46938775510205,0.0,0.0,0.0,0.0,0.0,26.53061224489796,0.0,0.0
2024-03-05,36.24823695345557,14.66854724964739,0.0,0.0,0.0,0.0,0.0,5.500705218617771,43.58251057827927,0.0
2024-03-08,39.356814701378255,15.926493108728943,0.0,7.503828483920367,0.0,0.0,0.0,5.972434915773354,31.240428790199083,0.0
2024-03-11,39.721792890262755,16.0741885625966,0.0,7.573415765069552,0.0,0.0,0.0,6.0278207109737245,30.602782071097373,0.0
2024-03-12,42.81298299845441,16.0741885625966,0.0,7.573415765069552,0.0,0.0,0.0,6.0278207109737245,27.51159196290572,0.0
2024-03-13,44.03815580286168,16.534181240063592,0.0,7.790143084260731,0.0,0.0,1.7488076311605723,3.815580286168521,26.073131955484897,0.0
2024-03-14,43.21372854914197,16.22464898595944,0.0,7.644305772230889,0.0,0.0,1.71606864274571,3.74414976599064,27.45709828393136,0.0
2024-03-15,43.21372854914197,16.22464898595944,0.0,7.644305772230889,0.0,0.0,1.71606864274571,5.14820592823713,26.053042121684868,0.0
2024-03-18,42.945736434108525,16.124031007751938,0.0,7.596899224806202,0.0,0.0,1.7054263565891472,5.116279069767442,26.51162790697674,0.0
2024-03-20,43.96825396825397,16.507936507936506,0.0,7.777777777777778,0.0,0.0,1.746031746031746,5.555555555555555,24.444444444444443,0.0
2024-03-21,35.51282051282051,13.333333333333334,0.0,6.282051282051282,0.0,0.0,1.4102564102564104,4.487179487179487,38.97435897435898,0.0
2024-03-25,34.02948402948403,12.776412776412776,0.0,6.019656019656019,0.0,0.0,1.3513513513513513,4.2997542997543,41.52334152334152,0.0
2024-03-26,27.05078125,10.15625,0.0,4.78515625,0.0,0.0,1.07421875,3.41796875,53.515625,0.0
2024-03-27,27.867203219315893,10.46277665995976,0.0,4.929577464788732,0.0,0.0,1.1066398390342052,3.5211267605633805,52.112676056338024,0.0
2024-04-02,27.867203219315893,10.46277665995976,0.0,4.929577464788732,0.0,0.0,1.9114688128772637,3.5211267605633805,51.30784708249497,0.0
2024-04-03,27.589641434262944,10.358565737051793,0.0,4.8804780876494025,0.0,0.0,1.8924302788844622,3.48605577689243,51.79282868525896,0.0
2024-04-08,27.589641434262944,10.358565737051793,0.0,5.179282868525896,0.0,0.0,1.8924302788844622,3.48605577689243,51.494023904382466,0.0
2024-04-11,28.439425051334705,10.677618069815194,0.0,5.338809034907597,0.0,0.0,1.9507186858316223,3.5934291581108826,50.0,0.0
2024-04-12,30.240174672489083,11.353711790393014,0.0,5.676855895196507,0.0,0.0,2.074235807860262,3.820960698689956,46.83406113537118,0.0
2024-04-15,30.67552602436323,11.517165005537098,0.0,8.637873754152823,0.0,0.0,2.104097452934662,15.060908084163898,32.00442967884828,0.0
2024-04-16,47.23451327433628,11.504424778761061,0.0,8.628318584070795,0.0,0.0,2.101769911504425,26.10619469026549,4.424778761061947,0.0
2024-04-17,63.888888888888886,7.4074074074074066,0.0,5.555555555555555,0.0,0.0,1.3532763532763532,16.80911680911681,4.985754985754986,0.0
2024-04-18,64.38746438746439,7.4074074074074066,0.0,5.555555555555555,0.0,0.0,1.3532763532763532,16.80911680911681,4.487179487179487,0.0
2024-04-19,63.26102169349195,7.2778166550035,0.0,5.458362491252624,0.0,0.0,1.3296011196641007,16.515045486354094,6.158152554233729,0.0
2024-04-25,63.39869281045751,5.718954248366013,0.0,4.248366013071895,0.0,0.0,1.0348583877995643,12.799564270152505,12.799564270152505,0.0
2024-04-30,1.312302020150529e-06,1.7858368140766636e-07,0.0,8.98679170954708e-08,0.0,0.0,2.189090288223007e-08,2.7075590406968767e-07,2.1314826490592434e-07,0.0
2024-05-03,62.37677984665937,8.488499452354874,0.0,4.271631982475356,0.0,0.0,1.04052573932092,12.869660460021906,10.952902519167578,0.0
2024-05-06,62.8618241398143,9.666848716548335,0.0,4.2599672310212995,1.6930638995084655,0.0,1.0376843255051884,12.834516657564174,7.64609503003823,0.0
2024-05-09,63.10307017543859,9.703947368421053,0.0,4.276315789473684,1.699561403508772,0.0,1.0416666666666665,12.883771929824562,7.291666666666667,0.0
2024-05-16,63.24175824175824,9.505494505494505,0.0,4.285714285714286,1.7032967032967032,0.0,1.0439560439560438,12.912087912087914,7.307692307692308,0.0
2024-05-17,63.24175824175824,6.923076923076923,0.0,4.285714285714286,1.7032967032967032,0.0,1.0439560439560438,12.417582417582418,10.384615384615385,0.0
2024-05-20,67.15285880980163,7.351225204200699,0.0,4.550758459743291,1.8086347724620768,0.0,1.1085180863477246,13.185530921820304,4.842473745624271,0.0
2024-05-21,67.34932709186658,7.606787595084845,0.0,4.564072557050907,1.8139262726740786,0.0,1.1117612638970158,13.224107665301347,4.330017554125219,0.0
2024-05-23,66.30184331797236,7.4884792626728105,0.0,4.493087557603687,1.7857142857142856,0.0,1.0944700460829493,13.018433179723502,5.817972350230415,0.0
2024-05-27,66.68597914252608,7.531865585168019,0.0,4.5191193511008105,2.3754345307068365,0.0,1.100811123986095,13.093858632676708,4.692931633835458,0.0
2024-05-28,66.91599539700806,7.479861910241657,0.0,4.487917146144994,2.3590333716916,0.0,1.093210586881473,13.003452243958574,4.660529344073648,0.0
2024-05-30,70.18708509354255,7.845503922751962,0.0,4.707302353651177,2.4743512371756187,0.0,1.1466505733252867,8.811104405552204,4.828002414001207,0.0
2024-05-31,1.3399536869491354e-06,1.520841673923352e-07,0.0,8.98679170954708e-08,4.7238264114285934e-08,0.0,2.189090288223007e-08,1.6821430635818895e-07,8.98679170954708e-08,0.0
2024-06-03,70.39951573849879,10.048426150121065,0.0,4.721549636803874,2.4818401937046004,0.0,1.1501210653753027,8.837772397094431,2.360774818401937,0.0
2024-06-04,69.84984984984986,9.96996996996997,0.0,4.684684684684685,2.4624624624624625,0.0,1.1411411411411412,11.05105105105105,0.8408408408408409,0.0
2024-06-05,67.51445086705202,9.595375722543352,0.0,4.508670520231214,2.3699421965317917,0.0,2.0809248554913293,13.121387283236993,0.8092485549132947,0.0
2024-06-06,63.03291958985429,8.958445763626552,0.0,4.209390178089585,2.212628170534269,0.0,1.9427954668105774,15.21856449001619,4.425256341068538,0.0
2024-06-07,64.14058209774849,9.115870400878638,0.0,4.2833607907743,2.2515101592531575,0.0,1.9769357495881383,15.485996705107082,2.7457440966501925,0.0
2024-06-11,64.39678284182305,8.900804289544235,0.0,4.18230563002681,2.1983914209115283,0.0,1.93029490616622,15.120643431635388,3.2707774798927614,0.0
2024-06-12,65.71582346609257,8.934337997847146,0.0,4.198062432723358,2.2066738428417656,0.0,2.529601722282024,15.177610333692144,1.2378902045209903,0.0
2024-06-13,65.71582346609257,8.934337997847146,0.0,4.198062432723358,2.2066738428417656,0.0,2.529601722282024,15.177610333692144,1.2378902045209903,0.0
2024-06-17,65.5861696380335,8.968125337655321,0.0,4.213938411669368,2.215018908698001,0.0,2.5391680172879525,15.235008103727715,1.242571582928147,0.0
2024-06-20,42.06783369803063,9.080962800875273,0.0,4.266958424507659,2.242888402625821,0.0,2.5711159737417946,15.426695842450766,24.34354485776805,0.0
2024-06-21,43.73194685153091,9.589832466782207,0.0,4.506065857885615,2.368573079145003,0.0,2.7151935297515886,16.291161178509533,20.797227036395146,0.0
2024-06-24,37.67001774098166,9.816676522767594,0.0,4.612655233589591,3.0159668835008873,0.0,2.7794204612655236,16.67652276759314,25.428740390301595,0.0
2024-06-25,39.787632729544036,10.368519675202998,0.0,4.871955028107433,3.185509056839475,0.0,2.9356652092442226,17.613991255465333,21.236727045596503,0.0
2024-06-27,42.751677852349,11.208053691275168,0.0,5.23489932885906,3.422818791946309,0.0,3.1543624161073827,18.926174496644297,15.302013422818792,0.0
2024-06-28,44.08304498269896,11.557093425605537,0.0,5.397923875432526,3.5294117647058822,0.0,3.2525951557093427,19.515570934256054,12.664359861591695,0.0
2024-07-02,46.32727272727273,12.290909090909091,0.0,5.672727272727273,4.4363636363636365,0.0,3.418181818181818,20.50909090909091,7.345454545454546,0.0
2024-07-03,46.455834242093786,9.978189749182116,0.0,4.252998909487459,3.326063249727372,0.0,2.5627044711014175,15.376226826608505,18.047982551799347,0.0
