date,EVERBRIGHT SECURITIES INVESTMENT,CHINA CONSTRUCTION BANK (ASIA),THE HONGKONG AND SHANGHAI BANKING,CITIC SECURITIES BROKERAGE (HK) LTD,HANG SENG BANK LTD,RIFA SECURITIES LTD,FULBRIGHT SECURITIES LTD,PHILLIP SECURITIES (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,CMB WING LUNG BANK LTD,TOTAL_CCASS_PCT
2024-03-01,0.0,0.0,3.2933271173615575,0.0,0.0,0.0,0.0,0.0,1.3507822468046846,0.0,4.644109364166242
2024-03-05,4.686274548603306,0.0,3.292139856198928,0.0,0.0,0.0,0.0,0.0,1.3507822468046846,0.0,9.329196651606917
2024-03-06,4.686670302324183,0.0,3.2877865652692866,0.0,0.0,0.0,1.307471355345683,0.0,1.3503864930838079,0.0,10.63231471602296
2024-03-08,4.687461809765935,0.0,3.2877865652692866,0.0,0.0,0.0,1.307471355345683,0.0,1.3490013550607403,0.7216272284892022,11.353348313930848
2024-03-11,4.702896204880118,0.0,3.2877865652692866,0.0,0.0,0.0,1.30667984790393,0.0,1.328422161575163,0.7216272284892022,11.3474120081177
2024-03-12,4.705270727205377,0.0,3.2877865652692866,0.0,0.0,0.0,1.30667984790393,0.0,1.328422161575163,0.7216272284892022,11.349786530442959
2024-03-13,4.710019771855896,0.0,3.2877865652692866,0.0,0.0,0.0,1.305096833020424,0.0,1.328422161575163,0.7216272284892022,11.352952560209971
2024-03-14,4.711602786739401,0.0,3.2874897499786297,0.0,0.0,0.0,1.3035138181369181,0.0,1.328422161575163,0.7216272284892022,11.352655744919314
2024-03-18,4.717143338831672,0.0,3.2874897499786297,0.0,0.0,1.545497430766844,1.30667984790393,0.0,1.316054857797773,0.7216272284892022,12.89449245376805
2024-03-19,4.717539092552548,0.0,3.2874897499786297,0.0,0.0,1.545497430766844,1.30667984790393,0.0,1.3159559193675539,0.7216272284892022,12.894789269058707
2024-03-20,4.717934846273425,0.0,3.2874897499786297,0.0,0.0,1.545497430766844,1.30667984790393,0.0,1.3159559193675539,0.7216272284892022,12.895185022779584
2024-03-21,4.71951786115693,0.0,3.2874897499786297,0.0,0.0,1.545497430766844,1.3070756016248064,0.0,1.314372904484048,0.7216272284892022,12.89558077650046
2024-03-22,4.71951786115693,4.988020534869069,3.2874897499786297,0.0,0.0,1.545497430766844,1.3070756016248064,0.0,1.314372904484048,0.7216272284892022,17.883601311369528
2024-03-25,4.732577733945854,4.988020534869069,3.2874897499786297,0.0,0.0,1.545497430766844,1.3070756016248064,0.0,1.3131856433214186,0.7216272284892022,17.895473922995826
2024-03-26,4.74207582324689,4.988020534869069,3.2874897499786297,0.0,0.0,1.5367908489075615,1.3070756016248064,0.0,1.3108111209961595,0.7216272284892022,17.89389090811232
2024-03-27,4.744054591851272,4.988020534869069,3.2874897499786297,0.0,0.0,1.5367908489075615,1.3070756016248064,0.0,1.3108111209961595,0.7216272284892022,17.8958696767167
2024-04-02,4.756322957198444,4.988020534869069,3.2874897499786297,0.0,0.0,1.537186602628438,1.3070756016248064,0.0,1.3104153672752832,0.7216272284892022,17.90813804206387
2024-04-03,4.756322957198444,4.988020534869069,3.286302488816,0.0,0.0,1.537186602628438,1.3070756016248064,0.0,1.3104153672752832,0.7216272284892022,17.906950780901244
2024-04-05,4.760676248128085,4.988020534869069,3.2799704292819762,0.0,0.0,1.5379781100701908,1.3078671090665595,0.0,1.3104153672752832,0.7216272284892022,17.906555027180364
2024-04-08,4.769382829987368,4.988020534869069,3.2799704292819762,0.0,0.0,1.5387696175119439,1.3062840941830534,0.0,1.3104153672752832,0.7216272284892022,17.914470101597896
2024-04-09,4.769382829987368,4.988020534869069,3.2783874143984706,0.0,0.0,1.5387696175119439,1.307471355345683,0.0,1.3104153672752832,0.7216272284892022,17.91407434787702
2024-04-10,4.770174337429121,4.988020534869069,3.2783874143984706,1.140225832903281,0.0,1.5395611249536967,1.3094501239500653,0.0,1.3104153672752832,0.7216272284892022,19.057861964268188
2024-04-11,4.798272851611351,4.988020534869069,3.2752213846314584,1.140225832903281,0.0,1.531646050536167,1.3098458776709418,0.0,1.293793710998471,0.7216272284892022,19.058653471709942
2024-04-12,4.810936970679398,4.988020534869069,3.2744298771897054,1.140225832903281,0.0,1.531646050536167,1.305888340462177,0.0,1.293793710998471,0.7216272284892022,19.06656854612747
2024-04-15,4.812915739283781,4.988020534869069,3.274034123468829,1.140225832903281,0.0,1.531646050536167,1.305888340462177,1.291166302045572,1.293793710998471,0.7216272284892022,20.359317863056546
2024-04-16,4.815290261609039,4.988020534869069,3.2736383697479527,1.140225832903281,0.0,1.531646050536167,1.305888340462177,1.291166302045572,1.293793710998471,0.7216272284892022,20.36129663166093
2024-04-17,4.816081769050792,4.988020534869069,3.272648985445761,1.140225832903281,0.0,1.531646050536167,1.305888340462177,1.291166302045572,1.2942884031495663,0.7216272284892022,20.361593446951588
2024-04-18,4.829933149281469,4.988020534869069,3.2706702168413786,1.140225832903281,0.0,1.531646050536167,1.304305325578671,1.291166302045572,1.2942884031495663,0.7216272284892022,20.37188304369438
2024-04-19,4.841014253466011,4.988020534869069,3.2706702168413786,1.140225832903281,0.0,1.531646050536167,1.304305325578671,1.291166302045572,1.2942884031495663,0.7216272284892022,20.38296414787892
2024-04-22,4.841805760907764,4.988020534869069,3.2706702168413786,1.140225832903281,0.0,1.5324375579779201,1.3054925867413005,1.291166302045572,1.2942884031495663,0.7216272284892022,20.385734423925054
2024-04-23,4.853282618813182,4.988020534869069,3.2702744631205025,1.140225832903281,0.0,1.5324375579779201,1.304305325578671,1.291166302045572,1.2942884031495663,0.7216272284892022,20.395628266946968
2024-04-24,4.854865633696688,4.988020534869069,3.2556315754480725,1.140225832903281,0.0,1.5328333116987967,1.3098458776709418,1.2915620557664482,1.2942884031495663,0.7216272284892022,20.388900453692067
2024-04-25,4.855657141138441,4.988020534869069,3.258797605215084,1.140225832903281,0.0,1.533229065419673,1.309054370229189,1.2915620557664482,1.2867690824529132,0.7216272284892022,20.3849429164833
2024-04-26,4.855657141138441,4.988020534869069,3.258797605215084,1.140225832903281,0.0,1.5336248191405495,1.3086586165083123,1.2915620557664482,1.2867690824529132,0.7216272284892022,20.3849429164833
2024-04-29,4.856448648580193,4.988020534869069,3.258797605215084,1.140225832903281,0.0,1.534020572861426,1.3078671090665595,1.2915620557664482,1.2867690824529132,0.7216272284892022,20.385338670204177
