date,MIB SECURITIES (HONG KONG) LTD,SHANGHAI COMMERCIAL BANK LTD,CLSA LTD,UOB KAY HIAN (HONG KONG) LTD,THE BANK OF EAST ASIA LTD,CITIBANK N.A.,THE HONGKONG AND SHANGHAI BANKING,HSBC BROKING SECURITIES (HONG KONG) LTD,BOCI SECURITIES LTD,DEUTSCHE BANK AG
2024-03-01,0.0,0.0,0.0,61.419566082577994,0.0,0.0,38.58043391742201,0.0,0.0,0.0
2024-03-04,81.85298212572394,0.0,0.0,11.161254132615936,0.0,0.0,6.985763741660126,0.0,0.0,0.0
2024-03-05,76.04542917743692,0.0,0.0,10.369351716099294,7.096496243183706,0.0,6.488722863280076,0.0,0.0,0.0
2024-03-07,74.59421675070091,0.0,0.0,10.172649096856793,6.96187843517633,0.0,6.364266939076793,0.0,0.0,1.9069887781891677
2024-03-08,70.65900441935679,0.0,0.0,9.63599175380598,6.594605058488353,5.279809893962762,6.024203146708826,0.0,0.0,1.806385727677288
2024-03-11,70.65869935992548,0.0,0.0,9.67048892681803,6.598893934157227,5.2797870991920615,5.985752751023677,0.0,0.0,1.806377928883527
2024-03-12,70.63787686785365,0.0,0.0,9.705488623318717,6.599207335895459,5.280037852495705,5.970925601117695,0.0,0.0,1.8064637193187825
2024-03-13,70.64267390126294,0.0,0.0,9.711198861576623,6.601915226506828,5.28220444072376,5.954802593987902,0.0,0.0,1.8072049759419402
2024-03-14,70.65121853449281,0.0,0.0,9.729652870329128,6.602713765705726,5.2828433533964905,5.926147908412535,0.0,0.0,1.807423567663315
2024-03-15,70.62345603115554,0.0,0.0,9.773761036990583,6.60011921933048,5.280767452098946,5.9151829225897155,0.0,0.0,1.8067133378347298
2024-03-18,70.61217421851683,0.0,0.0,9.799399707881177,6.599064876869629,5.279923870768729,5.877971342811711,0.0,0.0,1.8314659831519333
2024-03-19,70.60516301637423,0.0,0.0,9.819148453007294,6.598409644562794,5.269902152161852,5.876092600095311,0.0,0.0,1.8312841337985144
2024-03-20,70.60699189139525,0.0,0.0,9.823719938788885,6.5985805621849885,5.263131230705519,5.876244807646691,0.0,0.0,1.8313315692786634
2024-03-21,70.60943053881127,0.0,0.0,9.824059233646274,6.598808466122068,5.259859177697206,5.876447763314851,0.0,0.0,1.8313948204083275
2024-03-22,70.59937220380166,0.0,0.0,9.822659793399097,6.601321804594064,5.259109909146123,5.875610661530869,0.0,0.0,1.8419256275281868
2024-03-25,70.59602006224061,0.0,0.0,9.83255293228482,6.601008366039468,5.249363964222956,5.8792165044878235,0.0,0.0,1.8418381707243137
