date,FUTU SECURITIES INTERNATIONAL,CITIBANK N.A.,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,MIB SECURITIES (HONG KONG) LTD,CMB WING LUNG BANK LTD,BANK OF CHINA (HONG KONG) LTD,LONG BRIDGE HK LTD,THE HONGKONG AND SHANGHAI BANKING,KGI ASIA LTD
2024-03-01,6.45577819255694,1.6263075111731768,72.0770186960502,0.0,0.0,7.191532094588253,12.649363505631431,0.0,0.0,0.0
2024-03-04,6.392064794293447,1.609558601326435,71.28757644814104,0.0,0.0,7.1257872611915,12.555139409764365,1.0298734852832079,0.0,0.0
2024-03-05,5.996356825793649,1.5131747830469877,66.79936559343724,0.0,0.0,6.7291971713195435,11.845468954322186,0.9665373023022638,6.149899369778122,0.0
2024-03-06,6.084923540906013,1.5125489142892938,66.7223110550794,0.0,0.0,6.726413887907028,11.853576212434966,0.9661375299115035,6.134088859471785,0.0
2024-03-07,5.475520134872493,1.2593591644656084,59.55286551134971,0.0,10.440056073754697,5.979310318681249,10.658953606389938,1.0150232512194874,5.484591149262402,0.13432079000441202
2024-03-08,5.440884717185992,1.2594177500888595,59.55796193108923,0.0,10.44054174711073,5.979588477312651,10.664101481553967,1.0383305635601936,5.4848462934657585,0.13432703863261913
2024-03-11,5.467960368500703,1.2602971889937662,59.51342822272912,0.0,10.447832273705313,5.983763964550234,10.67154811769046,1.032072718810298,5.4886763071507065,0.13442083786940623
2024-03-12,5.480973219630972,1.263296490121614,59.40074459481407,0.0,10.472696405273446,5.998004343854722,10.713276866970576,1.0345288830361505,5.501738458825878,0.13474073747257034
2024-03-13,5.4682676322977155,1.2628785513216247,59.437221873752854,0.0,10.453552275589379,5.988420774168738,10.69683486345828,1.0477837772460294,5.510094861585636,0.1349453905797462
2024-03-14,5.497182855990784,1.2636167299067347,59.39246934931559,0.0,10.412900941122661,5.989583047161768,10.74751095327391,1.0483962284951056,5.5133156257869835,0.13502426894645927
2024-03-15,5.462111617303392,1.2636167299067347,59.39246934931559,0.0,10.412900941122661,5.989583047161768,10.759201366169709,1.0717770542867002,5.5133156257869835,0.13502426894645927
2024-03-18,5.461393901025827,1.2645332707021435,59.44958723851133,0.0,10.340901276580789,5.968189916261435,10.762325795011682,1.1006317893205446,5.517314606308057,0.13512220627819183
2024-03-19,5.449695008707368,1.2645332707021435,59.44958723851133,0.0,10.275387479597423,5.996267257825734,10.762325795011682,1.1497671370580689,5.517314606308057,0.13512220627819183
2024-03-20,5.507524922302156,1.264918022335253,59.46767559277424,0.0,10.264470965269018,6.000432194952363,10.671980765662873,1.1243715754091137,5.563462642227797,0.13516331906718634
2024-03-21,5.527154382903624,1.2651252932851635,59.479760909695436,0.0,10.266152913513675,6.0365285411400045,10.647979876162621,1.1245558162534788,5.517556799958913,0.13518546708709075
2024-03-22,5.529506232864854,1.264592448025648,59.45470923393964,0.0,10.261829016945914,6.080783836259882,10.634135609938243,1.1240821760227984,5.515232916308362,0.13512852969466405
2024-03-25,5.383784588295788,1.2655400390337554,59.49926014672396,0.0,10.269518464181166,6.0970485274015,10.70064506831961,1.1342910443296348,5.51468233680534,0.13522978490924115
2024-03-26,5.1415786978935225,1.2687561159174277,59.65046373511424,0.0,10.295616066722697,6.1712325649328115,10.645672558003659,1.165344686726637,5.528696624648603,0.13263895004040088
2024-03-27,5.147482300811291,1.2690540380327358,59.6644705186971,0.0,10.29803362489524,6.191466805038054,10.648172314456117,1.1726627562097296,5.475987546293351,0.13267009556637907
2024-04-02,5.158691876101476,1.2695011836345618,59.68549303214268,0.0,10.301662091693995,6.193648341101731,10.651924151080248,1.1636800561986527,5.442682426756336,0.1327168412903187
2024-04-03,5.157117066944881,1.2691136392461178,59.667272664809175,0.0,10.2985172727787,6.22228488406402,10.655717167323328,1.1562800554441452,5.441020922962747,0.13267632642687696
2024-04-05,5.1682515165178256,1.2689646467083382,59.66026779298227,0.0,10.297308238239642,6.221554394699637,10.654466197911667,1.1561443094443256,5.440382153123425,0.1326607503728765
2024-04-08,5.200268498796355,1.2687561159174277,59.65046373511424,0.0,10.295616066722697,6.22053199769119,10.629239413750865,1.1629970946905237,5.439488127276299,0.13263895004040088
2024-04-10,5.274024658502124,1.2678631882603353,59.608482815251676,0.0,10.288370197940317,6.216154099533395,10.628796566407376,1.1481029592647016,5.435659913698973,0.13254560114110267
2024-04-11,5.32346804448096,1.2713723276731652,59.66306954433635,0.0,10.297791817988228,6.22184656986235,10.5493025837728,1.0998444884700536,5.440637643060499,0.1326669803555893
2024-04-12,5.394738698425598,1.2710141932696035,59.6462629823554,0.0,10.294891020597518,6.222441357114049,10.551025791435503,1.092492391813969,5.394503955754386,0.13262960923396916
2024-04-15,5.400513247656251,1.2707159020244128,59.63226474523877,0.0,10.292474937537314,6.220981027410125,10.572018354727883,1.0851953700177088,5.393237932675596,0.1325984827119389
2024-04-16,5.388146603111653,1.2705668088995947,59.62526809030065,0.0,10.29126732122583,6.220251119568937,10.594243943993312,1.085068044021004,5.392605143949974,0.13258292492903703
2024-04-17,5.4790857589274005,1.2693455636870723,59.56795739031179,0.0,10.281375546264604,6.214272329750682,10.584060953530887,1.084025096775145,5.387421872067737,0.13245548868467927
2024-04-18,5.605160577801881,1.2660510167702599,59.41335061027073,0.0,10.25469055592348,6.184113817717508,10.687532927088672,1.0835498036223812,5.373438986220141,0.13211170458494723
2024-04-19,5.619847172615752,1.2661990519163593,59.420297616292885,0.0,10.255889602876996,6.184836905634484,10.665397248233408,1.0813379658437983,5.374067284617952,0.1321271519683707
2024-04-22,5.719058885404055,1.2638346360435182,59.30934010559164,0.0,10.236738436928443,6.180290253179841,10.71550640018044,1.079318747264794,5.364032108892431,0.1318804265148375
2024-04-23,5.749858263187893,1.263421770835008,59.289965131705856,0.0,10.233394333966954,6.178271296940424,10.71200589492601,1.0789661590804462,5.362279805092603,0.13183734426480367
2024-04-24,5.863791959849462,1.262832431104147,59.262308546312056,0.0,10.228620832352691,6.1683924132656625,10.765317035545358,1.0854598087281744,5.231501125843859,0.13177584699858585
2024-04-25,5.893832589044104,1.2622730673962899,59.23605867829461,0.0,10.224090128884736,6.165660162519785,10.77919886819018,1.0779851627371768,5.229183865219776,0.13171747771334447
2024-04-26,5.8727293899411555,1.26024585465931,59.14092546524997,0.0,10.207670222393302,6.269807500209653,10.813093308537908,1.083236532936454,5.22078578685671,0.13150593921553427
2024-04-29,5.8730369586655655,1.2603118567146108,59.14867813664899,0.0,10.208204822219216,6.277118846791257,10.80260322773443,1.0832932645950315,5.215240060138371,0.13151282649252102
2024-04-30,1.9154756094433592,0.4115367215178091,19.314150662617067,0.0,3.3333425554447396,2.0497029342564446,3.512993592674611,0.35145365228522474,1.702961679558089,0.04294362317066436
2024-05-02,5.8711787686396795,1.2614129096601212,59.2073415932019,0.0,10.217123070451187,6.282602759490132,10.784084433335323,1.0772505853298366,5.167378159149749,0.13162772074207563
2024-05-03,5.888581648527549,1.2611484815360012,59.19725925148316,0.0,10.214981270040923,6.269639717747773,10.758531723631625,1.0770247628816085,5.201233016333859,0.13160012781749758
2024-05-06,5.8892675143307684,1.2612953723609732,59.20415418445485,0.0,10.216171048284957,6.270369966853171,10.759784811292207,1.0771502081073303,5.190191438524086,0.13161545579166126
2024-05-07,5.934474633931659,1.2610016249209413,59.19036592429626,0.0,10.213791768888457,6.2246598818126255,10.685081956022776,1.0768993468712593,5.282140059842906,0.13158480341311882
2024-05-08,5.9800784206082325,1.260796083109759,59.18071796288512,0.0,10.212126932604564,6.235288044227827,10.64142631070109,1.0767238135191664,5.28127907710239,0.13156335524185317
2024-05-09,5.980141083500551,1.2608092944965728,59.18133809437774,0.0,10.212233941470553,6.2353533813615245,10.640489957314578,1.076735096084985,5.281334417550932,0.13156473384256415
2024-05-10,5.9640122302610274,1.261337977100886,59.2131426827989,0.0,10.216516135819532,6.24262710155342,10.610008391292876,1.0771865926889828,5.283548986912299,0.1316199015720751
