date,SPDB INTERNATIONAL SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,CHINA GALAXY INTERNATIONAL SECURITIES,CMB INTERNATIONAL SECURITIES LTD,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,PRUDENTIAL BROKERAGE LTD,FIRST SHANGHAI SECURITIES LTD,REALINK FINANCIAL TRADE LTD
2024-03-01,0.0,69.94926680102857,0.0,0.0,0.0,30.050733198971436,0.0,0.0,0.0
2024-03-04,0.0,69.95135510771368,0.0,0.0,0.0,30.04864489228631,0.0,0.0,0.0
2024-03-11,0.0,37.674887139499305,33.23135469910085,0.0,0.0,19.676901839346343,0.0,0.0,9.416856322053501
2024-03-13,0.0,37.69813150337523,33.21896095177712,0.0,0.0,19.669563271547382,0.0,0.0,9.413344273300265
2024-03-14,0.0,37.83532041728763,33.18554396423249,0.0,0.0,19.601341281669153,0.0,0.0,9.37779433681073
2024-03-15,0.0,38.819727516433474,32.70904483860306,0.0,0.0,19.228085637692335,0.0,0.0,9.243142007271125
2024-03-27,0.0,38.79604804054799,32.7138502222059,0.0,0.0,19.230910493260367,0.0,0.0,9.25919124398575
2024-03-28,0.0,38.81851892646033,32.70183940962661,0.0,0.0,19.22384991004883,0.0,0.0,9.255791753864228
2024-04-08,0.0,40.132852533687604,33.80907193015752,0.0,0.0,16.268741696716642,0.0,0.0,9.789333839438223
2024-04-09,0.0,40.14199476062113,33.81677360567979,0.0,0.0,16.272447701127604,0.0,0.0,9.768783932571472
2024-04-10,0.0,34.95668848773391,29.448522118627256,0.0,0.0,14.170468822323611,0.0,12.917410566686504,8.506910004628711
2024-04-15,0.0,35.01457146641939,29.497284408530934,0.0,0.0,14.193932971254473,0.0,12.938799841038549,8.355411312756656
2024-04-17,0.0,28.496348004204513,24.006145055655878,0.0,18.61574535751826,11.551626553108912,0.0,10.530145810311835,6.799989219200604
2024-04-18,0.0,28.495579991375592,24.005498059508408,0.0,18.615243639499784,11.55131522207848,0.0,10.529862009486848,6.802501078050883
2024-04-29,0.0,28.49711605843351,24.006792086679962,0.0,18.61624710258207,11.551937900921782,0.0,10.530429626435232,6.797477224947442
2024-05-06,0.0,28.49865229110512,24.008086253369274,0.0,18.617250673854446,11.55256064690027,0.0,10.53099730458221,6.7924528301886795
2024-05-10,0.0,28.472465565109573,24.008733389040135,0.0,18.617752500067386,11.5528720450686,0.0,10.531281166608263,6.81689533410604
2024-05-13,0.0,28.43950245005654,23.980938021646654,0.0,18.596198373808626,11.539497065316892,0.0,10.519088902051585,6.924775187119703
2024-05-14,0.0,28.44333144842071,23.96262487546113,0.0,18.59870210302394,11.541050704149502,0.0,10.520505156582384,6.933785712362334
2024-05-23,0.0,28.385479828603767,23.981998005767107,0.0,18.613738647694504,11.550381329668257,0.0,10.529010698789985,6.939391489476379
2024-06-04,0.0,28.3870098369492,23.977900552486187,0.0,18.614741948524458,11.551003907829134,0.0,10.529578223959035,6.939765530251988
2024-06-06,0.0,28.38624481215976,23.97725435239584,0.0,18.614240284590096,11.55069261035951,0.0,10.52929445372716,6.942273486767639
2024-06-11,0.0,28.38318512530315,23.974669900296416,0.0,18.612233899218538,11.549447588251144,0.0,10.528159525734303,6.952303961196443
2024-06-24,0.0,28.379361444160047,23.97144011855045,0.0,18.60972652566348,11.547891687996767,0.0,10.52674120975347,6.964839013875792
2024-07-29,0.0,28.099239695878353,24.7218887555022,0.0,18.426037081499267,11.43390689609177,0.0,10.42283580098706,6.89609177004135
2024-08-02,0.0,28.082757885194766,24.707387954248542,0.0,18.415229157223987,11.427200255952222,0.0,10.416722211853788,6.950702535526701
2024-08-05,0.0,28.08200917137677,24.706729231097366,0.0,18.41473818918631,11.42689559560627,0.0,10.416444491841741,6.953183320891543
2024-08-08,0.0,28.081260497480603,24.706070543069664,0.0,18.41424724732731,11.426590951504972,0.0,10.416166786637874,6.955663973979578
2024-08-12,0.0,28.073775953516883,24.699485593965726,0.0,18.409339268104162,11.423545403662144,0.0,10.413390548788612,6.980463231962472
2024-08-13,0.0,27.279096715082595,24.972378668247593,0.0,18.612735455010913,11.54975881861543,0.0,10.528443234794793,7.057587108248672
2024-08-14,0.0,27.292335067806206,24.98449758701572,0.0,18.621768083901756,11.5068345420722,0.0,10.533552613841634,7.061012105362487
2024-08-22,0.0,27.28841435466041,24.985844859661892,0.0,18.622772250532503,11.50745504057807,0.0,10.534120628757853,7.06139286580927
2024-08-30,0.0,27.287678619574006,24.9851712051766,0.0,18.622270153680237,11.507144782960367,0.0,10.533836613642492,7.063898624966298
2024-09-02,0.0,27.28841435466041,24.983148642454637,0.0,18.622772250532503,11.50745504057807,0.0,10.534120628757853,7.064089083016528
2024-09-13,0.0,27.28252958460253,24.977761004933015,0.0,18.618756233657706,11.504973447987709,0.0,10.53184893657169,7.084130792247352
2024-09-20,0.0,27.268563422782627,24.96497467399504,0.0,18.609225132018537,11.499083953012178,0.0,10.526457592412976,7.131695225778641
2024-09-26,0.0,27.265625,24.96228448275862,0.0,18.607219827586206,11.497844827586206,0.0,10.52532327586207,7.141702586206897
2024-09-27,0.0,27.458146346706798,24.89990057238062,0.0,18.560718028645905,11.469110257168195,0.0,10.499019159970977,7.113105635127509
2024-10-02,0.0,27.45445752055457,24.8965554301682,0.0,18.558224515019614,11.467569455639744,0.0,10.497608683970123,7.125584394647751
2024-10-03,0.0,24.6972663331158,22.396248761269426,0.0,16.69446257220893,10.315906509075967,10.042781524182438,9.4433567785754,6.409977521572039
2024-10-04,0.0,25.078822595008305,22.27731112662158,0.0,16.62374545717105,10.296276685359455,9.889528027148668,9.40335507473104,6.430961033959903
2024-10-07,0.0,25.204228736184525,22.239308024987984,0.0,16.595386833253244,10.27871215761653,9.872657376261412,9.38731379144642,6.42239308024988
2024-10-08,0.0,25.353124251855398,22.279147713670095,0.0,16.53579123773043,10.241800335168781,9.83720373473785,9.353603064400287,6.399329662437156
2024-10-09,0.0,25.351910370583163,22.278081011203675,0.0,16.53499952121038,10.241309968399886,9.836732739634204,9.353155223594753,6.403811165373935
2024-10-10,0.0,25.330080367393798,22.34500574052813,0.0,16.520761576731726,10.232491389207807,9.828262533486413,9.345101415996938,6.398296976655185
2024-10-15,0.0,25.533846080351598,22.290163856112358,0.0,16.497874169970856,10.218315578273538,9.814646730043473,9.231834901829647,6.413318683418526
2024-10-16,0.0,25.490756622832095,22.46998284734134,0.0,16.454640747093578,10.191538021726702,9.788927005908137,9.207642462359443,6.396512292738708
2024-10-17,0.0,25.42352745503362,22.67208401644213,0.0,16.411243376814692,10.1646589208069,9.763109748853566,9.18573431225794,6.379642169791147
2024-10-21,0.0,25.369878603945374,22.87556904400607,0.0,16.376612291350533,10.143209408194235,9.742507587253414,9.166350531107739,6.32587253414264
2024-10-22,0.0,25.393359755084603,22.896741581033297,0.0,16.391769703585922,10.060042243159218,9.751524788190903,9.174834468519354,6.331727460426703
2024-10-24,0.0,25.405418239665696,22.90761450245744,0.0,16.399553624427192,10.064819431583446,9.756155471662273,9.179191300425007,6.287247429778948
2024-10-25,0.0,25.357252885276203,23.1248666966846,0.0,16.368462212953528,10.045737848662228,9.737659075289711,9.161788752754935,6.204232528378794
2024-10-28,0.0,25.354282193468887,23.12431868808948,0.0,16.36807431631831,10.04549978671975,9.73742831413811,9.161571638466278,6.2088250627991854
2024-10-29,0.0,25.294089744805998,23.14296556303956,0.0,16.38127312399203,10.053600227682383,9.745280333934161,9.168959301774025,6.213831704771843
2024-11-01,0.0,25.28869181703934,23.138026699547105,0.0,16.3777772508477,10.051454722215636,9.743200625992934,9.167002584592037,6.233846299765252
2024-11-04,0.0,25.2946896568081,23.119796978393378,0.0,16.381661646467283,10.053838673718664,9.745511467400329,9.16917676635913,6.235324810853117
2024-11-05,0.0,25.394265657978988,23.025114425972916,0.0,16.380107667133064,10.052884957431168,9.74458699931226,9.168306969905377,6.2347333222662265
2024-11-06,0.0,25.34797841113531,23.243537543793202,0.0,16.35025092320803,10.034561121105956,9.726825111258403,9.151595492851056,6.145251396648044
2024-11-07,0.0,25.408124525436598,23.29869020501139,0.0,16.389047076689444,10.058371298405467,9.749905087319666,9.173310554290053,5.922551252847381
2024-11-08,0.0,25.468556750071354,23.354105223099612,0.0,16.42802778042051,10.08229473884502,9.77309485301113,9.195128912567787,5.6987917419845875
2024-11-11,0.0,25.55885497089916,23.325810666349923,0.0,16.408124480342085,10.070079581898089,9.761254305737022,9.183988597220573,5.691887397553154
2024-11-12,0.0,25.55874878274707,23.32137852409567,0.0,16.40500676911384,10.068166163931311,9.759399567726765,9.182243545590575,5.705056646794765
2024-11-13,0.0,25.650053526822887,23.359105507315334,0.0,16.43154514095397,10.08445343166409,9.7751873438801,9.197097656714643,5.502557392648983
2024-11-14,0.0,25.746339608290548,23.338562464346836,0.0,16.41709450465868,10.044685301388096,9.766590606579198,9.189009317360714,5.497718197375927
2024-11-15,0.0,25.748104485061678,23.33800774843724,0.0,16.41670429966962,10.044446557174433,9.766358472179308,9.18879091103558,5.497587526442136
2024-11-18,0.0,25.67304957815907,23.561475021329038,0.0,16.368850127974216,10.015167314437386,9.737889847378899,9.162005877334344,5.481562233387051
2024-11-19,0.0,25.67730925122662,23.565384341890066,0.0,16.371566048021997,9.997866742515821,9.73950555832089,9.163526037592737,5.484842020431866
2024-11-22,0.0,25.714894927622073,23.55184913170177,0.0,16.36380866639816,9.99312942737331,9.734890663128716,9.159184060271507,5.482243123504467
2024-11-26,0.0,25.71184914957123,23.551428436063865,0.0,16.361870469512485,9.991945799971573,9.733737622589663,9.158099208793292,5.491069313497892
2024-11-27,74.13373692563158,6.650694542312853,6.091874437043891,0.0,4.2322044595314985,2.584542986868953,2.517754180427816,2.368858033958125,1.4203344342252806
2024-11-29,70.80770423779899,6.196632468528153,5.816219632813826,4.638695593648862,4.042325317352093,2.468586678527744,2.4047943722310334,2.2625784967255234,1.3624632023737762
2024-12-02,70.80811864267906,6.196668734563928,5.788746737209275,4.637552233914295,4.042348975220348,2.468601126028584,2.4048084463848864,2.262591738555359,1.3905633654442662
2024-12-03,70.8085330524098,6.196705001024201,5.788780616276008,4.63757937553039,4.042372633365522,2.468615573698534,2.4048225207034797,2.2626049805401927,1.389986246451877
