date,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA INTERNATIONAL CAPITAL CORPORATION,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,BOCI SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,CMB WING LUNG BANK LTD
2024-03-08,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2024-03-18,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2024-03-19,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2024-03-20,0.0,0.0,0.0,92.5531914893617,7.446808510638298,0.0,0.0
2024-03-22,0.0,0.0,0.0,84.84621155288822,6.826706676669167,0.0,8.32708177044261
2024-03-27,0.0,0.0,0.0,85.38575667655786,6.379821958456973,0.0,8.234421364985163
2024-04-16,0.0,0.0,0.0,85.4074074074074,6.37037037037037,0.0,8.222222222222223
2024-04-17,0.0,0.0,0.0,86.4,4.8,0.0,8.799999999999999
2024-04-19,0.0,0.0,0.0,87.03296703296704,4.102564102564102,0.0,8.864468864468865
2024-04-25,0.0,0.0,0.0,87.09677419354838,4.032258064516129,0.0,8.870967741935484
2024-05-10,0.0,0.0,0.0,85.90021691973969,3.2537960954446854,0.0,10.84598698481562
2024-05-22,0.0,0.0,0.0,85.5907780979827,3.2420749279538903,0.0,11.167146974063401
2024-05-23,0.0,0.0,0.0,85.56998556998558,3.2467532467532463,0.0,11.183261183261184
2024-05-27,0.0,0.0,0.0,85.27245949926362,3.313696612665685,0.0,11.413843888070693
2024-06-19,0.0,0.0,0.0,75.68627450980392,2.941176470588235,11.241830065359478,10.130718954248366
2024-06-27,0.0,0.0,0.0,74.5653573728268,2.8976175144880876,11.07533805537669,11.461687057308435
2024-07-04,0.0,0.0,0.0,74.08829174664108,2.8790786948176583,11.64427383237364,11.388355726167626
2024-09-19,0.0,96.20129029749268,0.0,2.8143991270015833,0.10936784172285946,0.4423321598568983,0.4326105739259774
2024-10-02,0.0,96.17791525079849,0.0,2.8015662529112113,0.10934126745967432,0.47867177087901874,0.4325054579516007
2024-10-03,0.0,96.18025224428405,0.0,2.7992044622040577,0.10934392430484599,0.4786834019567703,0.43251596725027974
2024-10-04,0.0,96.19193891549239,0.0,2.7995445879724077,0.09720640930459751,0.4787415658251427,0.4325685214054588
2024-10-08,0.0,96.18258935134392,0.0,2.7992724807458895,0.09719696113701005,0.48841472971347555,0.4325264770596947
2024-10-10,0.0,96.18492657198642,0.0,2.7993405025933993,0.09719932300671526,0.48599661503357633,0.43253698737988294
2024-11-14,0.0,95.95176540601732,0.0,2.7925546420766714,0.3393729599745955,0.4848185142494222,0.4314884776819857
2024-11-18,0.0,95.92153745678903,0.0,2.791674895887732,0.37076932211008945,0.4846657805360646,0.4313525446770975
2024-12-12,89.82340353551486,7.9199751475265465,1.9198739832651583,0.23050084873133692,0.030613393972130688,0.040017508460301554,0.03561558252966838
2024-12-13,89.82325436364694,7.919961994634981,1.9200368672689678,0.2305004659330816,0.0306133431317374,0.04001744200227111,0.03561552338202129
2024-12-16,89.82415299685518,7.920041229582623,1.9200560762021355,0.23050277196590874,0.03041356018994629,0.03921748550808864,0.035615879696121316
2024-12-20,89.81786294196536,7.919486618240332,1.9199216217407475,0.2374892627142838,0.03041143044024527,0.03921473925189522,0.035613385647129334
2024-12-23,89.81550994805694,7.919293790153114,1.9198748744158545,0.23848383183656718,0.03201125259551237,0.039213784429502664,0.03561251851250752
2025-01-02,89.81245525079123,7.919024448642934,1.9198095779371867,0.24167673719759497,0.03201016386723112,0.039412514261528316,0.03561130730229462
2025-01-03,89.81461148611474,7.91921457016,1.919855669108114,0.2424828127302036,0.02900990746359697,0.039213392157689694,0.03561216226565697
2025-01-14,89.81443179588334,7.9191987263515715,1.9198518280926742,0.24268239552692933,0.029009849424076462,0.03921331370426887,0.03561209101714214
2025-02-11,89.8102991189974,7.918834336254377,1.9197634889792852,0.24287128758033058,0.03400998261009571,0.03861133319852043,0.035610452379982574
2025-02-25,89.81461148611474,7.91921457016,1.919855669108114,0.23808130952883028,0.03401161564697576,0.03861318717568424,0.03561216226565697
2025-02-27,89.81083814224037,7.918881863495754,1.919775011011298,0.23807130711790797,0.03901168477982525,0.03781132524813832,0.035610666106712284
2025-02-28,89.80742443763893,7.918580867268409,1.9197020404776257,0.2334610547350343,0.03901020194801345,0.039810411218741924,0.04201098671324525
2025-03-04,89.8056278552396,7.918422457391909,1.9196636371616473,0.2334563843859569,0.04100990471218609,0.039809614818170885,0.04201014629053209
2025-03-10,89.80742443763893,7.918580867268409,1.9197020404776257,0.2304602699698025,0.04101072512483465,0.040810672807152525,0.04201098671324525
2025-03-11,89.80796342637582,7.918628391467284,1.919713561772045,0.23046165310143768,0.041411078291664585,0.03981065014512682,0.04201123884661624
2025-03-13,89.80023853929964,7.917947265787685,1.919548436432181,0.23044182980094546,0.04400798833004167,0.04580831512536156,0.042007625224130686
2025-03-24,89.79880149762388,7.917820557658704,1.919517718572778,0.2304381421212839,0.04400728408566186,0.04740784694682664,0.04200695299085905
2025-03-25,89.79880149762388,7.917820557658704,1.919517718572778,0.2304381421212839,0.04400728408566186,0.048007946275267485,0.041406853662418204
2025-03-31,89.79844224439132,7.917788881260101,1.9195100392615416,0.23043722021980992,0.044007108028088694,0.048407818830897564,0.041406688008247095
2025-04-01,89.79772374654958,7.9177255292232465,1.9194946808234001,0.23043537643899092,0.044006755917168405,0.049207554343742854,0.04140635670388118
2025-04-07,89.7971848807136,7.917678015860901,1.9194831621560813,0.23043399362273922,0.044006491837675896,0.049807347579914986,0.041406108229085956
2025-04-11,89.78820473548903,7.916886210432719,1.9192912047180481,0.2304109491283026,0.05400256620194592,0.04980236660846124,0.041401967421491874
2025-04-17,89.78802515090487,7.916870375939513,1.9192873659608984,0.23041048828542676,0.05400245819189689,0.0498022669991938,0.04160189371820205
2025-04-22,89.78784556703908,7.916854541509647,1.9192835272191047,0.23041002744439437,0.05400235018227993,0.05000217609470364,0.041601810510793424
2025-04-24,89.78533146834438,7.916632866142083,1.9192297864462855,0.2304035758634974,0.0540008380930072,0.05280081946871816,0.04160064564202036
2025-04-29,89.78461318029112,7.916569532602885,1.9192144324925324,0.23040173262102928,0.05400040608305374,0.053600403075031125,0.04160031283435251
