date,GET NICE SECURITIES LTD,OSHIDORI SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,HANG SENG BANK LTD,BANK OF CHINA (HONG KONG) LTD,CMB WING LUNG BANK LTD,UBS SECURITIES HONG KONG LTD,CITIBANK N.A.,NANYANG COMMERCIAL BANK LTD,TOTAL_CCASS_PCT
2024-03-04,9.292401112365761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.292401112365761
2024-03-05,9.297499207688906,0.0,0.0,0.0,0.37205443522943143,0.0,0.0,0.0,0.0,9.669553642918338
2024-03-06,9.302597303012051,0.0,2.2089534542448064,0.0,0.37205443522943143,0.0,0.0,0.0,0.0,11.88360519248629
2024-03-07,9.303938907044458,0.0,2.2089534542448064,0.0,0.37205443522943143,0.0,0.0,0.0,0.0,11.884946796518696
2024-03-08,9.30420722785094,0.0,2.2089534542448064,0.0,0.37205443522943143,0.0,0.0,0.0,0.0,11.885215117325178
2024-03-12,9.304475548657422,0.0,2.215245577156794,0.0,0.37205443522943143,0.0,0.0,0.0,0.0,11.891775561043646
2024-03-13,9.305817152689828,0.0,2.215245577156794,0.0,0.37205443522943143,0.0,0.0,0.0,0.0,11.893117165076053
2024-03-14,9.305817152689828,0.0,2.215245577156794,0.0,0.37293989389081983,0.0,0.0,0.0,0.0,11.89400262373744
2024-03-15,9.306085473496308,0.0,2.2149853059745066,0.0,0.3729694091795328,0.0,0.0,0.0,0.0,11.894040188650349
2024-03-18,9.30662211510927,0.0,2.2149853059745066,0.0,0.37323772998601407,0.0,0.0,0.0,0.0,11.894845151069793
2024-03-22,9.31011028559353,0.0,2.2149853059745066,0.0,0.3729694091795328,0.0,0.0,0.0,0.0,11.898065000747568
2024-04-02,9.312793493658342,0.0,2.2149853059745066,0.0,0.3729694091795328,0.0,0.0,0.0,0.0,11.900748208812383
2024-04-03,9.124968929121412,4.35884279096291,2.199727243313946,0.0,0.3729694091795328,0.0,0.0,0.0,0.0,16.0565083725778
2024-04-05,9.124968929121412,4.362599282253648,2.1995485416568292,0.0,0.37270108837305144,0.0,0.0,0.0,0.0,16.059817841404943
2024-04-08,9.124968929121412,4.36286760306013,2.1995485416568292,0.0,0.37270108837305144,0.0,0.0,0.0,0.0,16.060086162211423
2024-04-09,9.124968929121412,4.369843944028644,2.198206937624423,0.0,0.37270108837305144,0.0,0.0,0.0,0.0,16.065720899147532
2024-04-10,9.124968929121412,4.3762836433841965,2.1917672382688704,0.0,0.37270108837305144,0.0,0.0,0.2547936813433801,0.0,16.32051458049091
2024-04-12,9.124968929121412,4.3762836433841965,2.1917672382688704,0.0,0.3729613595553383,0.0,0.0,0.2547936813433801,0.0,16.320774851673196
2024-04-15,9.124968929121412,4.3762836433841965,2.191678692402732,0.0,0.3729613595553383,0.0,0.0,0.2547936813433801,0.0,16.320686305807058
2024-04-16,9.124968929121412,4.377893568223085,2.194734061426135,0.0,0.3729613595553383,0.0,0.0,0.2547936813433801,0.0,16.32535159966935
2024-04-18,9.124968929121412,4.377893568223085,2.194734061426135,0.0,0.3729613595553383,0.3052141124100933,0.0,0.2547936813433801,0.0,16.63056571207944
2024-04-19,9.125027959698837,4.377893568223085,2.194734061426135,0.0,0.3729613595553383,0.3052141124100933,0.0,0.2547936813433801,0.0,16.63062474265687
2024-04-22,9.125027959698837,4.378161889029566,2.194734061426135,0.0,0.3729613595553383,0.3052141124100933,0.0,0.2547936813433801,0.0,16.63089306346335
2024-04-23,9.125027959698837,4.389968004514745,2.1915142117483586,0.0,0.37349800116830095,0.3052141124100933,0.0,0.2547936813433801,0.0,16.640015970883717
2024-04-24,9.125027959698837,4.389968004514745,2.1143719798849765,0.0,0.37349800116830095,0.3052141124100933,0.2577009372816053,0.2547936813433801,0.0,16.820574676301938
2024-04-25,9.336307250892721,4.389968004514745,2.1143719798849765,0.0,0.3734684858795881,0.3052141124100933,0.2577009372816053,0.2547936813433801,0.0,17.031824452207108
2024-04-26,9.336307250892721,4.389968004514745,2.114103659078495,0.0,0.3734684858795881,0.3052141124100933,0.2577009372816053,0.25640360618226804,0.0,17.033166056239516
2024-04-29,9.336307250892721,4.392382891773076,2.114103659078495,0.0,0.37266352346014403,0.3052141124100933,0.2577009372816053,0.2547936813433801,0.0,17.033166056239516
2024-04-30,9.336307250892721,4.392651212579557,2.114103659078495,0.0,0.37266352346014403,0.3052141124100933,0.2577009372816053,0.2547936813433801,0.0,17.033434377045996
2024-05-02,9.336307250892721,4.3934561749990015,2.114103659078495,0.0,0.3723952026536627,0.3052141124100933,0.2577009372816053,0.2547936813433801,0.0,17.03397101865896
2024-05-03,9.336307250892721,4.406872215323069,2.1112642883043096,0.0,0.3723952026536627,0.3052141124100933,0.2577009372816053,0.25494984405275223,0.0,17.044703850918214
2024-05-06,9.336307250892721,4.41519016032399,2.1112642883043096,0.0,0.3723952026536627,0.3052141124100933,0.2577009372816053,0.2554864856657149,0.0,17.053558437532097
2024-05-07,9.336307250892721,4.14686935384266,2.110727646691347,0.0,0.3723952026536627,0.3052141124100933,0.2577009372816053,0.25575480647219623,0.0,16.784969310244286
2024-05-09,9.336307250892721,4.14686935384266,2.110459325884866,0.0,0.3723952026536627,0.3052141124100933,0.2577009372816053,0.25575480647219623,0.0,16.784700989437802
2024-05-10,9.336307250892721,4.14686935384266,2.109463319051207,0.0,0.3729318442666254,0.3052141124100933,0.2577009372816053,0.25602312727867754,0.0,16.78450994502359
2024-05-13,9.336307250892721,4.147137674649141,2.109463319051207,0.0,0.3729318442666254,0.3052141124100933,0.2577009372816053,0.25602312727867754,0.0,16.78477826583007
2024-05-14,9.336307250892721,4.149284241100991,2.107853394212319,0.0,0.3729318442666254,0.3052141124100933,0.2577009372816053,0.25602312727867754,0.0,16.785314907443034
2024-05-16,9.336307250892721,4.1500892035204355,2.1080095569216915,0.0,0.3723952026536627,0.3052141124100933,0.2577009372816053,0.25602312727867754,0.0,16.785739390958888
2024-05-17,9.336307250892721,4.1500892035204355,2.107472915308729,0.0,0.3723952026536627,0.3052141124100933,0.2577009372816053,0.25602312727867754,0.0,16.785202749345924
2024-05-20,9.336307250892721,4.15089416593988,2.103984744824471,0.0,0.3723952026536627,0.3052141124100933,0.2577009372816053,0.25602312727867754,0.0,16.78251954128111
