date,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,CHINA INTERNATIONAL CAPITAL CORPORATION,MORGAN STANLEY HONG KONG SECURITIES LTD,GOLDMAN SACHS (ASIA) SECURITIES LTD,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,HANG SENG SECURITIES LTD,TOTAL_CCASS_PCT
2024-03-01,6.250513508885039,13.006370968825134,0.0,13.275845858349788,8.558649312970948,5.799267135431357,5.792625350901936,1.1991066271776067,1.4334931700044324,1.8733311171105826,57.189203049656825
2024-03-04,6.250009821896281,13.007042551476811,0.0,13.283736954506992,8.565868826476475,5.801449779049308,5.796151159823239,1.1991066271776067,1.4334931700044324,1.873666908436421,57.21052579884757
2024-03-05,6.250849300210877,13.010400464735195,0.0,13.28172220655196,8.563854078521443,5.801449779049308,5.797494325126594,1.1991066271776067,1.4319821090381593,1.873666908436421,57.21052579884757
2024-03-06,6.249674030570442,12.974974479859236,0.0,13.300190729473076,8.515668023263622,5.857359034801413,5.7892674376435505,1.1991066271776067,1.4507864232851135,1.8432777934480398,57.1803045795221
2024-03-07,6.254039317806343,13.019802621858673,0.0,13.303380747068541,8.681739583753073,5.671643681750413,5.792961142227774,1.1991066271776067,1.4648896589703295,1.8135602611113348,57.20112364172408
2024-03-08,6.122073326751823,12.96976971430874,13.563333266175068,13.307913929967361,8.515668023263622,5.913370622960068,5.544139769781467,1.2116988018965495,1.4507864232851135,1.7972743818081691,70.39602826019798
2024-03-11,6.204342201582249,12.532905199392887,13.563333266175068,13.374568508146298,8.547660457885051,5.630189487045171,5.638832923667915,1.198602940188849,1.4447421794200213,1.789131442156586,69.9243086056601
2024-03-12,6.168412529717533,12.507888745617922,13.563333266175068,13.393372822393252,8.535404074491948,5.789165441028327,5.585274207196679,1.198602940188849,1.466568615599522,1.7914819814374556,69.99950462384655
2024-03-13,6.491275889511222,12.502683980067427,13.562997474849231,13.38699278720232,8.547660457885051,5.6531724724986905,5.581412606949537,1.2019608534472337,1.4633785980040563,1.797694120965467,70.18922924138023
2024-03-14,6.508065455803146,12.50741863776175,13.562997474849231,13.390450682327973,8.533053535211078,5.718880119138762,5.558243005466683,1.2076693059864878,1.4606922673973486,1.824053740043787,70.27152422398625
2024-03-15,6.525022917757989,12.491619655881049,13.562997474849231,13.39313701293468,8.992659601617172,5.289379340102887,5.533562343017555,1.214385132503257,1.4470927187008904,1.828251131616768,70.27810732898148
2024-03-18,6.537950883802769,12.49128386455521,13.562997474849231,13.407072352956979,8.538277356919316,5.749184614713033,5.558410901129602,1.2147209238290957,1.4361795006111402,1.8395001410323568,70.33557801439873
2024-03-19,6.528716622342213,12.50656236988086,13.562997474849231,13.403882335361514,8.684523965426925,5.588321345583001,5.574360989106929,1.2147209238290957,1.4440705967683443,1.844704906582853,70.35286152973096
2024-03-20,6.533921387892708,12.523016144846947,13.562997474849231,13.402874961383999,8.545612466588763,5.727064948758244,5.536584464950101,1.2147209238290957,1.439537413869525,1.853939168043411,70.34026935501203
2024-03-21,6.524351335106311,12.551894198869054,13.562997474849231,13.399852587607958,8.737827060751368,5.4931030980107725,5.548337161354447,1.2147209238290957,1.4368510832628172,1.854442855032169,70.32437777867322
2024-03-22,6.505714916522276,12.566333225880108,13.562997474849231,13.40153154423715,8.556583944473546,5.6635169440303015,5.543971874118548,1.2148888194920149,1.448100092678406,1.8734150649420425,70.33705390122363
2024-03-25,6.510583890746934,12.6548058454554,13.562997474849231,13.398173630978766,8.561923362345704,5.67205242374179,5.555556674859975,1.1987708358517681,1.447428510026729,1.8735829606049617,70.43587560946125
2024-03-26,6.4927869504774955,12.609641912130126,13.579787041141152,13.403210500866342,8.576314119353668,5.664612547178681,5.585442102859599,1.2014571664584761,1.467240198251199,1.8752619172341538,70.4557544559509
2024-03-27,6.464916270432902,12.574551718580004,13.5784438758378,13.435782259472672,8.680469117271763,5.519658903171213,5.555052987871218,1.2014571664584761,1.4732844421162912,1.9190826852560745,70.40269942646842
2024-03-28,6.452659887039798,12.572704866287895,13.5784438758378,13.455426052034225,8.927559317537709,5.234960074411358,5.56982780620811,1.2068298276718914,1.4650575546332487,1.9210974332111053,70.38456669487314
2024-04-02,6.455010426320667,12.502020792198895,13.56501222280426,13.492195202213535,8.696569975554391,5.5786564317470555,5.554549300882459,1.2105235322561148,1.467408093914118,1.9192505809189937,70.44119655881049
2024-04-03,6.520993421847927,12.481033834333992,13.56501222280426,13.509488455494218,8.696569975554391,5.576641683792024,5.5093853675571856,1.2299994291547462,1.467408093914118,1.9202579548965089,70.47679043934937
2024-04-05,6.505714916522276,12.384106324965414,13.56501222280426,13.5277882432741,8.696569471867404,5.63581483123128,5.497464775489919,1.2667688311775531,1.4729489865817786,1.9177395199527207,70.46992812386671
2024-04-08,6.569851059757424,12.34985560972989,13.56501222280426,13.562206854172542,8.701102654766222,5.81016440343313,5.411334300412351,1.2446066036722139,1.4538088810089858,1.9152210850089322,70.58316367476596
2024-04-09,6.652959412902446,12.356907227572497,13.56501222280426,13.58470487300372,8.745324609474688,5.845786910182536,5.395720003760863,1.2053190185491127,1.451794133053955,1.9155568763347706,70.71908528763885
2024-04-10,6.645572003734,12.365805697707216,13.56501222280426,13.606362657989818,8.806070183745012,5.768461639198936,5.409319552457321,1.2061587487072034,1.4395380015043453,1.9080015715034049,70.72030227935151
2024-04-11,6.688385397778404,12.186493129709474,13.56501222280426,13.657738730843105,8.905492790560235,5.872012380626184,5.285748344548764,1.2090129749768304,1.458678107077138,1.92663799008744,70.75521206901183
2024-04-12,6.739593574968772,12.150899249170594,13.56501222280426,13.662271829794093,8.838904447220319,5.9757253932116425,5.235715436998832,1.2231162106620461,1.4605249593692495,1.9207616418852669,70.77252496608507
2024-04-15,6.754368393305664,12.209007938106943,13.56501222280426,13.697857651341149,8.854182952545969,6.057472112530389,5.219093766369827,1.2241243401700448,1.468080767887604,1.9135421283797398,70.96274227344159
