date,THE HONGKONG AND SHANGHAI BANKING,SANFULL SECURITIES LTD,UBS SECURITIES HONG KONG LTD,BANK OF CHINA (HONG KONG) LTD,BNP PARIBAS,HANG SENG SECURITIES LTD,BOCI SECURITIES LTD,CMB WING LUNG BANK LTD,STANDARD CHARTERED BANK (HONG KONG) LTD
2024-03-04,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2024-03-06,38.8598598646164,0.0,0.0,61.14014013538359,0.0,0.0,0.0,0.0,0.0
2024-03-07,38.856515508550764,0.0,0.0,61.14348449144924,0.0,0.0,0.0,0.0,0.0
2024-03-08,38.85346694050972,0.0,0.0,61.14653305949028,0.0,0.0,0.0,0.0,0.0
2024-03-11,38.84677496664511,0.0,0.0,61.153225033354886,0.0,0.0,0.0,0.0,0.0
2024-03-15,25.12205360852689,0.0,0.0,39.66395067051771,0.0,23.419809058917174,0.0,0.0,11.794186662038232
2024-03-18,25.068788458464685,0.0,0.0,39.79187845746441,0.0,23.370153100714457,0.0,0.0,11.769179983356443
2024-03-19,11.330329844320403,48.84966148534583,0.0,17.98471867897326,0.0,10.562598331470339,5.985323320407823,0.0,5.287368339482348
2024-03-20,11.327435184436435,48.837181428949414,0.0,18.005671850502626,0.0,10.559899810767,5.983794196759508,0.0,5.286017528585017
2024-03-21,11.33702941497294,48.9424698749783,0.0,17.87229961459633,0.0,10.568843946096603,5.988862413886506,0.0,5.290494735469321
2024-03-22,11.34518822674274,48.977691835215225,0.0,17.81319555620463,0.0,10.576449925160809,5.993172361348193,0.0,5.294302095328403
2024-03-25,11.34536966705206,48.97847512125498,0.0,17.811881166445524,0.0,10.576619071261128,5.993268208417922,0.0,5.294386765568386
2024-04-08,11.345040461638883,48.98395882511634,0.0,17.821872661960093,0.0,10.560209294442478,5.99393922375548,0.0,5.294979533086729
2024-04-16,11.343622447125608,48.984742311622824,0.0,17.82215771847831,0.0,10.560378202421465,5.994035095355391,0.0,5.295064224996404
2024-04-18,11.344892658715322,48.9902274190207,0.0,17.812955786011823,0.0,10.561560709583265,5.994706282437187,0.0,5.295657144231703
