date,FUZE SECURITIES (INTERNATIONAL) LTD,THE HONGKONG AND SHANGHAI BANKING,ICBC (ASIA) SECURITIES LTD,UBS SECURITIES HONG KONG LTD,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,UOB KAY HIAN (HONG KONG) LTD,YUANTA SECURITIES (HONG KONG) CO LTD,CITIBANK N.A.,PHILLIP SECURITIES (HONG KONG) LTD
2024-03-01,0.0,50.20400233145522,0.0,0.0,0.0,49.795997668544786,0.0,0.0,0.0,0.0
2024-03-04,0.0,50.07751937984496,0.0,0.0,0.0,49.92248062015504,0.0,0.0,0.0,0.0
2024-03-06,0.0,50.09693679720822,0.0,0.0,0.0,49.90306320279178,0.0,0.0,0.0,0.0
2024-03-07,0.0,41.30434782608695,0.0,0.0,0.0,41.144501278772374,0.0,0.0,17.551150895140665,0.0
2024-03-08,0.0,41.25818297940284,0.0,0.0,0.0,41.210282612166694,0.0,0.0,17.531534408430467,0.0
2024-03-13,0.0,41.02238450547706,0.0,0.0,0.0,41.54627718685506,0.0,0.0,17.431338307667886,0.0
2024-03-14,0.0,41.04193138500635,0.0,0.0,0.0,41.53430749682338,0.0,0.0,17.423761118170265,0.0
2024-03-15,0.0,41.0680228862047,0.0,0.0,0.0,41.64017800381436,0.0,0.0,17.29179910998093,0.0
2024-03-21,0.0,40.98984771573604,0.0,0.0,0.0,41.75126903553299,0.0,0.0,17.258883248730964,0.0
2024-03-25,0.0,40.97684744687599,0.0,0.0,0.0,41.769743101807805,0.0,0.0,17.253409451316205,0.0
2024-03-26,0.0,29.89010989010989,0.0,0.0,26.67437825332562,30.850202429149796,0.0,0.0,12.585309427414689,0.0
2024-03-27,0.0,29.848677370913713,0.0,0.0,26.637403257479498,30.830541758114823,0.0,0.0,12.683377613491972,0.0
2024-03-28,0.0,29.855574812247255,0.0,0.0,26.701328711727324,30.7683419988446,0.0,0.0,12.67475447718082,0.0
2024-04-03,0.0,29.587102760380425,0.0,0.0,26.80352586406866,30.88610531199258,0.0,0.0,12.72326606355834,0.0
2024-04-05,0.0,29.56310117047167,0.0,0.0,26.78178236180322,30.942171746436436,0.0,0.0,12.712944721288677,0.0
2024-04-09,0.0,29.56995479309146,0.0,0.0,26.78799119044859,30.92616204937985,0.0,0.0,12.715891967080099,0.0
2024-04-10,0.0,29.049438462429084,0.0,0.0,26.69908533055459,31.677665856200072,0.0,0.0,12.573810350816256,0.0
2024-04-11,0.0,26.29703385389372,0.0,1.21580547112462,24.169374279425636,28.529504244838066,0.0,0.0,11.23571952625511,8.552562624462844
2024-04-12,0.0,26.275002618075195,0.0,1.2147868886794428,24.12818096135721,28.610325688553772,0.0,0.0,11.226306419520368,8.545397423814013
2024-04-15,0.0,26.264000837433265,0.0,1.214278237202973,24.11807809065215,28.640217732649432,0.0,0.0,11.221605778289542,8.541819323772637
2024-04-16,0.0,26.236536651678342,0.0,1.2130084701453518,24.092857889783538,28.714838439820138,0.0,0.0,11.209871379274286,8.532887169298338
2024-04-18,0.0,26.23379339188624,0.0,1.2128816394813886,24.100794646591382,28.711836051861145,0.0,0.0,11.208699289000418,8.531994981179423
2024-04-19,0.0,26.231050705697857,0.0,1.2127548353371667,24.098274960794562,28.719289074751696,0.0,0.0,11.20752744380554,8.531102979613173
2024-04-22,0.0,26.2118679481822,0.0,1.2118679481821981,24.08065190137902,28.77141663184288,0.0,0.0,11.199331383201002,8.524864187212703
2024-04-23,0.0,26.2146066241772,0.0,1.211994566920907,24.083167903040433,28.763974506321176,0.0,0.0,11.200501514993208,8.52575488454707
2024-04-24,0.0,26.264000837433265,0.0,1.214278237202973,24.00293101643463,28.75536480686695,0.0,0.0,11.221605778289542,8.541819323772637
2024-04-25,0.0,26.338442158303586,0.0,1.217719924417384,24.07096367835398,28.55343271047659,0.0,0.0,11.253411715305479,8.566029813142977
2024-04-26,0.0,24.707040866568192,0.0,1.1422944362383063,22.58000984736583,32.978828163466275,0.0,0.0,10.556376169374692,8.035450516986705
2024-04-29,0.0,24.704608113430485,0.0,1.1421819614021267,22.587632926348956,32.97558093737692,0.0,0.0,10.555336746750688,8.034659314690822
2024-04-30,0.0,24.690021649281636,0.0,1.1415075772485732,22.57429639834678,33.015154497146234,0.0,0.0,10.549104506986813,8.029915370989963
2024-05-02,0.0,24.714342001576046,0.0,1.1426319936958234,22.67533490937746,32.89992119779354,0.0,0.0,10.529944838455476,8.037825059101655
2024-05-03,0.0,24.77535301668806,0.0,1.1454527500740594,22.849807445442877,32.60590500641848,0.0,0.0,10.565814160165893,8.057667621210625
2024-05-07,0.0,24.78759138510176,0.0,1.1460185734044654,22.86109464532701,32.572614107883815,0.0,0.0,10.571033392610156,8.061647895672792
2024-05-08,0.0,18.355402736118222,25.919964884044187,0.8486355988002049,16.92881703123857,24.1495354451679,0.0,0.0,7.827931816519131,5.969712488111786
2024-05-09,0.0,18.32055494706097,25.870755750273823,0.8470244614822928,16.896677619569186,24.293537787513692,0.0,0.0,7.813070463672873,5.958378970427163
2024-05-10,0.0,18.319217289719624,25.868866822429908,0.8469626168224298,16.888142523364486,24.306366822429908,0.0,0.0,7.8125,5.957943925233645
2024-05-17,0.0,18.32189279976632,25.87264495399445,0.847086315174529,16.87600408938221,24.30991675186213,0.0,0.0,7.813641010661604,5.958814079158755
2024-05-20,0.0,18.32055494706097,25.870755750273823,0.8470244614822928,16.87477181453085,24.31544359255203,0.0,0.0,7.813070463672873,5.958378970427163
2024-05-22,0.0,17.13563720803169,24.19751400081956,0.7922414970632428,15.783362928561672,22.74279470017757,0.0,6.467695669990438,7.307744843600601,5.573009151755224
2024-05-24,0.0,17.136807595109623,24.199166723584455,0.792295608223482,15.777610818933132,22.744348063656854,0.0,6.46813742230722,7.308243972406256,5.573389795778977
2024-05-28,0.0,17.36021249063543,24.129946196281413,0.7900292855683444,15.732479738473065,22.692910168221754,0.0,6.449635633045019,7.287339099639039,5.557447388135939
2024-05-30,0.0,17.36021249063543,24.129946196281413,0.7900292855683444,15.732479738473065,22.706531362800515,0.0,6.449635633045019,7.273717905060274,5.557447388135939
2024-05-31,0.0,17.359030236992645,24.12830291473713,0.789975483519477,15.731408335603378,22.711795151184962,0.0,6.4491964042495225,7.273222555162081,5.5570689185508035
2024-06-03,0.0,17.35548444202356,24.123374412745964,0.7898141213317901,15.755429972084157,22.72077347313951,0.0,6.447879076734527,7.251310682916865,5.555933819023626
2024-06-04,0.0,17.35430283224401,24.121732026143793,0.789760348583878,15.754357298474945,22.7260348583878,0.0,6.44744008714597,7.250816993464053,5.555555555555555
2024-06-05,0.0,17.356384426898995,24.115164715491424,0.7895453307922679,15.750068064252654,22.733460386604957,0.0,6.445684726381705,7.255649332970323,5.554043016607678
2024-06-12,0.0,17.419222624496207,24.20247284650591,0.7924038527221804,15.445044060386639,22.815766104242094,0.0,6.46902110799918,7.281918163809004,5.574151239838788
2024-06-14,0.0,17.418032786885245,24.200819672131146,0.7923497267759563,15.443989071038253,22.821038251366122,0.0,6.468579234972678,7.281420765027323,5.573770491803279
2024-06-17,82.0544251041922,3.12576611914685,4.342976219661682,0.14219171365530767,2.77151262564354,4.0953665113998525,0.0,1.160823731306693,1.306692816866879,1.0002451581269918
2024-06-18,80.93780527515467,3.321393682839466,4.6147834581569525,0.1510908498860306,2.9449690654509935,4.350374470856398,0.0,1.2334744382937155,1.3832627808531424,1.062845978508629
2024-06-19,79.6665508857242,3.542896839180271,4.922542549496353,0.16116707189996526,3.14136853073984,4.6405001736714135,0.0,1.315734630079889,1.4755123306703717,1.1337269885376868
2024-06-20,78.278293135436,3.784786641929499,5.258627087198516,0.17217068645640074,3.3558441558441556,4.957328385899815,0.0,1.4055658627087197,1.576252319109462,1.2111317254174396
2024-06-21,78.27713132272619,3.78473046782237,5.258549038233199,0.17216813108525292,3.354310140109238,4.9602232248872005,0.0,1.4055450011873665,1.5762289242460223,1.2111137497031583
