date,BNP PARIBAS,THE HONGKONG AND SHANGHAI BANKING,BOCI SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,MORGAN STANLEY HONG KONG SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,INTERACTIVE BROKERS HONG KONG LTD,CITIBANK N.A.,EVERBRIGHT SECURITIES INVESTMENT
2024-03-01,74.14404518739443,6.087614357090468,8.076653150216265,6.655791082704863,0.0,0.0,1.3806499963867267,1.1145651218049712,1.4371424098243264,1.103538694577957
2024-03-04,72.3619438911061,5.660918165913122,7.876649057143026,6.485765843028786,2.2371553766653327,0.5654976803294506,1.347239512214503,1.0961194706436692,1.2863471958425343,1.0823638071134798
2024-03-05,72.11617385501427,5.6408831291125585,7.84891621590201,6.455578266018403,2.229175043482038,0.5635066233105375,1.334315756703342,1.2475817118955752,1.4849022881430811,1.078967110418192
2024-03-06,72.11653640868305,5.627414296905526,7.849338870172749,6.461414214804341,2.2318839138368505,0.5635369674337743,1.3292099437669842,1.2521016837819774,1.485085697994475,1.0834780026202833
2024-03-07,72.1162946812777,5.627443917594667,7.849380186275382,6.461551779198037,2.2318956616727346,0.5635399336901137,1.3273529713413963,1.2501407516578684,1.4869488888945015,1.085451228397606
2024-03-08,72.03672311244344,5.626427788899494,7.8465189669612245,6.463337087851253,2.1560329425312452,0.5633345147520182,1.3359785460105749,1.3388760646438755,1.5386059959493517,1.0941649799575217
2024-03-11,72.04059545434272,5.627579458707697,7.846681418503647,6.463470902487213,2.156905726067836,0.5632426596052551,1.3348675051662866,1.337868602013303,1.5315986114342792,1.0971896616717698
2024-03-12,72.04559991418591,5.627158488608589,7.846527454887767,6.460859690888722,2.15934313476548,0.5632316079425376,1.337429217904353,1.3347368652318705,1.5262892333204814,1.0988243922642962
2024-03-13,72.00214675059709,5.6398555065550795,7.846523125550026,6.4622078961340685,2.1912552862852084,0.5662919560441679,1.3411524171932523,1.3388743108762031,1.5074700150531188,1.1042227357117862
2024-03-14,71.98488997804216,5.638235971070326,7.846718101717849,6.462368473820658,2.191413246720482,0.5673411328326984,1.3322838388413905,1.374204044767362,1.5129935310710296,1.0895516811160342
2024-03-15,71.90263539625953,5.651348211615102,7.870890834902487,6.494839912350675,2.3291937285299182,0.5702310168757678,1.3337923603033712,1.2625670591597975,1.5195234137078761,1.0649780662954755
2024-03-18,71.93455658619,5.654489169636407,7.869535648524789,6.497198061411619,2.248594492225685,0.5707089458924091,1.3327958325423381,1.3108220332555558,1.5194837683417062,1.061815461979494
2024-03-19,71.99155934331843,5.653335642361655,7.865331720873598,6.491134023010947,2.2787193515157744,0.5699891568353919,1.3317726632592533,1.3333318092131008,1.4220221220166878,1.0628041675951638
