date,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,YUANTA SECURITIES (HONG KONG) CO LTD,CTBC BANK CO LTD,SINOPAC SECURITIES (ASIA) LTD,BNP PARIBAS
2024-03-20,0.0,0.0,0.0,0.0,100.0,0.0
2024-04-05,64.48625379457013,25.49779614797537,0.0,0.0,10.015950057454507,0.0
2024-04-08,54.69862678433998,21.919258339697638,14.771872816109411,0.0,8.610242059852977,0.0
2024-04-10,48.506329412527904,21.712848427303904,15.066744119529032,0.0,8.610242059852977,6.103835980786186
2024-04-11,47.32684419884941,21.712848427303904,15.066744119529032,0.0,8.610242059852977,7.283321194464676
2024-04-12,45.971282985469635,21.09093721267948,14.635194239411566,0.0,8.363622823524693,9.93896273891462
2024-04-16,48.25023245172777,21.598211954911697,14.98719682281752,0.0,8.564782903285415,6.599575867257598
2024-04-17,48.837547612897865,21.8611113585151,15.169625123578292,0.0,8.669035807274271,5.462680097734472
2024-04-18,48.303154994641226,21.87595559791112,15.511042629686697,0.0,8.847166680026481,5.462680097734472
2024-04-23,48.317999234037245,21.87595559791112,15.511042629686697,0.0,8.847166680026481,5.447835858338455
2024-04-24,46.76013595161542,22.541842444192227,15.983186541891392,0.0,9.116467460635521,5.598367601665437
2024-04-30,46.270661188628274,22.541842444192227,15.983186541891392,0.0,9.116467460635521,6.08784236465258
2024-05-14,46.30125336131498,22.541842444192227,15.983186541891392,0.0,9.116467460635521,6.057250191965884
2024-05-20,46.30125336131498,22.55713853053558,15.983186541891392,0.0,9.116467460635521,6.041954105622535
2024-05-23,46.316549447658325,22.55713853053558,15.967890455548043,0.0,9.116467460635521,6.041954105622535
2024-05-30,46.316549447658325,22.572434616878926,15.967890455548043,0.0,9.116467460635521,6.026658019279187
2024-06-03,46.33184553400167,22.572434616878926,15.967890455548043,0.0,9.116467460635521,6.011361932935839
2024-06-14,46.34714162034502,22.572434616878926,15.967890455548043,0.0,9.116467460635521,5.996065846592491
2024-06-18,46.34714162034502,22.480658098818836,15.967890455548043,0.0,9.116467460635521,6.08784236465258
2024-06-21,46.377733793031716,22.480658098818836,15.967890455548043,0.0,9.116467460635521,6.057250191965884
2024-06-28,42.611081129699585,20.654850242849434,14.502383522216226,8.107629519697786,8.376056844756251,5.747998740780716
2024-07-02,42.62513491635186,20.654850242849434,14.488329735563951,8.107629519697786,8.376056844756251,5.747998740780716
2024-07-04,42.63918870300414,20.654850242849434,14.488329735563951,8.107629519697786,8.376056844756251,5.73394495412844
2024-07-12,42.653242489656414,20.654850242849434,14.488329735563951,8.107629519697786,8.376056844756251,5.719891167476165
2024-07-23,42.681350062960966,20.654850242849434,14.488329735563951,8.107629519697786,8.376056844756251,5.691783594171613
2024-07-25,43.14827548973364,20.880810170319897,14.646829162949029,8.196325363854902,8.467689230122241,4.660070583020294
2024-07-26,43.221964784843706,20.916470742273557,14.671843245304931,8.210323175626057,8.482150481319344,4.497247570632404
2024-07-29,44.26778145096873,21.422574382116807,15.02684927673121,8.408983575589023,8.687388128013621,2.186423186580609
2024-07-30,43.026016785388435,20.821645330749224,14.605328029105252,8.173101443362064,8.443696412279062,4.930211999115961
2024-08-01,43.04018406124796,20.83581260660875,14.605328029105252,8.173101443362064,8.443696412279062,4.901877447396904
2024-08-02,43.070693781260985,20.85058240424639,14.61568124851138,8.178895076500812,8.449681860971543,4.8344656285088865
2024-08-06,43.564799412635224,21.089779623490003,14.783351879681996,8.272723101102455,8.546616342965962,3.742729640124356
2024-08-14,43.593479333249206,21.089779623490003,14.783351879681996,8.272723101102455,8.546616342965962,3.714049719510376
2024-08-16,43.60781929355619,21.089779623490003,14.783351879681996,8.272723101102455,8.546616342965962,3.6997097592033867
