date,THE HONGKONG AND SHANGHAI BANKING,BNP PARIBAS,CHINA SECURITIES DEPOSITORY AND CLEARING,STANDARD CHARTERED BANK (HONG KONG) LTD,CITIBANK N.A.,GOLDMAN SACHS (ASIA) SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD,MORGAN STANLEY HONG KONG SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,TOTAL_CCASS_PCT
2024-03-01,31.956448902068534,20.163424508421304,2.042048883104209,11.1839203281829,6.254304839716617,1.2629672257936058,3.9101303126897844,1.4207139485664706,0.43646133049793906,1.5884070013221323,80.2188272803635
2024-03-04,31.95191245580331,20.14908849955245,2.1147463875393973,11.260731131374541,6.146693548696741,1.2575539873930832,3.9142855449831435,1.422391290042689,0.4363469663063787,1.594392060680457,80.24814187237219
2024-03-05,31.637704463770717,20.131834755185714,2.503203424872679,10.906468987317801,6.125454745953688,1.243944648597403,3.9749748093044963,1.4073714595510978,0.437681215207916,1.6830624305369055,80.05170094029842
2024-03-06,31.72332885774915,20.12780265500527,2.5840970297030244,10.46296465244681,6.165284744162379,1.253587456015799,3.968036715016502,1.4037880482155407,0.4456485872199528,1.6727696532964753,79.8073083988309
2024-03-07,31.72775093982282,20.122076821147814,2.7950989631318484,10.250171013350208,6.142800744101616,1.222632881500134,3.751499630958953,1.4067233957989227,0.4475546570792919,1.6808895108972592,79.54719855778887
2024-03-08,31.748336494303675,20.144951108072977,2.989327481798489,9.922555725927026,6.243019610021827,1.2451245058403337,3.750775324412404,1.4067233957989227,0.43714751564730103,1.6788309554491732,79.56679211727213
2024-03-11,31.696791485768312,20.150776057563114,3.1780283978730473,9.888246468458926,6.181890653505322,1.2358228849267596,3.774448712065394,1.4094300149991839,0.43135306327491063,1.6942701213098186,79.64105785974479
2024-03-12,31.748773670486614,20.125859912361836,3.3157991273060676,9.646404324705998,6.064627253446135,1.2489747669561986,3.7916414621966315,1.458301646192635,0.44042595580536414,1.7050965981108641,79.54590471756833
2024-03-13,31.794138133138883,20.139514844348554,3.4261986935589803,9.348345776406434,6.115969303662879,1.2667393380452376,3.8219860943573076,1.4658115614384306,0.4373000012360482,1.6418913215751836,79.45789506776794
2024-03-14,31.757511094721824,20.131334907425803,3.566027978440087,8.751288453667097,6.4142999624955594,1.2718857266654529,3.8697140836351553,1.4772098591972775,0.40668851929506433,1.6715497685864982,79.31751035412982
