date,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,STANDARD CHARTERED BANK (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,HANG SENG SECURITIES LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,DBS BANK LTD,UBS SECURITIES HONG KONG LTD,CHINA GUARD INVESTMENTS LTD
2024-03-01,58.38650860470622,9.56863074921289,9.521961205525427,7.278312517291437,6.046432423488457,4.995453922006521,1.0651910603614434,1.60228603585214,1.5352234815554677,0.0
2024-03-04,58.403109317813694,9.708621110020815,9.469475595995743,7.260144053243564,6.034415654262045,4.98801886366647,0.9956308548778479,1.5987361465787653,1.541848403541057,0.0
2024-03-05,57.92805723679629,9.630220846735568,9.390199743376487,7.178730599727586,5.985670724516476,4.9154927057789655,0.9821108734987473,1.5842513627190506,1.4935709544161342,0.9116949524346978
2024-03-06,57.92111782397471,9.648332268795649,9.392259056621462,7.178402171438685,5.986183848221208,4.906145579614873,0.9785995275545072,1.584029959321234,1.49336222384978,0.9115675406078932
2024-03-07,57.84986289546546,9.69925457521253,9.369643392761077,7.173523908363875,5.980670535781667,4.897557916590237,1.0150826574813225,1.6100360648617453,1.4943752497119056,0.9099928037701712
2024-03-08,57.72815838226373,9.824041004486498,9.323449716724362,7.145899563037912,5.985972927744884,4.902176120213312,1.0287389335606278,1.6558325195574577,1.4948799413790077,0.9108508910322142
2024-03-11,57.59584565152275,9.92467406946119,9.358490886047113,7.133258871454369,5.979712534121946,4.8882529286138565,1.0495934852154365,1.6538560818871828,1.506675286621512,0.9096402050546527
2024-03-12,57.52547017326296,9.913158712756879,9.395962543351105,7.123329617630005,5.972429258995745,4.882390562918522,1.0473414093832771,1.7116978428168839,1.5200459061605942,0.9081739727240251
2024-03-13,57.4836004330319,9.908741630500808,9.413921473080942,7.109872960480258,5.9730703827684675,4.87872785851549,1.0482111565638996,1.7529209867252982,1.5234612721515166,0.9074718461814149
2024-03-14,57.52108622100406,9.922177571134776,9.416490791545899,7.00127917387684,5.985963855588116,4.880022135693081,1.0461615102947726,1.7797573421094743,1.5390362283804053,0.9080251703725778
2024-03-15,57.490841877400825,10.061262498579094,9.352509014065877,6.9885258831238115,5.972543191282926,4.864616111350894,1.0434548167922548,1.7743709773477259,1.5452288365208757,0.9066467935357231
2024-03-18,57.45961183102728,10.163677497726594,9.325025876885991,6.9793228330961385,5.969085683123295,4.856652806176277,1.0422823907164176,1.7762755000848796,1.5227286637098418,0.905336917453281
2024-03-19,56.28583884432361,10.308338941657702,10.153416321920169,7.021383245547422,5.981238579189502,4.8650854808849235,1.044787519927249,1.8069273975753684,1.6231446066919033,0.909839062282153
2024-03-20,56.68515257118801,10.334281443781371,9.815537471504873,7.026534808196126,5.997176330939805,4.876181274813942,1.043317516213715,1.8105903726700567,1.4995447368249561,0.9116834738671377
2024-03-21,56.801747284091,10.456598108029505,9.568963077465437,7.023074970263199,5.989355380046247,4.865937845441388,1.0932544647016955,1.8088040736399809,1.481480774550088,0.9107840217714637
2024-03-22,56.77853229209823,10.474102394549012,9.547986716648559,7.014104554045049,5.989020487357277,4.868312029282296,1.0575024939517825,1.8535752722210352,1.5060965976476386,0.9107671621991255
2024-03-25,56.92326125477455,10.255230143791122,9.538279697321906,7.021366624840357,5.980863964919587,4.8802298091483065,1.0797284126950673,1.892646557876578,1.5085749773381683,0.9198185572943626
2024-03-26,56.804991004710516,10.32420378842617,9.519891687195193,7.016479837789988,5.957309198162317,4.875104925910803,1.133979664895926,1.9254728070757066,1.5186791551949927,0.9238879306383911
2024-03-27,56.8263042978632,10.310795546020698,9.53871689598545,7.01351526521074,5.947834721609721,4.862671203751616,1.1664262672072572,1.925920924879639,1.48371192918721,0.9241029482844652
2024-03-28,56.8143414705205,10.35671996123288,9.517622994102222,7.020183062061938,5.922420370226484,4.869389834674855,1.1595412724491114,1.9282706556329503,1.4862799737685897,0.9252304053304732
2024-04-02,56.691111381893634,10.366869868554012,9.561648514390354,7.016446163880271,5.919753392667925,4.8641992682887905,1.176165896835037,1.9948862237154221,1.4840354008606702,0.9248838889138874
2024-04-03,56.53694813247965,10.351155623103564,9.611641848684188,7.056425359194334,5.910604101770332,4.858006109625808,1.172241228208312,2.030388818083148,1.549116839106403,0.9234719397442593
2024-04-05,56.88448298935609,10.19702552514067,9.489836026131957,7.038327644467442,5.892360276758947,4.837541749013257,1.158623409709492,2.0242170949471383,1.5569203997564691,0.9206648847185348
