date,BANK OF CHINA (HONG KONG) LTD,CHINA INTERNATIONAL CAPITAL CORPORATION,FUTU SECURITIES INTERNATIONAL,HAITONG INTERNATIONAL SECURITIES CO LTD,THE HONGKONG AND SHANGHAI BANKING,HANG SENG SECURITIES LTD,FULBRIGHT SECURITIES LTD,BOCI SECURITIES LTD
2024-03-05,86.88561560595873,0.0,11.818064122749503,0.0,0.0,0.0,1.296320271291768,0.0
2024-03-06,86.9255484943824,0.0,11.77669979986379,0.0,0.0,0.0,1.2977517057538115,0.0
2024-03-07,86.94589206832136,0.0,11.75605250730313,0.0,0.0,0.0,1.2980554243755251,0.0
2024-03-12,84.97355361774255,0.0,11.489370392305021,0.0,2.2668327649233158,0.0,1.2702432250291011,0.0
2024-03-13,84.97147128136218,0.0,11.489088837245395,0.0,2.266777214600496,0.0,1.2726626667919179,0.0
2024-03-18,84.98882720361452,0.0,11.466107822591518,0.0,2.2672402171648467,0.0,1.2778247566291245,0.0
2024-03-19,85.0096636715414,0.0,11.440316102169321,0.0,2.2677960699707027,0.0,1.2822241563185701,0.0
2024-03-21,85.01313740953984,0.0,11.43669730019083,0.0,2.26788873860437,0.0,1.2822765516649572,0.0
2024-03-25,85.01105313267436,0.0,11.436416905368024,0.0,2.2678331365153825,0.0,1.2846968254422275,0.0
2024-04-02,85.01313740953984,0.0,11.434245528581528,0.0,2.26788873860437,0.0,1.2847283232742592,0.0
2024-04-03,85.04163277318824,0.0,11.40374184001733,0.0,2.2686489071652516,0.0,1.285976479629168,0.0
2024-04-08,85.05971290379293,0.0,11.384905984373658,0.0,2.269131229378503,0.0,1.2862498824549138,0.0
2024-04-10,85.0611040015046,0.0,11.383456740656547,0.0,2.269168339582064,0.0,1.2862709182567882,0.0
2024-04-12,79.7342511008995,0.0,10.670580975996751,6.251652786454241,2.12706430632792,0.0,1.216450830321589,0.0
2024-04-25,79.77338522594376,0.0,10.626737475795164,6.254721141126172,2.1281082842845915,0.0,1.2170478728503231,0.0
2024-04-26,79.79174257387768,0.0,10.59006270734654,6.256160469442154,2.1285980018025965,0.0,1.233436247531018,0.0
2024-04-29,79.81317016093453,0.0,10.566052212610055,6.257840523277003,2.1291696238466997,0.0,1.2337674793317093,0.0
2024-05-07,79.83995701483371,0.0,10.528295369499721,6.260482431732265,2.130068507608758,0.0,1.2411966763255358,0.0
2024-05-08,79.8411827243035,0.0,10.526921792662474,6.260578543164294,2.13010120859256,0.0,1.2412157312771779,0.0
2024-05-14,79.84056986486434,0.0,10.527608586352873,6.2605304870794045,2.130084857975153,0.0,1.241206203728224,0.0
2024-05-17,79.83873134299716,0.0,10.531971645577393,6.260386323251164,2.1300358076289823,0.0,1.2388748805452892,0.0
2024-05-20,79.82525143609244,0.0,10.547077355210801,6.2593293246816035,2.129676174103905,0.0,1.2386657099112444,0.0
2024-05-21,79.8246388212045,0.0,10.549298747146064,6.2592812877726836,2.129659830010936,0.0,1.2371213138658121,0.0
2024-05-23,79.84915075328664,0.0,10.512618750599751,6.261203339410805,2.130313789463583,0.0,1.2467133672392283,0.0
2024-05-24,79.84792479915863,0.0,10.513992684115781,6.261107208794414,2.130281081952489,0.0,1.246694225978682,0.0
2024-05-27,79.84976374446786,0.0,10.511931768020482,6.2612514058259725,2.130330143595767,0.0,1.246722938089919,0.0
2024-05-28,79.02170155705728,0.0,10.38468697412755,6.196320649717192,2.1082380827568916,0.0,1.2345538322450267,1.0544989040960597
2024-05-29,79.03971610187202,0.0,10.364257408061764,6.197733222388133,2.10871869692583,0.0,1.2348352729745853,1.0547392977776764
2024-05-30,79.03911548471666,0.0,10.365698436520452,6.197686126256198,2.1087026729231177,0.0,1.234065996694466,1.0547312828891124
2024-06-04,79.0403167281556,0.0,10.364336166510252,6.197780319235839,2.1087347211720764,0.0,1.234084752138181,1.0547473127880513
