date,BOCI SECURITIES LTD,BANK OF COMMUNICATIONS TRUSTEE LTD,BANK OF CHINA (HONG KONG) LTD,HANG SENG SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,BRIGHT SMART SECURITIES INTERNATIONAL,FUTU SECURITIES INTERNATIONAL,BOOM SECURITIES (H.K.) LTD
2024-03-12,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
2024-03-13,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
2024-03-14,0.0,0.0,38.44114904913457,0.0,0.0,23.34248032323318,14.824951424146418,23.391419203485825
2024-03-18,0.0,0.0,38.36735634103536,0.0,0.0,23.681597053754864,14.604530226223368,23.346516378986408
2024-03-20,20.273784069779918,0.0,30.530234668241025,0.0,0.0,19.76077594683944,10.857573398028666,18.577631917110953
2024-03-22,20.273784069779918,0.0,30.98848903225462,0.0,0.0,19.76077594683944,10.399319034015075,18.577631917110953
2024-03-25,20.242862802382184,0.0,30.941225859660882,0.0,0.0,19.88315559210915,10.38345815064479,18.549297595202987
2024-03-28,16.765968434139598,0.0,25.626791088838008,17.049580396029747,0.0,16.594366238460164,8.600005507641601,15.363288334890884
2024-04-11,16.74481603840594,0.0,25.594459641440608,17.028070187833528,0.0,16.69959302441475,8.589155509890272,15.343905598014906
2024-04-15,16.723716948280767,0.0,25.562209671692283,17.006614186959776,0.0,16.93055834513778,8.452329140853756,15.324571707075638
2024-04-16,16.787174337747466,0.0,25.659204323047746,17.07114501723568,0.0,17.12128241444706,7.978473804474776,15.382720103047276
2024-04-25,16.723716948280767,0.0,25.562209671692283,17.006614186959776,0.0,17.056562059223257,8.326325426768278,15.324571707075638
2024-04-26,16.66073750413305,0.0,25.465945559994545,16.942569386892796,0.0,16.99232916166328,8.671557116915638,15.266861270400693
2024-04-29,16.556819290358586,0.0,25.30710651856461,16.836893299804874,0.0,17.385327647233613,8.742216146803365,15.17163709723495
2024-04-30,1.5480142920847564,0.0,2.3661406152365423,1.5742003947329144,0.0,1.7187846776839968,0.7940448826521972,1.4185037988860196
2024-05-03,16.413492790375393,0.0,25.088031892067963,16.691142298665614,0.0,17.853160800635745,8.542871537620417,15.411300680634863
2024-05-06,16.413492790375393,0.0,25.088031892067963,16.691142298665614,0.0,17.976827151788328,8.419205186467835,15.411300680634863
2024-05-07,13.626852139044324,0.0,21.547344440443712,13.857363026901648,16.361719596952202,14.822097012008456,6.9898141528746685,12.794809631774989
2024-05-09,13.571117948499815,0.0,21.45921522406138,13.800686040646482,16.294799725191098,14.659223567716067,7.472478976495332,12.742478517389822
2024-05-10,13.579796343981263,0.0,21.472937863356293,13.809511239265381,16.241272312446224,14.668597779925733,7.477257442649036,12.750627018376065
2024-05-13,13.593704886816255,0.0,21.3925097788867,13.823655058048553,16.257906761588945,14.683621482445528,7.48491571327365,12.76368631894037
2024-05-14,13.602063696364192,0.0,21.34417379945575,13.832155264640406,16.267903796790144,14.692650484948352,7.489518210197818,12.771534747603338
2024-05-20,13.588138052222867,0.0,21.322321867612402,13.817994055266386,16.251248894691724,14.779987216969673,7.481850523314902,12.758459389922045
2024-05-21,13.588346726235725,0.0,21.321113608853537,13.818206259194406,16.25149846628923,14.882594673532711,7.379584943394344,12.758655322500045
2024-05-22,13.588346726235725,0.0,21.321113608853537,13.818206259194406,16.25149846628923,14.984975152769591,7.277204464157465,12.758655322500045
2024-05-27,13.589042352569939,0.0,21.322205097641678,13.818913652695555,16.252330426978144,14.985742276507585,7.272457719048873,12.759308474558223
2024-05-28,13.575143344263422,0.0,21.300396533205987,13.804779529726286,16.235707381016258,15.072695708810905,7.265019376623903,12.746258126353242
2024-06-04,13.560926337024434,0.0,21.278089005099194,13.790322028576604,16.22125835922845,15.159084223668028,7.257410850478026,12.732909195925265
2024-06-12,13.547665532590841,0.0,21.2529947226737,13.77683690529281,16.205396099569892,15.246334600309469,7.2503140560857675,12.72045808347752
2024-06-26,11.474587951336833,15.302101873322188,18.000839819078383,11.668691287123458,13.725629879438324,12.913324947822543,6.140863613087726,10.773960628790544
2024-06-27,11.475034382133584,15.302697217535005,17.997649556337116,11.669145269712676,13.726163889366088,12.913827354180803,6.141102529783224,10.774379800951502
2024-06-28,11.475530457095719,15.30335876543891,17.994104528798502,11.669649736244542,13.7267572824667,12.914385629319892,6.1413680145829606,10.774845586052773
2024-07-04,11.455720856180573,15.276941387093041,17.963042258442147,11.649505037491066,13.703061507823309,12.892092208868647,6.303391203752653,10.756245540348566
2024-07-08,11.357689960667738,16.001948343065493,17.80932577557412,11.549815858133105,13.585799276337054,12.781769745521649,6.249450723513193,10.66420031718765
2024-07-09,11.347979069799853,16.073767164989704,17.794098698621312,11.539940698507253,13.574183339066149,12.770841258168405,6.244107406855454,10.655082363991875
2024-07-11,11.223801454297663,16.320701496893044,17.59853743188186,12.25931223138465,13.421416772802756,12.631093677948,6.006650020333647,10.538486914458387
2024-07-15,11.223991760187598,16.320978223600598,17.59714026856515,12.259520094944396,13.421644340501054,12.631307845272058,6.0067518664757324,10.538665600453411
