date,CHEONG LEE SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,LONG BRIDGE HK LTD,REALINK FINANCIAL TRADE LTD,DAH SING SECURITIES LTD,BRIGHT SMART SECURITIES INTERNATIONAL,CEPA ALLIANCE SECURITIES LTD
2024-03-14,0.0,26.72941908632996,43.81648806861277,29.45409284505727,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-26,0.0,24.50609799586335,40.17188502959846,27.00413665216461,0.0,0.0,0.0,0.0,8.317880322373583,0.0
2024-04-03,0.0,24.517026704008277,40.18980003210903,26.97158351023029,0.0,0.0,0.0,0.0,8.321589753652402,0.0
2024-04-12,73.79025756899546,6.434668417596848,10.528947595937032,7.066031409257342,0.0,0.0,0.0,0.0,2.180095008213327,0.0
2024-04-15,72.90994721545943,6.390096945062923,10.429744308263567,6.991697359385729,0.0,0.0,1.121353577811534,0.0,2.1571605940168275,0.0
2024-04-16,72.8521454846444,6.424777983551939,10.429744308263567,6.991697359385729,0.0,0.0,1.144474270137545,0.0,2.1571605940168275,0.0
2024-04-17,72.57357516429069,6.69376123318059,10.43456939763551,6.994931912757655,0.0,0.0,1.1450037357192588,0.0,2.1581585564163,0.0
2024-04-18,72.46311425153802,6.718446691793167,10.436983616874087,6.996550311998945,0.0,0.0,1.2262472438357939,0.0,2.158657883959992,0.0
2024-04-19,72.436788896782,6.580387492682159,10.588597357941332,7.0089295011373025,0.0,0.0,1.2263891170692538,0.0,2.1589076343879507,0.0
2024-04-22,72.4089405697912,6.582062848770868,10.591293197825266,7.0083994324770345,0.0,0.0,1.2382740080499384,0.0,2.1710299430856863,0.0
2024-04-24,72.40574718231123,6.582824656310257,10.59251903343264,7.009210584185759,0.0,0.0,1.238417325805608,0.0,2.171281217954505,0.0
2024-04-25,72.40255305554076,6.583586640213171,10.593745152829127,7.010021923681512,0.0,0.0,1.2385606767402935,0.0,2.1715325509951313,0.0
2024-04-26,72.20665503183355,6.614240386777082,10.747155607780968,7.017983002018713,0.0,0.0,1.239967274134746,0.0,2.1739986974549383,0.0
2024-04-29,72.19184401026395,6.626596787764856,10.748401184016245,7.018796373776405,0.0,0.0,1.2401109841381692,0.0,2.174250660040379,0.0
2024-04-30,71.99945168942388,6.769776935176214,10.773373480819586,7.035103493621244,0.0,0.0,1.2429921958676897,0.0,2.179302205091389,0.0
2024-05-02,71.9646014409416,6.804627183658487,10.773373480819586,7.035103493621244,0.0,0.0,1.2429921958676897,0.0,2.179302205091389,0.0
