date,UOB KAY HIAN (HONG KONG) LTD,CITIC SECURITIES BROKERAGE (HK) LTD,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,STANDARD CHARTERED BANK (HONG KONG) LTD,CMB INTERNATIONAL SECURITIES LTD,INTERACTIVE BROKERS HONG KONG LTD,BOCI SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,ID: 1066
2024-03-04,0.0,0.0,0.0,0.0,29.205550526283062,0.0,44.368448365907504,0.0,26.426001107809434,0.0
2024-03-05,0.0,0.0,0.0,0.0,29.185953460206566,0.0,44.38463615819022,0.0,26.42941038160322,0.0
2024-03-06,0.0,0.0,0.0,42.468197604341356,16.733678852813348,0.0,25.764005062053798,0.0,15.0341184807915,0.0
2024-03-07,0.0,0.0,0.0,42.11158289228909,16.67593895509739,0.0,25.919845937684656,0.0,15.292632214928862,0.0
2024-03-08,0.0,0.0,0.0,42.11246757979049,16.62797048372426,0.0,26.025431341161365,0.0,15.234130595323887,0.0
2024-03-11,0.0,0.0,30.044780950171525,29.4609520541923,11.666363605266426,0.0,18.237312838764808,0.0,10.59059055160494,0.0
2024-03-12,0.0,0.0,30.062122332456294,29.47795645947961,11.673097249671676,0.0,18.290852246756895,0.0,10.49597171163553,0.0
2024-03-13,49.292371019260166,0.0,13.595808543176327,13.331615374157327,5.279241217812145,0.0,8.258700510251831,5.519161382756177,4.723101952586023,0.0
2024-03-14,49.39083240617963,0.0,13.622966136486852,13.358245242278368,5.289786488843743,0.0,8.005476774910205,5.530185893712776,4.802507057588419,0.0
2024-03-15,49.37832846191143,0.0,13.619517301935183,13.354696870553976,5.2884473092384425,0.0,8.028266744205688,5.5287858538098416,4.801957458345441,0.0
2024-03-18,49.373805568139005,0.0,13.627429472302705,13.353473623895171,5.287962904720391,0.0,8.027531381167048,5.5282794350653,4.801517614710383,0.0
2024-03-19,49.36188554613948,0.0,13.624139483669307,13.35024977478054,5.286686263525093,0.0,8.056395715726195,5.520284803073018,4.800358413086367,0.0
2024-03-20,49.391737542613576,0.0,13.629046791228049,13.348327445050446,5.289883429475143,0.0,8.027947884252379,5.523623239614777,4.789433667765632,0.0
2024-03-21,49.40004989176926,0.0,13.631340482465173,13.350573892814543,5.2907736868389525,0.0,8.029298942326818,5.524552834062278,4.773410269722983,0.0
2024-03-22,49.4008730488593,0.0,13.635233500686777,13.350796354524203,5.290861847435586,0.0,8.02943273519478,5.524644890140049,4.768157623159298,0.0
2024-03-25,49.400955366077106,0.0,13.635256221226246,13.35081860110293,5.290870663656842,0.0,8.029446114726811,5.52465409591656,4.767998937293502,0.0
2024-03-26,49.40021452099268,0.0,13.63505173909687,13.350785013163744,5.290791318723238,0.0,8.02932570054371,5.524571245032406,4.769260462447354,0.0
2024-03-27,49.39749827911278,0.0,13.634302023758032,13.350384166941215,5.283835630123974,0.0,8.039881095703423,5.524267479716208,4.769831324644363,0.0
2024-03-28,49.39288958242017,0.0,13.62969789032989,13.349305204287445,5.283342657875557,0.0,8.05195948919713,5.523752075613777,4.769053100276034,0.0
2024-04-02,49.407129939356864,0.0,13.586964899621295,13.353153913536348,5.284865886945633,0.0,8.093110831013664,5.498680308393389,4.776094221132808,0.0
2024-04-03,49.40416595156449,0.0,13.58614980272845,13.33568865035319,5.301213034924966,0.0,8.107623090018953,5.498350436544362,4.766809033865589,0.0
2024-04-05,49.3948646328394,0.0,13.545271511642737,13.333177941222363,5.300214975933022,0.0,8.13858572663703,5.497315262508175,4.79056994921727,0.0
2024-04-08,49.38934166531424,0.0,13.536588458356254,13.324630848279833,5.296817329084357,0.0,8.182653682504354,5.49379126660186,4.776176749859101,0.0
2024-04-09,49.359097677635035,0.0,13.528299212119135,13.316471396106202,5.293573777487225,0.0,8.272325583341862,5.49042709632186,4.73980525698868,0.0
