date,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,CHINA GALAXY INTERNATIONAL SECURITIES,THE HONGKONG AND SHANGHAI BANKING,BOCI SECURITIES LTD
2024-03-01,0.0,0.0,100.0,0.0,0.0
2024-03-04,52.679806362378976,0.0,47.320193637621024,0.0,0.0
2024-03-05,52.271340134275,0.0,47.728659865725,0.0,0.0
2024-03-08,29.183643414658096,28.67311374012076,26.871533061705367,0.0,15.271709783515783
2024-03-11,29.004711425206125,28.6660777385159,27.06124852767962,0.0,15.267962308598351
2024-03-12,28.978750552093047,28.69411591500221,27.059920498601365,0.0,15.267213034303381
2024-03-13,28.964536224064354,28.68004120272723,27.09569823907392,0.0,15.259724334134498
2024-03-20,28.656584068180695,28.80437459973398,27.213163210010343,0.0,15.325878122074979
2024-03-22,23.666327568667345,23.792472024415055,22.478128179043743,17.403865717192268,12.659206510681587
2024-03-25,23.442317053383093,23.68164854778517,22.448482881713453,17.349505111147167,13.078046405971119
2024-03-27,23.01398573213494,23.594373463383178,22.304622949498206,17.359235822820523,13.727782032163152
2024-03-28,23.217394825282422,23.14451147912702,22.407579868000163,17.43936510507349,13.791148722516905
2024-04-02,22.562071218556028,23.34204508330611,22.598823913753673,17.588206468474354,13.908853315909834
2024-04-03,21.266873480338727,23.962438165506832,23.199463402364383,18.05567200469523,13.515552947094827
2024-11-05,21.225053345048327,23.915317350738462,23.153842935442032,18.216811012091544,13.488975356679637
2024-11-18,20.90837901331245,23.558504719119647,22.808391377818076,19.437002843836293,13.28772204591353
2025-02-28,24.302788844621514,22.547434026271155,21.8295136286537,18.6028164569445,12.71744704350913
