date,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,UBS SECURITIES HONG KONG LTD,BOCI SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,CMB WING LUNG BANK LTD,CHINA INTERNATIONAL CAPITAL CORPORATION
2024-03-01,45.385877217113084,18.416298538866094,14.623763069044706,8.001357997889123,3.476326581552707,3.8025092164664045,2.0029130505735178,2.078028857316163,2.212925471178195,0.0
2024-03-04,45.38294084860759,18.450501135588585,14.591386558517003,8.005909098381428,3.47538257064414,3.788920610587987,2.004035399617783,2.0883402400399946,2.2125835380154943,0.0
2024-03-05,45.34569466896314,18.470643940007157,14.599048272280257,8.025998735222675,3.4813313696843284,3.7801804384477986,2.0037752523921233,2.079959394484468,2.2133679285180548,0.0
2024-03-06,45.26243955090356,18.554154098929864,14.599803410708953,8.027590975491087,3.4800472752071707,3.77641286887176,2.0033728010125857,2.0811127416458874,2.2150662772291385,0.0
2024-03-07,45.37899081836086,18.494704461573306,14.56046108381852,8.009466628557039,3.474509668587764,3.780607947801843,2.0028547708779,2.080974989981582,2.217429630441176,0.0
2024-03-08,45.49066973188997,18.495715245216683,14.561729599690493,7.885200299891482,3.475485371699398,3.7902259293475407,2.0028594486608,2.0785775622893476,2.2195368113142817,0.0
2024-03-11,45.48101894227581,18.528779093915276,14.516567834520554,7.90073263287681,3.477760799297305,3.782736481708402,2.007923425751343,2.081817232448442,2.222663557206062,0.0
2024-03-12,45.527886376028384,18.507984386945676,14.51616522584754,7.902731283317972,3.466011299267295,3.801871997118092,2.00729950453307,2.051040809915449,2.219009117026518,0.0
2024-03-13,44.6721307403868,18.130673975757414,14.211817505057823,7.764852221693934,3.3975240293791154,3.716248864905928,1.9677552701075036,2.0110268979472683,2.170246580006386,1.957723914757829
2024-03-14,44.727416559376195,18.14110879085454,14.202290868305662,7.746440525361348,3.3959302528530078,3.6698861555396975,1.974921767280254,2.015247704014988,2.170374519262875,1.9563828571514321
2024-03-15,44.74471225737548,18.150960725408925,14.199823155124488,7.73712748979378,3.398259495014911,3.6486515232303085,1.9774816405091216,2.0154737731836807,2.1716697947165584,1.9558401456427417
2024-03-18,44.64721589847607,18.233648764147137,14.18131855175471,7.694629327820208,3.473992881496182,3.6647562946440755,1.9661287044041025,2.0140280701959457,2.169971169836609,1.954310337224963
2024-03-19,44.6622244465948,18.18865548133689,14.204893632318266,7.7028118029078625,3.4764538344737717,3.647541094883175,1.9700391171911964,2.0158492499811755,2.1757077643925706,1.9558235759202933
2024-03-20,44.56065386409192,18.247511464739944,14.218581290693905,7.695549573829696,3.4863330056865554,3.6640340931267072,1.9781690773791876,2.0143895608427287,2.177448521607595,1.957329548001772
2024-03-21,44.66218022329082,18.191968258350073,14.209508067265133,7.696043851767005,3.485349683275829,3.6301439524671566,1.976679119049819,2.015794151150565,2.175959373402172,1.9563733199814268
2024-03-22,44.68884891416093,18.21503514258604,14.162965581983647,7.702767176525535,3.4879823593602506,3.6126802039962906,1.9721283319970788,2.020899939338885,2.177549804800596,1.9591425452507472
2024-03-25,44.698206914497874,18.200587374815573,14.180495422293363,7.700645530252058,3.47870988584255,3.6132621403751,1.971453855880785,2.022238204471557,2.177195600977142,1.957205070594
2024-03-26,44.74335550439788,18.17568923088177,14.186492199055802,7.698280310352986,3.477152965353511,3.59314921334598,1.9610980330029695,2.0328724286681683,2.175930492343702,1.9559796225972301
2024-03-27,44.77501027878198,18.102838755645553,14.188526970262538,7.691969207621788,3.475000135520538,3.650118416199878,1.9564408160219329,2.0321526254311584,2.173284459094823,1.9546583354198095
2024-03-28,44.70757553843259,18.151807638144902,14.213031772536954,7.693560025537928,3.4750999118324994,3.6436155074415306,1.9537913658681954,2.034631089812394,2.172264576603398,1.9546225737896092
2024-04-02,44.8223577675344,18.082837544829726,14.192868625594848,7.685054199084551,3.4717003326382683,3.634654492176175,1.9527571905267178,2.035030042194334,2.1697723284650574,1.952967476955924
2024-04-03,44.836575124177564,18.12818443386087,14.135504593501988,7.675698756614658,3.4761921135336404,3.6085751582498617,1.9530612293451222,2.065582164843341,2.1686600699478404,1.951966355925116
2024-04-05,44.65373214261826,18.36548520250445,14.117909848508582,7.615786694376227,3.471416758320764,3.6647777818874876,1.9576923722077082,2.060638237528672,2.168464827678643,1.9240961343692151
2024-04-08,44.55936282860835,18.462282704110997,14.106248939625674,7.5886693527496885,3.467200942746518,3.708083597011659,1.9585109715235127,2.058930165506644,2.16887879477964,1.921831703337313
2024-04-09,44.56405437087884,18.464226551020325,14.113405983169297,7.5951075801351156,3.4698151704466733,3.6776374977600828,1.9560116489371184,2.067948064248723,2.169759085281922,1.9220340481219016
2024-04-10,44.660521757179296,18.3978002818154,14.117165064890177,7.587832343231327,3.4676507277277695,3.6964096054526814,1.954764838504706,2.0278620742407596,2.1692484291424967,1.9207448778153866
2024-04-11,44.6375641164014,18.48427123190981,14.109215749964468,7.584874691896914,3.462391721460867,3.6512284307789744,1.9535569386459384,2.0294937236667367,2.1681652239579345,1.9192381713169566
2024-04-12,44.641325418883255,18.478881797209187,14.111534858061711,7.590730993593533,3.4691357599732826,3.6285687560772946,1.9608996741119409,2.0330554534825733,2.166769664271205,1.9190976243360192
2024-04-15,44.71039417976478,18.442272270989115,13.990122251898434,7.59561526560057,3.4709694623750864,3.7083360928457765,1.9602631874650465,2.038277990757177,2.164637525254478,1.9191117730495315
2024-04-16,44.7555914717899,18.48869041310198,13.94948188820194,7.530038986571706,3.470534791439545,3.7267490978228914,1.9510866452440534,2.042923358034226,2.166013912532885,1.918889435260868
2024-04-17,44.727640311698735,18.47218417557621,13.953639101892076,7.548730389270715,3.4668496418223955,3.796086074249086,1.9507323749428196,2.0033482381892966,2.162120670390948,1.9186690219677136
2024-04-18,44.90327892535536,18.3080565835825,13.951499022654287,7.539406244766328,3.4707251129614995,3.7830014767605737,1.955669367315953,2.0075247461534844,2.161411888927514,1.9194266315225001
2024-04-19,44.80400990608069,18.373224337752756,13.938907786451926,7.54028754631058,3.4682687502385976,3.8423571667160825,1.9505200794607238,2.0049918703443375,2.1598679600999984,1.9175645965443113
2024-04-22,44.822554541884955,18.388010814407952,13.933711024388035,7.517174509741217,3.463746303542864,3.841333336035614,1.9510294312290573,2.008293949617283,2.1578061036802643,1.9163399854727623
2024-04-23,44.91258109178485,18.38075929109298,13.931599073866899,7.491184247036781,3.463579648009254,3.8333908249185313,1.9103179985507823,2.003509228980894,2.1571184513641315,1.915960144394898
2024-04-24,44.95990244876186,18.386991922619398,13.67671503203543,7.481574483433522,3.458432978737754,4.061123565303553,1.907651653079846,2.0004176197289767,2.1540343532046373,1.9131559430950213
2024-04-25,45.01448859570606,18.367079289592144,13.675470609668523,7.493253718205123,3.457715973799763,4.008987939278481,1.9098334825543228,2.004266239162798,2.1529187674711205,1.9159853845616626
2024-04-26,44.94152379832463,18.417190183303276,13.665941487230793,7.499088532403222,3.45307542633755,4.050802009135787,1.9050337952087228,2.0037809713291703,2.149467421820757,1.9140963749060917
2024-04-29,45.094671602238655,18.357329772890086,13.552682323460907,7.464333497742256,3.4521373234175994,4.10501718275004,1.9052778650848738,2.0039841535013263,2.1502572390937216,1.9143090398205336
2024-04-30,45.13019403878741,18.339153318225783,13.540102973068233,7.456366785617773,3.439545691604363,4.119873154775111,1.9024507820281076,1.9978814833905432,2.160810866123556,1.9136209063791234
2024-05-02,45.097354526062766,18.458816905851553,13.547908633283983,7.446928925134208,3.4370646180113553,4.061576790143306,1.9016630520782272,1.9794940789307092,2.155581487707258,1.9136109827966339
2024-05-03,45.06598760777599,18.62241643143116,13.434184516968294,7.459123499519587,3.438726413774363,4.002804333004344,1.9071434768035003,1.9838858845323892,2.164488895855101,1.9212389403352756
2024-05-06,45.085126844370336,18.630325252539038,13.401735637681927,7.463589106561487,3.440900589639795,3.996685264167116,1.9086671991950244,1.983625327909856,2.1672898997147154,1.9220548782207025
2024-05-07,45.1118706651101,18.64137648192999,13.357646562792388,7.462854719672424,3.4420000477055726,3.999672841940389,1.9094345685770144,1.9828217190718034,2.169127380866373,1.9231950123339447
2024-05-08,45.11856343731447,18.73375148777866,13.167173673433993,7.411832406575522,3.448297974113506,4.12347339770161,1.9253124400694113,1.9745217234485417,2.1710498062772365,1.9260236532870494
2024-05-09,45.2716929366805,18.74685594517305,13.149097274619393,7.33765296316177,3.4440741910239305,4.0684171886447675,1.9192439846098708,1.971434468514174,2.1682654829166337,1.9232655646559076
2024-05-10,45.37181233521333,18.720127240384738,13.166869732046274,7.267442780927301,3.4459401762714585,4.036228406768575,1.9292995648880027,1.9722288348925556,2.1657252074745807,1.9243257211331868
2024-05-13,45.32002132234671,18.710328445208894,13.193216317692016,7.268250458531054,3.4507345698684584,4.072860834794686,1.9279368089037716,1.972552946437037,2.159868330778973,1.9242299654383974
2024-05-14,45.339949028037005,18.664373394446056,13.10394323249875,7.2317845831232965,3.442450248437392,4.085879691645709,2.0930466845198312,1.9699014385398315,2.147635077864013,1.9210366208881196
