date,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,MORGAN STANLEY HONG KONG SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,OCBC BANK (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,TOTAL_CCASS_PCT
2024-03-01,3.5235213859664305,1.8769283345414742,3.8820802972522626,1.7520554143692828,1.5967336582829883,1.576799743781658,0.2557351015197863,0.0,0.5006987635322323,0.32503585854685035,15.289588557792966
2024-03-04,3.5318636693015946,1.8952642747047685,3.864968651230306,1.726829260666365,1.6494352502740728,1.5768851596519842,0.25559274173590985,0.0,0.5004425159212544,0.32489349876297385,15.326175022249231
2024-03-05,3.531151870382212,1.8790352593428465,3.8643707401380247,1.726829260666365,1.6590302997073494,1.5778816781391196,0.2555642697791345,0.0,0.5004425159212544,0.32486502680619855,15.319170920882504
2024-03-06,3.5280199551369282,1.8715471347109423,3.8611534090224158,1.7238397052049583,1.598669751343709,1.5774545987874902,0.25713022740177616,0.0,0.5004425159212544,0.32486502680619855,15.243122324335673
2024-03-07,3.5375295886998797,1.8840463237352996,3.8610679931520897,1.7210494534409788,1.6024280496380487,1.5781663977068725,0.2568170358772478,0.0,0.5004425159212544,0.32486502680619855,15.26641238497787
2024-03-08,3.5287317540563112,1.8852706178766376,3.8595589794429985,1.7219036121442377,1.6059870442349615,1.578878196626255,0.25713022740177616,0.0,0.5004425159212544,0.32486502680619855,15.26276797451063
2024-03-11,3.5289310577537383,1.8855838094011659,3.8782081111308218,1.64601161135967,1.607068978592423,1.577169879219737,0.25727258718565266,0.0,0.49975918895864724,0.32486502680619855,15.204870250408053
2024-03-12,3.5068083473393283,1.888601836819348,3.881596273987083,1.6437053828608703,1.6078661933821312,1.58260802296382,0.2584114654566647,0.0,0.49904739003926474,0.32486502680619855,15.193509939654708
2024-03-13,3.496159835505365,1.8910219531452488,3.8899100853654707,1.677698208650666,1.6096314547022001,1.5952780437288292,0.2520052751822217,0.0,0.4980508715521291,0.32486502680619855,15.234620754638328
2024-03-14,3.4878175521702017,1.8955489942725219,3.900501653285883,1.6865245152510095,1.5975878169862474,1.5975558002708536,0.2534858169345375,0.0,0.4982217032927809,0.32486502680619855,15.242108879270234
2024-03-15,3.4791336053537347,1.9040621093483372,3.9210868780344263,1.684303702622536,1.598100312208203,1.5961322024320885,0.25456775129199893,0.0,0.49813628742245497,0.32486502680619855,15.26038787551998
2024-03-18,3.4763148816329794,1.924476502356229,3.9204320230285945,1.6844175904496372,1.5979010085107757,1.589953787811848,0.2539983121564929,0.0,0.4982786472063315,0.32486502680619855,15.270637779959086
2024-03-19,3.460569889536237,1.943239521871153,3.921570901299607,1.686666875034886,1.597559345029472,1.5910641941260846,0.2538844243293917,0.0,0.4982786472063315,0.32486502680619855,15.27769882523936
2024-03-20,3.455843544711537,1.9537456739212393,3.922368116089315,1.68609743589938,1.5967621302397637,1.5886440778001838,0.25479552694620133,0.0,0.4982786472063315,0.32486502680619855,15.28140017962015
2024-03-21,3.452142190330748,1.9681240120927672,3.9233361626196754,1.6843606465360865,1.5973600413320448,1.5820955277418645,0.255706629563011,0.0,0.4982786472063315,0.32486502680619855,15.286268884228726
2024-03-22,3.4406395197935256,1.9818759672152382,3.9250160080694187,1.680915539766275,1.597103793721067,1.583376765796753,0.255706629563011,0.0,0.4984494789469833,0.32486502680619855,15.287948729678472
2024-03-25,3.4114272921420654,1.999841771940454,3.9363481742934914,1.6885322295189984,1.597103793721067,1.5780240379229962,0.2555073258655839,0.0,0.4984494789469833,0.32486502680619855,15.290099131157838
2024-03-26,3.419171664384948,2.0168395301353095,3.9371453890832,1.6520113217432102,1.597103793721067,1.5814122007792573,0.25496635868685313,0.0,0.4984494789469833,0.32486502680619855,15.281964764287025
2024-03-27,3.4151001745660796,2.011429858348002,3.938198851483886,1.651327994780603,1.5963065789313589,1.5822948314392915,0.25738647501275386,0.0,0.4984494789469833,0.32486502680619855,15.275359270315155
2024-03-28,3.423869537252873,1.9946314038505737,3.937971075829684,1.649818981071512,1.5967621302397637,1.5844302281974394,0.25154972387381686,0.0,0.4984494789469833,0.32486502680619855,15.262347586068845
2024-04-02,3.46267681433761,1.9894210357606932,3.9230802424362006,1.6331344144011848,1.603196792470982,1.5887864375840604,0.25092334082476025,0.0,0.49810781546567967,0.32486502680619855,15.274191920087368
2024-04-03,3.4589754599568208,1.9946598758073488,3.843216403681478,1.6405655951195388,1.6023711057244983,1.5890711571518132,0.24739281818462275,0.0,0.5779716542204025,0.32486502680619855,15.27908909665272
2024-04-05,3.475119059448417,1.990816161642683,3.8611252644931433,1.635104175550792,1.601972498329644,1.589412820633117,0.24739281818462275,0.0,0.5779716542204025,0.32486502680619855,15.303779479309021
2024-04-08,3.4802724836247467,1.9968237445222718,3.857623213809781,1.6388055299315814,1.6006627883179798,1.5884163021459816,0.24736434622784745,0.0,0.5781424859610542,0.32486502680619855,15.312975921347444
2024-04-09,3.4802724836247467,1.9968237445222718,3.8536560879484725,1.6283563217950454,1.5997516857011704,1.5892989328060159,0.24736434622784745,0.0,0.580277882719202,0.32486502680619855,15.30066651215097
2024-04-10,3.4855113236714024,2.010461811817642,3.8499404975892957,1.6241994161058513,1.5989544709114618,1.5891565730221393,0.24793378536335348,0.0,0.579993163151449,0.32486502680619855,15.311016068438793
2024-04-11,3.466036505237095,2.010205564206664,3.853641851970085,1.6201834466026948,1.5987836391708101,1.5918044650022425,0.24690879491944262,0.0,0.579993163151449,0.32486502680619855,15.292422457066682
2024-04-12,3.470535074407594,2.0088104383246743,3.8598772105038757,1.614375167420533,1.597160737634618,1.5929433432732545,0.24744976209817335,0.0,0.579993163151449,0.32486502680619855,15.296009923620371
2024-04-15,3.483803006264884,1.9989591412804195,3.8631514855330362,1.6271980114135343,1.597103793721067,1.5900961475957245,0.24744976209817335,0.0,0.579993163151449,0.32486502680619855,15.312619537864485
2024-04-16,3.486507842158538,1.9987598375829925,3.8654292420750602,1.6220445872372047,1.597103793721067,1.5896690682440948,0.24696573883299322,0.0,0.5798508033675724,0.32486502680619855,15.311195940025721
2024-04-17,3.4774252879472165,2.0170388338327365,3.848602315620856,1.6012211233903437,1.597103793721067,1.5889572693247125,0.2479907292769041,0.0,0.5855451947226329,0.32486502680619855,15.288749574642669
2024-04-18,3.5347108649791243,2.020967963867728,3.824762746212896,1.6007371001251633,1.597103793721067,1.5948794363339749,0.24611158012973416,0.0,0.5841215968838678,0.32486502680619855,15.328260109059755
2024-04-19,3.542028157870377,2.026861658920216,3.8237092838122093,1.5975909489014926,1.5971322656778426,1.5957905389507847,0.24602616425940826,0.0,0.5841215968838678,0.32486502680619855,15.338125642082398
2024-04-22,3.5540148516727794,2.031787307442343,3.796461621178245,1.5988721869563811,1.636936061249715,1.5957905389507847,0.24614005208650944,0.0,0.5840788889487049,0.32486502680619855,15.368946535291661
2024-04-23,3.5494308666319556,2.0570134611452606,3.7825392471584958,1.593006963860669,1.6577775336092362,1.5932280628410078,0.2464247716542625,0.0,0.5840788889487049,0.32486502680619855,15.388364822655792
2024-04-24,3.564065452414461,2.053625298289,3.7252809035532435,1.6465057706414619,1.5975878169862474,1.5920037686996698,0.24614005208650944,0.0,0.5840788889487049,0.32486502680619855,15.334152978425497
2024-04-25,3.580607659300912,2.0828090539836848,3.706603299908645,1.645281476500124,1.597103793721067,1.5939398617603902,0.24648171556781306,0.0,0.5812316932711746,0.32486502680619855,15.358923580820008
2024-04-26,3.575625066865234,2.0924325753737367,3.699713086369022,1.6449682849755958,1.5973885132888204,1.592886399359704,0.2504393175595801,0.0,0.582968482634468,0.32486502680619855,15.361286753232358
2024-04-29,3.5714966331328153,2.0997213963082144,3.717137923915507,1.6389322301392315,1.5973885132888204,1.5918614089157932,0.2490441916775903,0.0,0.5843920804732332,0.32486502680619855,15.374839404657404
2024-04-30,3.557004407134186,2.0818694794100994,3.7179351387052155,1.6818840276119653,1.5980148963378769,1.5889572693247125,0.24653865948136372,0.0,0.5843920804732332,0.32486502680619855,15.38146098528485
2024-05-02,3.566713344394564,2.093002014509243,3.7193349766960515,1.6562379125466118,1.5980433682946522,1.5878183910537,0.2444317346799913,0.0,0.5843920804732332,0.3234414289674334,15.37341525161548
2024-05-03,3.538782354797992,2.101771377196036,3.7026219380689493,1.7161394929670348,1.5988121111275855,1.5875336714859472,0.24468798229096902,0.0,0.5843066646029073,0.3234414289674334,15.398097021504856
