date,SORRENTO SECURITIES LTD,GRANSING SECURITIES CO LTD,FUTU SECURITIES INTERNATIONAL,SUNHIGH FINANCIAL HOLDINGS LTD,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,LUK FOOK SECURITIES (HK) LTD,PHILLIP SECURITIES (HONG KONG) LTD,BOCI SECURITIES LTD
2024-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2024-03-05,0.0,0.0,96.17848334270256,0.0,0.0,0.0,0.0,0.0,3.821516657297434
2024-03-06,0.0,0.0,83.57405503800653,0.0,13.105247521718566,0.0,0.0,0.0,3.3206974402749
2024-03-08,0.0,0.0,76.85207848612976,0.0,12.044856423256617,8.051056814775894,0.0,0.0,3.0520082758377276
2024-03-12,35.63343041221664,0.0,48.93833044990447,7.621622478205481,4.064360061375351,2.698434680518149,0.0,0.0,1.0438219177799044
2024-03-14,22.399598595343566,30.175512756768182,37.72759661344056,4.791042629971432,2.5549051233232216,1.6951853962853178,0.0,0.0,0.6561588848677201
2024-03-15,22.4054209779352,30.183356351796046,37.74606765521866,4.792287977430932,2.5122471507071027,1.695626029982342,0.0,0.0,0.6649938569297126
2024-03-18,22.40930424820572,30.188587680879348,37.735277907285095,4.793118568806513,2.512682569201678,1.695919913063523,0.0,0.0,0.6651091125581267
2024-03-20,22.411246388166184,30.191204025493867,37.72988163065089,4.793533972471196,2.512900335053378,1.696066892808919,0.0,0.0,0.6651667553555674
2024-03-25,22.411634856555494,30.191727348837695,37.73053562668894,4.79361706184468,2.5112105291439093,1.6960962918152305,0.0,0.0,0.6651782851140466
2024-03-28,22.415520281269664,30.196961580269516,37.71974019309551,4.794448114033491,2.511645888702231,1.696390337943146,0.0,0.0,0.6652936046864408
2024-04-03,22.417463498872152,30.19957937662437,37.71434107250292,4.794863748194666,2.5118636250938424,1.69653739924371,0.0,0.0,0.6653512794683432
2024-04-26,22.43691422145791,30.225782325084204,37.66029833600283,4.7990240567241,2.5140430671412184,1.6980094158396426,0.0,0.0,0.6659285777500898
2024-05-14,22.4291785187829,30.21536121000222,37.60394596866141,4.79736946987376,2.513176286197653,1.6972071434054385,0.0,0.0,0.7437614030766135
2024-05-16,22.398094971648476,30.173487157255785,37.62978666090383,4.790721020403656,2.509693392988536,1.6948550635825084,0.0,0.0,0.8033617332172104
2024-05-17,22.400035169069238,30.176100884987182,37.62438394575301,4.7911360085791745,2.509910790970558,1.6950018775605313,0.0,0.0,0.8034313230803081
