date,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,HANG SENG SECURITIES LTD,CMB WING LUNG BANK LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,BRIGHT SMART SECURITIES INTERNATIONAL,CATHAY SECURITIES (HONG KONG) LTD
2024-03-08,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2024-03-12,88.00437339164522,0.0,11.995626608354778,0.0,0.0,0.0,0.0,0.0
2024-03-14,88.00117366195869,0.0,11.998826338041319,0.0,0.0,0.0,0.0,0.0
2024-03-15,87.99797222481624,0.0,12.002027775183768,0.0,0.0,0.0,0.0,0.0
2024-03-18,85.09740067041182,0.0,11.6078271483241,3.2947721812640802,0.0,0.0,0.0,0.0
2024-03-22,84.95709276772902,0.0,11.073440796778673,3.969466435492306,0.0,0.0,0.0,0.0
2024-03-25,84.13774451897342,0.0,10.966645660210796,3.931183871124118,0.0,0.0,0.0,0.9644259496916644
2024-03-27,75.64566927327655,10.093062625159712,9.859775245846361,3.5344070211013823,0.0,0.0,0.0,0.8670858346159934
2024-03-28,75.67344297505869,10.060052824456209,9.863395313722656,3.535704697062529,0.0,0.0,0.0,0.8674041896999194
2024-04-03,75.5971836397289,10.049914882906112,9.95422979002005,3.5321416176053235,0.0,0.0,0.0,0.8665300697396237
2024-04-11,75.62727253128622,10.013242432846372,9.958795713800155,3.533761782072764,0.0,0.0,0.0,0.8669275399944866
2024-04-15,74.14979539502768,9.813123411045295,9.764237686261582,3.464725149344315,0.0,1.958127375421229,0.0,0.8499909828998904
2024-04-16,74.17228192896684,9.790636877106145,9.764237686261582,3.464725149344315,0.0,1.958127375421229,0.0,0.8499909828998904
2024-04-18,76.11044196166927,10.046471275029651,7.406330615202153,3.5552602068363997,0.0,2.00929425500593,0.0,0.8722016862565934
2024-04-19,74.2792802936474,9.69757020289594,7.22813970770374,3.4697232418312427,2.5131173013263677,1.960952102146058,0.0,0.8512171504492535
2024-04-22,72.44660485882387,9.458304305083464,9.51707827480389,3.384115565965215,2.4511117417037775,1.912569986268503,0.0,0.8302152673512795
2024-04-23,72.46888810968188,9.461213506528201,9.520005554046941,3.3543982866819757,2.451865658853212,1.9131582578220225,0.0,0.8304706263857655
2024-04-24,72.78872354266758,9.502969788394301,9.120679595625068,3.3692026455787714,2.462686764779872,1.9216018232708896,0.0,0.8341358396835051
2024-04-26,73.11139462492098,9.545096279930384,8.717813227840189,3.384138259380854,2.473603810236464,1.930120249062646,0.0,0.8378335486284798
2024-05-02,72.57878551575182,9.475561219729869,9.378394030554857,3.3594851547193856,2.4599845447840405,1.91605951842392,0.0,0.8317300160361067
2024-05-06,72.57637185917262,9.476395272893074,9.379219530915792,3.359780861660121,2.460201076326968,1.9162281728671948,0.0,0.8318032261642164
2024-05-08,72.57509422536278,9.476228450514302,9.379054419217924,3.3614821152251637,2.460157766968927,1.916194439603347,0.0,0.8317885831075622
2024-05-09,72.56927515212107,9.474894082899603,9.3777337348825,3.361008777874195,2.4598113469909335,1.925605448020094,0.0,0.8316714572116036
2024-05-10,72.53735597299709,9.470726605123659,9.373608992527926,3.3595304574556244,2.502713839083857,1.9247584815168646,0.0,0.8313056512949896
2024-05-13,72.53131500128463,9.472809885650532,9.37567091004438,3.3602694550714642,2.503264362314301,1.9251818716146538,0.0,0.8314885140200403
2024-05-14,72.50470312202752,9.481987218781486,9.384754134167565,3.363524910693526,2.5056895446250538,1.9270470030367723,0.0,0.8322940666680758
2024-05-20,72.49864777486287,9.484075456805437,9.386820958344419,3.364265666871629,2.50624137791301,1.927471400658582,0.0,0.8324773645440403
2024-05-22,72.48811879617898,9.485579557809523,9.388309635537356,3.3647992133823674,2.506638848408703,1.9339445596685774,0.0,0.83260938901449
2024-05-23,72.4561993718989,9.481402676915435,9.384175586488958,3.3633175574159435,2.5495690831943327,1.9330929663597791,0.0,0.8322427577266475
2024-05-27,72.4498188600423,9.480567742117286,9.383349213533805,3.3630213827926725,2.549344567474414,1.9417287638276624,0.0,0.8321694702118554
2024-05-28,72.33924709440332,9.508905807676754,9.471102280519753,3.3574807026181137,2.5451444446398117,1.947321224482619,0.0,0.8307984456596276
2024-05-30,72.33559891322507,9.510159938802964,9.47235142573265,3.3579235212914686,2.545480124152606,1.9475780569941352,0.0,0.8309080198011097
2024-06-03,72.30725947547498,9.509323814631488,9.471518625649502,3.3883999613156206,2.545256327973202,1.9474068277929684,0.0,0.830834967162237
2024-06-07,74.28278017602464,9.769011117940307,6.99839998121344,3.4809327707601643,2.6147639780359824,2.000587983195061,0.0,0.8535239928303984
2024-06-11,74.30575514736304,9.760283784582525,6.992147826428297,3.4778230127386323,2.6124280285102075,1.998800719568259,0.0,0.8527614808090315
