date,BRIGHT SMART SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,HANG SENG SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,UOB KAY HIAN (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD,CITIBANK N.A.,FUTU SECURITIES INTERNATIONAL
2024-03-01,31.790706583457457,26.898287292364504,16.084160970858118,12.137697513847165,10.179970966907199,0.0,0.0,0.0,2.9091766725655557
2024-03-04,31.773811312440014,26.89664181010012,15.992350621436364,12.403851508578882,10.173902561196826,0.0,0.0,0.0,2.759442186247792
2024-03-05,31.749046899522153,26.89830054188797,15.993336879145614,12.425173324989549,10.174529991777337,0.0,0.0,0.0,2.7596123626773763
2024-03-06,30.178838479750198,25.562132788499813,15.235574844480299,11.812617187255213,9.671329605609163,0.0,4.9163765159180635,0.0,2.62313057848725
2024-03-07,30.27321921830845,25.531788084315494,15.239792569439423,11.72088056186174,9.674639770523303,0.0,4.941515471323917,0.0,2.618164324227672
2024-03-08,30.27505554911391,25.53168827137977,15.238169247853461,11.72083474072715,9.674601948879383,0.0,4.941496153163963,0.0,2.6181540888823625
2024-03-11,30.255508752118427,25.53168827137977,15.238169247853461,11.72083474072715,9.674601948879383,0.0,4.941496153163963,0.0,2.6377008858778455
2024-03-12,30.255644833476453,25.531353332408063,15.238237785149664,11.720887457973515,9.674645462706314,0.0,4.941518378720067,0.0,2.637712749565928
2024-03-13,30.25837129665611,25.53035525457622,15.237642088277209,11.720429262209702,9.674267259128873,0.0,4.94132520368993,0.0,2.637609635461955
2024-03-14,30.258962741996555,25.530854283737675,15.237939930891542,11.718703705329684,9.674456357221315,0.0,4.94142178931705,0.0,2.637661191506181
2024-03-18,30.254669048995442,25.530529912563658,15.235107587510418,11.718554818432418,9.674333442620352,0.0,4.941359008229927,0.0,2.6454461816477837
2024-03-19,30.24880517264573,25.530529912563658,15.235107587510418,11.718554818432418,9.674333442620352,0.0,4.941359008229927,0.0,2.65131005799749
2024-03-20,30.213371677520794,25.500623412057916,15.217261159945798,11.718494036574684,9.663000914114859,0.0,4.947284707770707,0.0,2.7399640920152417
2024-03-21,30.2082636738918,25.497350938726242,15.139543107889681,11.79830520867914,9.663240510922703,0.0,4.953264529699891,0.0,2.7400320301905445
2024-03-22,30.207084157210552,25.496355365094985,15.138951966874926,11.801749146121015,9.66286319849255,0.0,4.953071123743082,0.0,2.7399250424628936
2024-03-25,30.206494433410953,25.49585760743378,15.13865641367855,11.799566474269431,9.666579093046797,0.0,4.952974426428386,0.0,2.739871551732102
2024-03-26,30.196733084110726,25.378721415831084,15.13865641367855,11.91279812615204,9.666579093046797,0.0,4.966640315448701,0.0,2.739871551732102
2024-03-27,30.196733084110726,25.378721415831084,15.13865641367855,11.906941316571904,9.662674553326708,0.0,4.966640315448701,0.0,2.7496329010323266
2024-03-28,30.196733084110726,25.378721415831084,15.13865641367855,11.90889358643195,9.662674553326708,0.0,4.966640315448701,0.0,2.747680631172282
2024-04-02,28.42771748893239,23.899041761317562,14.256396814848305,11.231406470436617,9.092193496467543,5.8285027936913965,4.677191504900187,0.0,2.5875496694059965
2024-04-03,28.42771748893239,23.89372851273553,14.256396814848305,11.2350834590747,9.09382975641149,5.8285027936913965,4.677191504900187,0.0,2.5875496694059965
2024-04-08,28.419880020737498,23.866923194820075,14.280036164829216,11.257717792010384,9.091322604667301,5.8268958864436655,4.670388049658509,0.0,2.586836286833351
2024-04-09,28.40277800687771,23.852560978970804,14.27144297667251,11.311119556520396,9.085851788989144,5.823389479867115,4.667577585958538,0.0,2.5852796261437865
2024-04-10,28.31430176762433,23.853731488051782,14.270363002529878,11.405774206801135,9.080572372136444,5.822948801929291,4.674571342341095,0.0,2.577737018586048
2024-04-11,28.30470469945109,23.845646320027654,14.265526095453158,11.435803018094838,9.077494532787881,5.820975126679233,4.672986907018575,0.0,2.576863300487573
2024-04-12,27.396446595722196,23.054155432391905,13.80776545750513,11.120383047032444,8.786210519811794,5.634188234303945,4.523037339553173,3.183637986728511,2.494175386950895
2024-04-16,27.375491163706872,23.025160274799898,13.797203953139322,11.156273160198142,8.779969459993056,5.62987866634253,4.528456896353228,3.17267861572251,2.534887809744445
