date,HAITONG INTERNATIONAL SECURITIES CO LTD,HAO TIAN INTERNATIONAL SECURITIES LTD,SHANGHAI COMMERCIAL BANK LTD,HANG SENG BANK LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,KINGSTON SECURITIES LTD,HANG SENG SECURITIES LTD,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,TOTAL_CCASS_PCT
2024-03-01,42.68758082560314,14.932412237841971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.61999306344511
2024-03-04,42.6873369818718,14.936232456299523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.62356943817133
2024-03-05,42.6873369818718,14.936232456299523,0.0,0.0,0.0,1.5218107640955694,0.0,0.0,0.0,59.14538020226689
2024-03-06,42.687093138140476,14.94346648699574,0.0,0.0,2.605703058777324,1.521080587588966,0.0,0.0,0.0,61.757343271502506
2024-03-11,42.687011856896696,14.945823643065296,0.0,0.0,2.605598747847809,1.521080587588966,0.0,0.0,0.0,61.75951483539877
2024-03-14,42.686930575652916,14.94923745530396,0.0,0.0,2.605598747847809,1.521080587588966,0.0,0.0,0.0,61.76284736639365
2024-03-15,42.68684929440914,14.954927142368401,0.0,0.0,2.605598747847809,1.521080587588966,0.0,1.3566944198606123,0.0,63.12515019207493
2024-03-18,42.68684929440914,14.955496111074845,0.0,0.0,2.605598747847809,1.521080587588966,0.0,1.3566944198606123,0.0,63.125719160781365
2024-03-19,42.68676801316536,14.958747360825955,0.0,0.0,2.605598747847809,1.521080587588966,0.0,1.3566944198606123,0.0,63.1288891292887
2024-03-20,42.68676801316536,14.964680891621729,0.0,0.0,2.593894248743816,1.521080587588966,0.0,1.3566944198606123,0.0,63.12311816098048
2024-03-21,42.68668673192158,14.965574985303284,0.0,0.0,2.5923499051120387,1.521080587588966,0.0,1.3566944198606123,0.0,63.12238662978649
2024-03-22,42.6866054506778,14.96573754779084,0.0,0.0,2.5922686238682613,1.521080587588966,0.0,1.3566944198606123,0.0,63.12238662978649
2024-03-25,42.68652416943402,14.96573754779084,0.0,0.0,2.589261217848485,1.5243318373400752,0.0,1.3566944198606123,0.0,63.122549192274036
2024-03-28,42.68644288819025,14.96573754779084,0.0,0.0,2.5879607179480417,1.5243318373400752,0.0,1.3566944198606123,0.0,63.12116741112982
2024-04-02,42.68636160694647,14.967688297641505,0.0,0.0,2.587147905510264,1.5243318373400752,0.0,1.3566944198606123,0.0,63.12222406729893
2024-04-03,42.68636160694647,14.967688297641505,0.0,0.0,2.5869853430227088,1.5243318373400752,0.0,1.3566944198606123,0.0,63.12206150481138
2024-04-05,42.6862803257027,14.96858239132306,0.0,0.0,2.586822780535153,1.5243318373400752,0.0,1.3566944198606123,0.0,63.122711754761596
2024-04-16,42.68619904445892,14.96858239132306,0.0,0.0,2.586822780535153,1.5243318373400752,0.0,1.3566944198606123,0.0,63.122630473517816
2024-04-17,42.686117763215144,14.96858239132306,0.0,0.0,2.586822780535153,1.5243318373400752,0.0,1.3566944198606123,0.0,63.122549192274036
2024-04-19,42.686036481971364,14.96858239132306,0.0,0.0,2.586822780535153,1.5243318373400752,0.0,1.3566944198606123,0.0,63.12246791103027
2024-04-22,42.686036481971364,14.96858239132306,0.0,0.0,2.586811943035983,1.5243318373400752,0.0,1.3566944198606123,0.0,63.12245707353109
2024-04-24,42.686036481971364,14.96858239132306,0.0,0.0,1.77399950525868,1.5243318373400752,0.0,1.3566944198606123,0.0,62.30964463575379
2024-04-26,42.685955200727584,14.969964172467282,0.0,0.0,1.77399950525868,1.5243318373400752,0.0,1.3566944198606123,0.9798286498043204,63.290773785458555
