date,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,EVERBRIGHT SECURITIES INVESTMENT,DBS BANK LTD,BANK OF CHINA (HONG KONG) LTD,EAST ASIA SECURITIES CO LTD,BOCI SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD
2024-03-05,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2024-03-11,0.0,37.65839438804487,62.34160561195513,0.0,0.0,0.0,0.0,0.0
2024-03-12,92.43982943137405,2.462914395888432,4.0627852975400724,0.0,1.0344708751974396,0.0,0.0,0.0
2024-03-20,91.41790787099757,2.438544439345637,3.9892958190645547,0.0,1.0230348081098148,0.0,1.1312170624824325,0.0
2024-03-22,91.35884956095097,2.462905583024792,4.025179039253253,0.0,1.0224715618339226,0.0,1.1305942549370607,0.0
2024-03-27,91.33711156621884,2.4861136340763768,4.024221285065545,0.0,1.022228274166316,0.0,1.1303252404729327,0.0
2024-03-28,91.34165047438943,2.5338276972913714,3.9709095342796643,0.0,1.02323088316247,0.0,1.13038141087707,0.0
2024-04-05,91.30688773754152,2.5709213000644273,3.9693982885065684,0.0,1.0228414627201932,0.0,1.129951211167299,0.0
2024-04-08,91.28517446051096,2.5940904675726326,3.968454343894956,0.0,1.0225982254290236,0.0,1.1296825025924364,0.0
2024-04-10,91.27636181728421,2.5939827043661006,3.968071230508789,0.0,1.0320108044567482,0.0,1.129573443384151,0.0
2024-04-11,91.28132226383191,2.5942047727130153,3.9684109332435518,0.0,1.0263918851389333,0.0,1.1296701450725892,0.0
2024-04-15,91.30737805116209,2.5949452752185924,3.9695436958805406,0.0,1.026684863461479,0.0,1.1014481142772923,0.0
2024-04-17,91.30712991762444,2.5950193487208066,3.9696570077127986,0.0,1.0267141704932043,0.0,1.1014795554487538,0.0
2024-04-18,91.26718275872285,2.594835113376807,3.991697616449434,0.0,1.0262649797875913,0.0,1.120019531663317,0.0
2024-04-24,91.24548700332552,2.617989971102653,3.990748722307106,0.0,1.0260210192170849,0.0,1.1197532840476385,0.0
2024-04-25,91.22466878018525,2.640208279987959,3.989838208262781,0.0,1.0257869261651853,0.0,1.1194978053988316,0.0
2024-04-26,91.21339620857914,2.6398820312080056,3.9893451866108447,0.0,1.0399181704856642,0.0,1.1174584031163426,0.0
2024-04-29,89.37568739238077,2.586695386656574,3.908970426706841,2.0147356557100973,1.0189665683146811,0.0,1.094944570231029,0.0
2024-05-02,89.39816864522918,2.587346035112836,3.9099536756764843,2.0040630327698614,1.0052486223913288,0.0,1.0952199888203178,0.0
2024-05-08,89.46317806286417,2.589227526216199,3.9127969532881792,1.9328014075108793,1.0059796287252436,0.0,1.0960164213953292,0.0
2024-05-09,89.4641510046117,2.5892556849247157,3.9128395062534094,1.9328224273675372,1.0049030359050501,0.0,1.0960283409375973,0.0
2024-05-17,89.45914681478044,2.588178602207881,3.912620641026962,1.9327143146740384,1.0113725928720265,0.0,1.0959670344386598,0.0
