date,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,KGI ASIA LTD,THE HONGKONG AND SHANGHAI BANKING,FIRST SHANGHAI SECURITIES LTD,BRIGHT SMART SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD
2024-03-18,0.0,0.0,0.0,0.0,0.0,100.0
2024-03-19,0.0,0.0,0.0,0.0,0.0,100.0
2024-04-02,0.0,0.0,0.0,0.0,0.0,100.0
2024-04-12,0.0,0.0,0.0,64.15970801305093,0.0,35.84029198694907
2024-04-23,0.0,0.0,0.0,65.90922001931489,0.0,34.09077998068511
2024-04-29,0.0,0.0,0.0,63.76477054135752,3.2536411101951086,32.981588348447374
2024-05-03,0.0,0.0,49.788889808759,32.016999199713005,1.6336893230675826,16.560421668460414
2024-05-16,0.0,0.0,49.24529846876109,31.667440019652265,2.7076452766329124,16.379616234953737
2024-05-21,0.0,0.0,49.46130438358418,31.367711160457272,2.7195218905063467,16.451462565452204
2024-05-22,0.0,0.0,49.46130438358418,31.258053019711053,2.8291800312525703,16.451462565452204
2024-06-06,0.0,0.0,48.66089489440893,30.752218356393453,3.3228146829570893,17.264072066240526
2024-06-07,0.0,0.0,48.686448686448685,30.785430785430783,3.3264033264033266,17.2017172017172
2024-06-13,0.0,41.267978623872125,28.59453544980257,18.080905789632258,1.9536639127194304,10.102916223973612
2024-09-09,0.0,41.29548231485742,28.610419079960014,17.712118567416177,2.2723305669718656,10.109649470794523
2024-09-13,0.0,40.59969734317228,28.1283639370349,17.41368820106398,2.982885848453174,10.875364670275667
2024-09-20,0.0,40.54908926595927,28.09330154723508,17.391981800900606,3.103819006216987,10.861808379688059
2024-09-24,0.0,38.53181124979642,26.695686936436726,16.52674750884674,7.924310398436458,10.321443906483662
2024-09-25,0.0,39.95429497100045,26.077901039934048,16.144289040917574,7.740927696379757,10.082587251768176
2024-09-26,0.0,39.873737009757996,25.987690799809744,16.376713414722033,7.714149814785454,10.047708960924776
2024-09-30,0.0,40.11541940022107,25.88323116898032,16.310885886963636,7.6831421639701984,10.00732137986477
2024-10-29,0.0,40.09239730842623,25.868376877717044,16.30152512948536,7.736122469475889,10.00157821489548
2024-10-30,0.0,40.11541940022107,25.88323116898032,16.310885886963636,7.6831421639701984,10.00732137986477
2024-11-08,0.0,39.23672053805866,25.316277959533274,15.953607885536163,9.705275277664668,9.788118339207234
2024-11-12,0.0,39.22790762967642,25.27690040008423,15.950024566575419,9.759247560890012,9.785919842773918
2024-11-14,0.0,39.20919333791691,25.264841656260085,15.942415355905093,9.810717142095442,9.772832507822475
2024-12-05,0.0,39.77057626346726,25.626574441740317,14.738909525639384,9.95118341089905,9.912756358253988
2024-12-11,0.0,39.793230138273785,25.641171695883113,14.747305014026743,9.89989034931575,9.918402802500605
2024-12-12,0.0,39.860209685471794,25.68433064688681,14.603808572855003,9.916553740817346,9.935097353969047
2025-01-03,0.0,40.08894627358152,25.831719388853024,14.1137651531454,9.973459579657126,9.992109604762929
2025-01-17,0.0,40.10275397884646,25.806173849399407,14.118626311333074,9.97689470587391,9.995551154547151
2025-01-21,0.0,40.18695620910333,25.650391888976777,14.148270655065796,9.997842812971884,10.016538433882218
2025-02-19,0.0,40.19273642574613,25.63969795037756,14.150305645451278,9.999280834232291,10.017979144192736
2025-02-25,0.0,40.262228946041354,25.684028528204024,14.174771270081408,10.016569411425689,9.862401844247533
2025-03-03,0.0,40.308690948431305,25.598269022719077,14.19112874143527,10.028128380815001,9.873782906599352
2025-03-07,0.0,40.31101686357669,25.599746108682798,14.19194760606454,10.028707029615845,9.868582392060127
2025-03-28,0.0,40.31101686357669,25.599746108682798,14.19194760606454,10.054673187057313,9.842616234618658
2025-04-09,28.834868346414467,28.820429253602036,18.30258150352211,10.146556792046123,7.188605493043451,6.706958611371817
2025-04-14,28.688112462162024,28.673746857523984,18.37360833205069,10.398645528705556,7.152018880508954,6.713867939048791
2025-04-15,28.71168164313222,28.697304236200257,18.224390243902437,10.407188703465982,7.2400513478818995,6.719383825417201
2025-04-22,28.699892213724787,28.685520710362884,18.21690704716933,10.402915362110559,7.278139916850587,6.716624749781862
2025-05-02,28.705785717952665,28.69141126341188,18.22064787720109,10.405051594024334,7.2796344781559625,6.697469069254068
