date,UBS SECURITIES HONG KONG LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,CITIBANK N.A.,BOCI SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,HANG SENG SECURITIES LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,TOTAL_CCASS_PCT
2024-03-01,4.148042384731069,3.527444398797181,3.870504103630897,1.4770096622697766,0.7659036755795201,1.5120591856053516,2.1949744352873464,0.0,3.694352335444269,3.0996460684406895,24.289936249786102
2024-03-04,4.148042384731069,3.5440060664761455,3.8700639264168384,1.4795957034023723,0.7654910094413399,1.5158832251524879,2.19844083084806,0.0,3.694352335444269,3.094281408644347,24.31015689055693
2024-03-05,4.148042384731069,3.5221708006619967,3.853117103675572,1.4832546764942367,0.7655185205172186,1.5125818960470465,2.200834294449505,1.6670034907293823,3.6930593148779716,3.0940613200373175,25.93964380222132
2024-03-06,23.41955103774561,3.5194802449521383,3.859142029293003,1.4900499122362703,0.7658486534277628,1.5121142077571088,2.2037229574167663,1.671570329325243,3.6864566566670884,3.0704017947816538,45.19833782360265
2024-03-07,23.41955103774561,3.51777455824766,3.8629110466883816,1.48589573977859,0.7658486534277628,1.5121142077571088,2.2037229574167663,1.6752017913412287,3.6843107927485512,3.0696589957329294,45.196989780884586
2024-03-08,23.41955103774561,3.52698694462747,3.861122826756268,1.4869411606619798,0.7654359872895825,1.5121142077571088,2.2037229574167663,1.6768524558939495,3.6808443971878377,3.0693838849741426,45.202955860310716
2024-03-11,23.41955103774561,3.5337821803695038,3.8535297698137523,1.481328901182729,0.7654359872895825,1.5145626935103114,2.2037229574167663,1.678283031839641,3.6806793307325663,3.068916196684205,45.199792086584665
2024-03-12,23.41955103774561,3.5445170021773644,3.857023676450345,1.480751168589277,0.7654359872895825,1.5238064150055475,2.2059238434870605,1.6799336963923617,3.67622253644022,3.068916196684205,45.22208156026157
2024-03-13,23.41955103774561,3.545012201543181,3.8543000799383553,1.4784445849654568,0.7656835869724906,1.5285383200566802,2.2059238434870605,1.679383474874788,3.6722334304378115,3.0688886856083264,45.21795924562976
2024-03-14,23.41955103774561,3.5456862229022086,3.8573262982850105,1.458554077105172,0.7656835869724906,1.5257872124688123,2.2045482896931268,1.6792734305712733,3.6696473893052155,3.066357666627488,45.192415211676405
2024-03-15,23.41955103774561,3.5470342656202636,3.8567485656915577,1.4669174441722903,0.7656835869724906,1.526337433986386,2.2045482896931268,1.6792184084195159,3.6696473893052155,3.0585170100020647,45.19420343160852
