date,BOCI SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,BANK OF CHINA (HONG KONG) LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,DEUTSCHE BANK AG,CITIBANK N.A.,BNP PARIBAS,STANDARD CHARTERED BANK (HONG KONG) LTD,TOTAL_CCASS_PCT
2024-03-01,57.3853475696619,5.515875369879857,5.1754979763268265,2.668785924595839,2.3046588517278157,0.0,1.0108138466266157,1.1712392372539713,1.0623650059631893,76.29458378203601
2024-03-04,57.38898044872158,5.464347669366979,5.170865351479417,2.6678249013562167,2.306204937467164,0.0,1.0092931065551254,1.1765618275041867,1.0633506708243403,76.247428913275
2024-03-05,57.39124043743893,5.538489492870171,5.180707919164339,2.664839744919588,2.3000093297685003,0.0,0.9946175987611543,1.175854922746696,1.0641110408600856,76.30987048652946
2024-03-06,57.395028206691066,5.539311847144756,5.1897056312539895,2.669218913088416,2.304261769598038,0.0,0.998776442671662,1.171672887550098,1.0762206377256551,76.34419633572368
2024-03-07,57.400753328389655,5.524449612183303,5.171977744679858,2.6706270057472032,2.322679621574974,0.0,0.996512539456717,1.1718066563526828,1.0824584882040824,76.34126499658848
2024-03-08,57.403414623514756,5.511302757941564,5.168795455271,2.6715563469020025,2.3237920147754156,0.0,1.0173614634090495,1.1730133917612633,1.083247020093003,76.35248307366807
2024-03-11,57.39752879620104,5.529340424900628,5.159882228740877,2.694789875771991,2.331916709416618,0.0,0.9966733718002039,1.1709899626105862,1.0849648931367235,76.36608626257866
2024-03-12,57.40216142104843,5.536592102093382,5.15251790413542,2.7050971140343134,2.338196802674809,0.0,0.9741997764572361,1.178692229454152,1.0864152285752744,76.37387257847303
2024-03-13,57.39717677303633,5.529568409183012,5.141562943250056,2.7105745944769954,2.339506328847481,0.0,0.9925697392028471,1.1753726087682814,1.0870207084185528,76.37335210518356
2024-03-14,57.397908981218905,5.572276887431668,5.151504077421094,2.6937687692186185,2.2919972825400015,0.0,0.9928491611100568,1.174803823819691,1.0870629511983163,76.36217193395835
2024-03-15,57.40040130522496,5.591201737251328,5.154728609609716,2.691966410615371,2.3018961739312753,0.0,0.9618127853378853,1.1727508247231793,1.0873289962252677,76.36208684291897
2024-03-18,57.403470947221116,5.600443739336351,5.153193788611638,2.695500723188927,2.311344475671737,0.0,0.9522222803198125,1.1727085819434155,1.0924966962830165,76.381381232576
2024-03-19,57.40635753717163,5.5580812716967385,5.158262922183272,2.6951839023406996,2.324876246122682,0.0,0.963972827638318,1.1806315673112464,1.0939611126481552,76.38132738711275
2024-03-20,57.40634345624503,5.563461678231524,5.168485674886067,2.707180851793566,2.32091950575149,0.0,0.9583836291240877,1.1777018052398143,1.0953973671601183,76.39787396843171
2024-03-21,57.410455086808696,5.5623780101213205,5.177933976626528,2.7011119724341937,2.3301143508133704,0.0,0.9536748264638375,1.173059323743793,1.09280647666795,76.4015340236797
2024-03-22,57.41022979198329,5.579992812774025,5.175906323197875,2.702294770267575,2.3318885475634423,0.0,0.9434261366942677,1.17542527143372,1.093454199290992,76.41261785320519
2024-03-25,57.407417126897364,5.590961854585977,5.173963155328749,2.695409197166106,2.3321701660951994,0.0,0.9151586765691151,1.1801260479658153,1.0923863018185678,76.3875925264269
2024-03-26,57.401883322748326,5.593694934274829,5.180707919164339,2.6979789662683924,2.3330572644702356,0.0,0.9151599720143612,1.177506995620471,1.0901051917113325,76.3900945662723
2024-03-27,57.39882776167876,5.61118450116646,5.178525375543219,2.6934449079070975,2.338492502133154,0.0,0.9223764750524986,1.1744725277789314,1.0911753421320107,76.40849939339213
2024-03-28,57.392772963245974,5.6143073972269715,5.182763734446168,2.68899533510533,2.336408524998149,0.0,0.9241788336557462,1.1830055692911818,1.0867539311834191,76.40918628915294
2024-04-02,57.39059041962486,5.612231516624754,5.1898746023730435,2.688418017115227,2.3597687822074285,0.0,0.9219596796254977,1.1776266553346149,1.0871200352747037,76.42758970818014
2024-04-03,57.38877398009502,5.586332735889287,5.160713003409562,2.6882912887759365,2.363570632386154,0.0,0.9320225574878138,1.1784624146513112,1.0941745794952276,76.39234119219032
2024-04-05,57.378079516351534,5.617546629902952,5.158108031990805,2.6786036112834806,2.341266444670965,0.0,0.9495070270840199,1.1819162828912706,1.0905839432153202,76.39561148739034
2024-04-08,57.378660044792895,5.562010568342011,5.150279036807948,2.671070315558969,2.3392106293891355,0.0,1.0630204590149284,1.187806109188152,1.0922032497729253,76.44426041286697
2024-04-09,57.36811343077858,5.568134940633066,5.150279036807948,2.674083633848774,2.3392106293891355,0.0,1.1653788964173648,1.207326554040625,1.0845432257091232,76.55707034762462
2024-04-10,57.33979668741037,5.662668086136339,5.131241624061146,2.6590240828630445,2.289705132986321,0.0,1.2150142471251724,1.1917353354287914,1.0800232482744163,76.5692084442856
2024-04-11,57.302140769482754,5.706412976905568,5.073224686287467,2.6132079018736656,2.243721740993711,1.5687425134652724,1.3181030481087956,1.24712891209359,1.061911290346675,78.1345938395575
2024-04-12,57.29646615606784,5.6761506015060785,5.053173446826338,2.6044284441461274,2.232977994007165,1.5687425134652724,1.47260638119831,1.1830790717279704,1.061024191971639,78.14864880091675
2024-04-15,57.295227034528104,5.768003794656515,5.047526995264601,2.6012461547372685,2.2347099479774735,1.5687425134652724,1.3619716538990263,1.1819863918247515,1.0610536915128406,78.12046817786586
2024-04-16,57.294382178932835,5.752928106928916,5.044851619212905,2.598021622548646,2.233442664584565,1.5687425134652724,1.3255303566988799,1.190884087092848,1.0597441653401687,78.06852731480504
2024-04-17,57.29398087252508,5.798384787781581,5.041458115905229,2.59409304403063,2.2179958881176693,1.5687425134652724,1.1806771895133912,1.1880970492933107,1.0600398647985139,77.94346932543068
2024-04-18,57.299416110188005,5.805841018594877,5.005946019050615,2.591966824115861,2.220051703399499,1.5687425134652724,1.2448343265396102,1.1814825481095845,1.0628673148573586,77.98114837832067
2024-04-19,57.30531601842832,5.82442395535513,5.026870275960193,2.591755610217043,2.236934734378357,1.5687425134652724,1.2060003278890197,1.1887060634491626,1.0633179045081704,78.01206740365066
