date,MANGO FINANCIAL LTD,EMPEROR SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,VALUABLE CAPITAL LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,FOSUN INTERNATIONAL SECURITIES LTD,CMB WING LUNG BANK LTD,CITIBANK N.A.
2024-04-03,0.0,0.0,0.0,0.0,0.0,62.246575342465746,37.75342465753425,0.0,0.0,0.0
2024-06-06,0.0,0.0,34.82439287768005,20.613699447930948,16.491691163237146,11.799323704437477,7.045355113698716,6.250832200565092,2.9747054924505694,0.0
2024-06-07,0.0,0.0,34.22889405474346,20.95527449804383,16.505780941498884,11.76764161227197,7.026437793041857,6.292419473228761,3.2235516271712275,0.0
2024-06-11,0.0,0.0,35.08807284776792,20.635978517623926,16.373618306370005,11.665315981223793,6.815803451517111,6.25297786555234,3.168233029944912,0.0
2024-06-12,0.0,0.0,34.78664791422047,20.736649993046687,16.537277655198714,11.618488076856357,6.822851031312857,6.227876629548866,3.2702086998160595,0.0
2024-06-13,0.0,0.0,34.8720496752519,20.754180890904912,16.50354303108701,11.616401742460262,6.794795463663764,6.202267597006806,3.256761599625351,0.0
2024-06-14,0.0,0.0,34.75344780221735,20.65621045649485,16.373092837652607,11.580686898707421,6.796678950507366,6.183198609634346,3.6566844447860576,0.0
2024-06-17,0.0,0.0,34.69349098268316,20.63379710004572,16.45078181411638,11.575890587325482,6.800550880226276,6.186721052084387,3.6587675835185975,0.0
2024-06-18,0.0,0.0,34.70488457578092,20.611009913850197,16.46217540721414,11.575890587325482,6.800550880226276,6.186721052084387,3.6587675835185975,0.0
2024-06-19,0.0,0.0,35.044531764394044,20.37026854409258,16.42099118952048,11.572478142989471,6.63077055390832,6.147174062309222,3.8137857427858823,0.0
2024-06-20,0.0,0.0,35.02879282022743,20.30540022514474,16.450679318463987,11.593400462436563,6.642758573932646,6.1582877700077265,3.8206808297869035,0.0
2024-06-21,0.0,0.0,34.69557209926034,20.595545081752714,16.44093138260327,11.621771867560462,6.652530804909548,6.167347290964412,3.8263014729492504,0.0
2024-06-25,0.0,0.0,34.750229196125495,20.71452686715383,16.294325965625525,11.639914169759107,6.609606601978503,6.158983711183217,3.832413488174328,0.0
2024-06-26,0.0,0.0,34.735478255709296,20.673996007059,16.230188951167715,11.755580014948801,6.611100828118444,6.160376065526055,3.8332798774706855,0.0
2024-06-27,0.0,0.0,34.43375248495698,20.999201727299383,16.272557517021166,11.795917164827179,6.564354949360891,6.116817178716282,3.8173989778181197,0.0
2024-06-28,0.0,0.0,34.472442692232605,21.056505086454987,16.279605443342522,11.752990565865485,6.493077842494757,6.123690113189951,3.8216882564196917,0.0
2024-07-03,0.0,0.0,34.483678820880655,21.056505086454987,16.26836931469447,11.752990565865485,6.493077842494757,6.123690113189951,3.8216882564196917,0.0
2024-07-04,0.0,0.0,34.537602533507524,20.85756192088695,16.288501481488773,11.857535202057631,6.5011130501793675,6.131268202202475,3.8264176096772786,0.0
2024-07-05,0.0,0.0,34.59251087356235,20.77354106874402,16.240811892655007,11.902799440365538,6.513570290342079,6.143016756628048,3.8337496777029627,0.0
2024-07-08,0.0,0.0,34.58861218687881,20.771199824183007,16.250251821213276,11.901457956775504,6.5128361901246645,6.142324418979783,3.8333176018449517,0.0
2024-07-09,0.0,0.0,34.58556106389787,20.7829113272787,16.236860912085636,11.896891725599037,6.516508346853596,6.145787668674385,3.83547895561078,0.0
2024-07-10,0.0,0.0,34.5443498193414,20.785255212878287,16.238692096556136,11.898233450670967,6.517243275172024,6.146480787313438,3.869745358067749,0.0
2024-07-11,0.0,0.0,34.51480828005625,20.79463604450594,16.24602096670235,11.903603378705244,6.520184646890324,6.149254825966216,3.871491857173684,0.0
2024-07-12,0.0,0.0,32.933130637368706,19.9591449407006,15.593285041877111,11.425337988301212,6.258215345961671,5.9021888186011,3.7376016807701,4.191095546419497
2024-07-15,0.0,0.0,32.972995646990846,19.950502618977062,15.575708125120935,11.420390810103529,6.255505534965475,5.899633167304666,3.735983297001877,4.189280799535607
2024-07-16,0.0,0.0,33.07084699464625,19.91816046115459,15.550458033932744,11.401876986716273,6.245364610140916,5.879261687937111,3.7515417526197976,4.18248947285232
2024-07-17,0.0,0.0,33.06021663028261,19.905252940088484,15.540380905321793,11.394488253821676,6.241317440452324,5.87545176310805,3.8031129633904817,4.179779103534587
2024-07-18,0.0,0.0,33.175591934824794,19.840622298583025,15.523614683031495,11.382194956500866,6.234583801410367,5.869112849608029,3.7990098569268884,4.175269619114536
2024-07-19,0.0,0.0,33.175591934824794,19.840622298583025,15.46967063110495,11.382194956500866,6.234583801410367,5.869112849608029,3.852953908853433,4.175269619114536
