date,CHONG HING BANK LTD,THE BANK OF EAST ASIA LTD,HANG SENG BANK LTD,SHANGHAI COMMERCIAL BANK LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,HANG SENG SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD
2024-03-01,0.0,0.0,0.0,0.0,0.0,68.6983599583395,31.301640041660505,0.0,0.0,0.0
2024-03-05,0.0,0.0,0.0,0.0,0.0,68.71601574147019,31.283984258529806,0.0,0.0,0.0
2024-03-07,0.0,0.0,0.0,0.0,34.97886494974268,44.67993339641742,20.341201653839907,0.0,0.0,0.0
2024-03-08,0.0,0.0,0.0,0.0,32.60185495155832,41.663585666500296,18.96796465977433,6.766594722167049,0.0,0.0
2024-03-11,0.0,0.0,0.0,0.0,32.4716372888684,41.746591954130174,19.001694960202943,6.780075796798478,0.0,0.0
2024-03-12,0.0,0.0,0.0,0.0,30.9400398778269,39.792827706189726,18.112404828344843,6.46276439315944,4.691963194479089,0.0
2024-03-13,0.0,0.0,0.0,0.0,30.8927042204094,39.81982608712226,18.121304845702888,6.471896129951263,4.69426871681419,0.0
2024-03-14,0.0,0.0,0.0,0.0,30.883441780354755,39.825163132190475,18.123733641359728,6.472763557178263,4.69489788891678,0.0
2024-03-15,0.0,0.0,0.0,0.0,30.878294907392185,39.828128775455056,18.125083253624318,6.473245561673331,4.695247501855111,0.0
2024-03-18,0.0,0.0,0.0,0.0,30.864229008323186,39.83433955707087,18.129943522519604,6.474981372406706,4.696506539679634,0.0
2024-03-19,0.0,0.0,0.0,0.0,30.838569098149826,39.83968109288906,18.141314217644045,6.483299279481523,4.697136311835544,0.0
2024-03-20,0.0,0.0,0.0,0.0,30.838109631744725,39.83908751816794,18.141043928695133,6.484692592581115,4.6970663288110845,0.0
2024-03-21,0.0,0.0,0.0,0.0,30.838867758655265,39.840066925942914,18.14148990977996,6.48485201285751,4.694723392764357,0.0
2024-03-22,0.0,0.0,0.0,0.0,30.833715060832873,39.84303512237695,18.142841501526995,6.4853351524731035,4.695073162790073,0.0
2024-03-25,0.0,0.0,0.0,0.0,30.823172460794652,39.85226686533378,18.143652553249005,6.485625070799449,4.695283049823112,0.0
2024-03-27,0.0,0.0,0.0,0.0,30.813893840816338,39.85761221077201,18.146086143557337,6.486494981324323,4.695912823529998,0.0
2024-04-02,0.0,0.0,0.0,0.0,30.808737976337696,39.86058246677295,18.147438420281198,6.486978365791547,4.696262770816609,0.0
2024-04-03,0.0,0.0,0.0,0.0,30.810723873073435,39.84790471460268,18.151501431482757,6.49332721463972,4.696542766201404,0.0
2024-04-05,0.0,0.0,0.0,0.0,30.797195766834555,39.84968662005873,18.16274724735165,6.493617581103768,4.696752784651298,0.0
2024-04-09,0.0,0.0,0.0,0.0,30.76337304541471,39.84229244433391,18.155981470774762,6.491198653772392,4.747154385704235,0.0
2024-04-10,0.0,0.0,0.0,27.837249609473492,22.197462603522105,28.752579315871706,13.102441282095153,4.684436880945911,3.42583030809163,0.0
2024-04-11,0.0,0.0,0.0,27.84563346390228,22.17403050599547,28.761238843763948,13.106387396093911,4.6858477113060095,3.426862078938381,0.0
2024-04-12,0.0,0.0,0.0,27.850126892150968,22.16147178973358,28.765880022541772,13.10850236365032,4.6866038629124125,3.427415069010947,0.0
2024-04-15,0.0,0.0,0.0,27.881321256460705,22.159369411448044,28.71301711929953,13.123184932238619,4.691853233187861,3.4312540473652446,0.0
2024-04-16,0.0,0.0,0.0,27.88235816798752,22.156962402962073,28.71359706269691,13.123672985928744,4.692027724082854,3.4313816563418933,0.0
2024-04-17,0.0,0.0,0.0,27.940437590035838,21.870696458844364,28.773407969374254,13.264334569202704,4.701801296920832,3.4493221156220057,0.0
2024-04-18,0.0,0.0,0.0,27.945263327201047,21.857202343636782,28.77837757315229,13.26662552087789,4.702613369286873,3.449917865845118,0.0
2024-04-22,0.0,0.0,0.0,27.961864520054014,21.81078075015331,28.79547368674026,13.274506706544365,4.705407008786433,3.4519673277216167,0.0
2024-04-23,0.0,0.0,0.0,27.963042444480628,21.77389407499041,28.796686727873738,13.276254081979019,4.705605229253771,3.4845174414224362,0.0
2024-04-24,0.0,0.0,0.0,27.094250024871062,21.067042914032793,27.901290766273547,12.860630244794233,4.559405324112271,3.418119762983291,3.099260962932801
2024-04-25,0.0,0.0,0.0,27.085178901099884,21.059989692275757,27.8919494461896,12.855278274159215,4.5578788404495,3.4515015119019132,3.0982233339241314
2024-04-26,0.0,0.0,32.83689318023843,18.18534946713224,14.1336350967781,18.72702594472972,8.631204865452252,3.060220493469059,2.345482585700394,2.0801883664998027
2024-04-29,0.0,0.0,32.83943071633056,18.18675477610492,14.134727301481337,18.728473112827274,8.624144160467878,3.0604569780813353,2.3456638375223013,2.0803491171843898
2024-04-30,0.0,0.0,32.84402580798359,18.189299576768157,14.119139709382495,18.730450820040573,8.62956660091009,3.060885215721503,2.345992056985474,2.0806402122081225
2024-05-02,0.0,0.0,32.867349876541915,18.202216643416342,14.061667297249766,18.73531479968032,8.640616664183556,3.0630588925124678,2.34765805493269,2.0821177714829346
2024-05-03,0.0,0.0,32.90019821521113,18.220408331492173,13.991262669467632,18.738452523852157,8.649355040352402,3.0661201796634834,2.350004355049907,2.084198684911117
2024-05-06,0.0,0.0,32.902513953408764,18.221690806912953,13.992247469048014,18.732732787203204,8.64996384038822,3.066335993913967,2.3501697642311523,2.084345384893729
2024-05-07,0.0,0.0,32.90645145659187,18.223871429513867,13.981954766191269,18.734974567119544,8.686196586413194,3.0667029478723666,2.315253424032922,2.0845948222649686
2024-05-08,0.0,0.0,32.90367194475986,18.222332112327685,13.976550397368861,18.69678967768091,8.734735351461374,3.0664439124324585,2.3150578613392447,2.0844187426296097
2024-05-14,0.0,0.0,32.903132658047,18.222033450780064,13.976321323606713,18.69648323983826,8.736703832698462,3.066393653833343,2.3150199178554227,2.0839119233407377
2024-05-17,0.0,0.0,32.89907184221323,18.21978453658915,13.974596403748215,18.70754785474887,8.734595217996224,3.0660152078041625,2.314734204344931,2.0836547325552153
2024-05-22,0.0,0.0,32.89164103347988,18.219187466561507,13.97144000609967,18.711836423336848,8.743176887044102,3.065322696699533,2.314211382691374,2.083184104087086
