date,CMB WING LUNG BANK LTD,CINDA INTERNATIONAL SECURITIES LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,CHINA SECURITIES (INTERNATIONAL),THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,FULBRIGHT SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,HANG SENG SECURITIES LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD
2024-03-01,37.13676571156883,0.0,37.958277552166024,0.0,6.794591861136682,6.871172958677671,0.07201984094763822,8.37736350332815,2.7898085721750125,0.0
2024-03-04,36.884035720574715,0.0,37.69386517078902,0.0,6.645705838207165,6.556308137976592,0.0715181601844585,9.369609661367281,2.7789573109007755,0.0
2024-03-05,36.74010729077956,0.0,37.665264996111155,0.0,7.0115426847649305,6.887587481681404,0.07123862246179696,8.979643796344375,2.644615127856776,0.0
2024-03-06,36.505086628217576,0.0,37.43158418463116,0.0,6.7674515470929455,7.321789298047415,0.011799441271912937,9.355320346122545,2.606968554616444,0.0
2024-03-07,36.751752857056964,0.0,37.68719072845208,0.0,6.785627152590466,7.117317180428147,0.011880015323699126,8.962061403912067,2.6841706622365806,0.0
2024-03-08,26.72717072724131,28.11287397935563,26.309288169668214,0.0,5.356482762100417,5.178076703828436,0.008602027881966304,6.363963450272557,1.943542179651467,0.0
2024-03-11,26.68653889899354,28.070135543673914,26.269291624985634,0.0,5.262450092871293,5.096339786365449,0.008588950698337348,6.691834433724503,1.9148206686873286,0.0
2024-03-12,26.815336991902246,28.21977990505821,26.409162834270095,0.0,5.1955225465058765,5.419680374837757,0.008634739149918358,5.998219123043182,1.9336634852327172,0.0
2024-03-13,26.755986363344093,28.172198330454563,26.278432353640447,0.0,4.867815676441528,6.19566821194543,0.008620180053907434,5.809667755365524,1.9116111287545126,0.0
2024-03-14,26.994569104961595,26.991529706401852,26.21338596390761,0.0,4.827576597154662,6.866415928424541,0.008691445695583075,6.099146401297871,1.9986848521562837,0.0
2024-03-15,26.87031743791805,26.884604109719092,26.10954294479182,0.0,5.08045580388861,6.909163645645468,0.008657014967604897,6.205359582898647,1.9318994601707087,0.0
2024-03-18,26.665970847348774,26.68771527264634,25.987079175977044,0.0,5.043249191846086,7.193715534359743,0.05156169299505251,6.43576981903262,1.9349384657943371,0.0
2024-03-19,26.63392740495961,26.6556457008414,25.955851530855668,0.0,5.037188918779028,7.212537655403365,0.008583288891352332,6.5894020401667435,1.906863460102834,0.0
2024-03-20,26.658744435373933,26.683028305312483,26.002277100623573,0.0,5.037551903539214,7.229398211901576,0.008592106265630587,6.471585609011105,1.9088223279724914,0.0
2024-03-21,26.64551164167085,26.66978345764932,25.999332058311413,0.0,5.060643144674581,7.249855658997899,0.008587841339727433,6.45841136532236,1.9078748320338463,0.0
2024-03-22,26.522636679365597,26.46780352488384,25.80242969690214,0.0,4.979703048105997,7.403076712613527,0.09375082756412331,6.815014419354556,1.9155850912102141,0.0
2024-03-25,26.50570327687143,26.529847739209693,25.862914182391737,0.0,4.991376164951728,7.454601679092518,0.13719706512138827,6.54702771630848,1.9713321760530236,0.0
2024-03-26,26.536942439226973,26.561115357809967,25.8933957646645,0.0,4.997258914364779,7.489046091935523,0.13735876320376933,6.411227114815546,1.9736555539789424,0.0
