date,NANYANG COMMERCIAL BANK LTD,THE HONGKONG AND SHANGHAI BANKING,EVERBRIGHT SECURITIES INVESTMENT,CHIYU BANKING CORPORATION LTD,BANK OF CHINA (HONG KONG) LTD,BNP PARIBAS,CHINA MERCHANTS SECURITIES (HK) CO LTD,THE BANK OF EAST ASIA LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,ABN AMRO CLEARING HONG KONG LTD
2024-03-01,0.0,69.44284121133609,0.0,0.0,30.5571587886639,0.0,0.0,0.0,0.0,0.0
2024-03-04,0.0,64.53945008121812,0.0,0.0,28.399503676167125,7.0610462426147516,0.0,0.0,0.0,0.0
2024-03-07,53.37565937491967,30.094324549299202,0.0,0.0,13.238994572376706,3.291021503404422,0.0,0.0,0.0,0.0
2024-03-12,53.37673434685585,30.09493064119029,0.0,0.0,13.23724722822993,3.291087783723933,0.0,0.0,0.0,0.0
2024-03-13,53.3800670350423,30.09056597179498,0.0,0.0,13.238073723481063,3.291293269681656,0.0,0.0,0.0,0.0
2024-03-14,51.727601072677174,29.158966443236427,0.0,0.0,12.832561677050178,3.189405984738009,3.091464822298208,0.0,0.0,0.0
2024-03-18,51.71750710767711,29.172790144673616,0.0,0.0,12.830057570427345,3.1887836138622414,3.090861563359689,0.0,0.0,0.0
2024-03-19,51.71775940879031,29.172444617889926,0.0,0.0,12.830120161182169,3.188799170173837,3.0908766419637597,0.0,0.0,0.0
2024-03-20,51.717910790639834,29.17253000787341,0.0,0.0,12.82996257748026,3.188710934809681,3.0908856891968197,0.0,0.0,0.0
2024-03-21,50.36635992590913,28.45719512098121,0.0,0.0,12.494675502829237,3.1053799387304992,3.0101111729382515,0.0,2.566278338611674,0.0
2024-03-22,50.36396714806289,28.460593937946015,0.0,0.0,12.49408191252843,3.1052324100162454,3.009968170201109,0.0,2.5661564212453025,0.0
2024-03-25,50.36817858913639,28.462973816281135,0.0,0.0,12.486764656988896,3.1054920699289728,3.0102198641064883,0.0,2.566371003558123,0.0
2024-03-27,50.36698208539124,28.462297674007914,0.0,0.0,12.488843547208294,3.1054182984923977,3.0101483558756565,0.0,2.5663100390244984,0.0
2024-04-02,50.3670778035989,28.462351764207618,0.0,0.0,12.488867281203675,3.1052341585001058,3.0101540764090995,0.0,2.566314916080599,0.0
2024-04-03,50.36779570175297,28.462282336541183,0.0,0.0,12.487619956892274,3.1052784184009683,3.0101969811029816,0.0,2.5668266053096267,0.0
2024-04-05,50.36329721100646,28.459265221063585,0.0,0.0,12.486504652121848,3.1049060635177943,3.0194294975478586,0.0,2.5665973547424543,0.0
2024-04-09,50.36377573565667,28.4595356255186,0.0,0.0,12.486623292095834,3.1049355646460017,3.019458186524239,0.0,2.5656715955586615,0.0
2024-04-10,50.36382358862183,28.45946765159689,0.0,0.0,12.486635156217229,3.104938514789656,3.019461055451862,0.0,2.5656740333225443,0.0
2024-04-16,45.20477744288545,25.53908942406159,0.0,10.266922555531973,11.189394755275602,2.786797137668456,2.710160890961387,0.0,2.302857793615539,0.0
2024-04-17,45.20504730454176,25.539241886287094,0.0,10.266983846591963,11.189461553272906,2.7868137741775576,2.710177069970515,0.0,2.3022745651582084,0.0
2024-04-18,41.12407088295713,23.220911886446647,9.040424463058692,9.34011126273068,10.179310442015323,2.5352285645183863,2.4655103926776505,0.0,2.0944321055954975,0.0
2024-04-19,41.11431015044502,23.215400440114987,9.058135331104038,9.337894402246992,10.180772640811837,2.534626832069628,2.4649252077255763,0.0,2.093934995481918,0.0
