date,ZHONGTAI INTERNATIONAL SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,FUBON SECURITIES (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,ICBC (ASIA) SECURITIES LTD,BRIGHT SMART SECURITIES INTERNATIONAL,CMB INTERNATIONAL SECURITIES LTD,FULBRIGHT SECURITIES LTD,INTERACTIVE BROKERS HONG KONG LTD
2024-03-01,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-04,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-05,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-07,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-08,0.0,18.47665847665848,81.52334152334151,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-11,0.0,17.82412894050723,78.66003002291222,0.0,0.0,0.0,0.0,0.0,0.0,3.5158410365805484
2024-03-12,0.0,16.127419470037854,71.13777587315192,0.0,6.656667380901364,0.0,2.899792871937719,0.0,0.0,3.178344403971145
2024-03-13,65.31342280267928,5.396970206227643,24.010275370321466,0.0,2.235133123664562,0.0,0.9723189206059588,0.0,1.0227354572299714,1.0491441192711208
2024-03-14,65.22333637192342,5.392697788226263,24.089622415199347,0.0,2.2525548145660412,0.0,0.9715492011706569,0.0,1.0219258264165427,1.048313582497721
2024-03-15,65.14519838987924,5.386237301130918,24.16139543799118,0.0,2.2498562392179413,0.0,0.9895533831704044,0.0,1.0207015526164462,1.0470576959938662
2024-03-18,65.14291190493303,5.385850164115096,24.19080476293155,0.0,2.2496945302954074,0.0,0.9894822587987253,0.0,0.9942739404393972,1.046982438486787
2024-03-19,61.38113190509515,5.074835767659209,22.81418606226155,5.75434002302639,2.1197823780391447,0.0,0.9323430480619455,0.0,0.9368580265029234,0.9865227893536808
2024-03-20,61.31745709582121,5.0650610017364635,22.80630539205737,5.748370656022371,2.2077892790293845,0.0,0.9336310127866856,0.0,0.9358861601605664,0.9854994023859458
2024-03-21,61.29483104528752,5.05173463177115,22.84664457518992,5.746038186695521,2.2068934424381776,0.0,0.9332521809697708,0.0,0.9355064132909537,0.9850995243569802
2024-03-22,61.28966822935449,5.050937612693834,22.84754778218536,5.745131626397403,2.2065452578434908,0.0,0.933104940497656,0.0,0.9421204471691308,0.9849441038586368
2024-03-25,61.386518578716874,4.6954715788523185,23.03941487200325,5.754210122353154,2.210032055623279,0.0,0.9345794392523363,0.0,0.9616686983610998,1.0181046548376902
2024-03-26,61.397606683224204,4.69631971099571,23.057123504177017,5.755249491984647,2.178821404380221,0.0,0.9347482501693384,0.0,0.9618424023481599,1.0182885527207044
2024-03-27,61.392062130311096,4.695895606628437,23.064071883325056,5.754729760238407,2.1786246444213666,0.0,0.9346638370885446,0.0,0.9617555425114012,1.018196595475685
2024-03-28,61.49340810926935,4.703647588249926,22.92802062368558,5.764229664638973,2.1867438547296536,0.0,0.9362067795843605,0.0,0.9678659460437349,1.0198774337984216
2024-04-02,61.478115391571706,4.691173810815699,22.95849158979924,5.7627961656719116,2.186200036172907,0.0,0.935973955507325,0.0,0.9676252486887322,1.0196238017724724
2024-04-03,61.49201754782687,4.692234634344896,22.94785400931663,5.764099317081996,2.1799104518113155,0.0,0.9361856089729094,0.0,0.967844059517887,1.019854371127493
2024-04-05,61.44061094918548,4.699609119049232,23.000971553808263,5.7592805982963915,2.1780880724824327,0.0,0.9354029688876839,0.0,0.9670349533428229,1.0190017849476942
