date,BRIGHT SMART SECURITIES INTERNATIONAL,ABN AMRO CLEARING HONG KONG LTD,IFAST SECURITIES (HK) LTD,BNP PARIBAS,ICBC (ASIA) SECURITIES LTD,INTERACTIVE BROKERS HONG KONG LTD,THE HONGKONG AND SHANGHAI BANKING,BOCI SECURITIES LTD,HANG SENG SECURITIES LTD
2024-03-22,0.0,33.44032681645754,0.0,66.55967318354246,0.0,0.0,0.0,0.0,0.0
2024-03-26,0.0,29.26322043969103,0.0,70.73677956030897,0.0,0.0,0.0,0.0,0.0
2024-03-28,0.0,26.31578947368421,0.0,73.68421052631578,0.0,0.0,0.0,0.0,0.0
2024-04-09,0.0,18.941421349985134,0.0,81.05857865001487,0.0,0.0,0.0,0.0,0.0
2024-04-15,0.0,17.248849174113186,0.0,75.76496073652856,0.0,6.986190089358245,0.0,0.0,0.0
2024-04-16,0.0,17.248849174113186,0.0,77.93122122935283,0.0,4.819929596533983,0.0,0.0,0.0
2024-04-18,0.0,21.500128435653735,0.0,73.92756229129206,0.0,4.5723092730542,0.0,0.0,0.0
2024-04-22,0.0,21.479958890030833,0.0,73.94655704008221,0.0,4.5734840698869474,0.0,0.0,0.0
2024-04-26,0.0,21.919841662543295,0.0,73.67639782285997,0.0,4.403760514596734,0.0,0.0,0.0
2024-05-06,0.0,21.52129355499886,0.0,67.82054201776361,0.0,4.053746299248463,2.0496470052379867,0.0,4.554771122751082
2024-05-10,0.0,26.36752136752137,0.0,63.63247863247863,0.0,3.8034188034188032,1.9230769230769231,0.0,4.273504273504273
2024-05-14,0.0,25.4537689515268,0.0,63.591714712790946,0.0,3.8009822763185994,2.8827674567584882,0.0,4.270766602605168
2024-05-16,0.0,18.294243070362473,5.56503198294243,63.49680170575694,0.0,3.795309168443497,4.584221748400854,0.0,4.264392324093817
2024-05-21,0.0,16.58848614072495,5.56503198294243,63.49680170575694,0.0,3.795309168443497,6.28997867803838,0.0,4.264392324093817
2024-05-24,0.0,28.501280956447484,5.572160546541418,51.494449188727586,0.0,3.800170794192997,6.362083689154568,0.0,4.269854824935952
2024-05-29,0.0,28.47073900042717,5.574540794532251,51.51644596326356,0.0,3.8017941050832977,6.364801366937206,0.0,4.271678769756514
