date,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,BOCI SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,HANG SENG SECURITIES LTD,UOB KAY HIAN (HONG KONG) LTD,ICBC (ASIA) SECURITIES LTD,TOTAL_CCASS_PCT
2024-03-01,19.879574298548448,13.347769799535255,9.943410856859671,9.270205089064811,5.186097950923985,2.7652038402646264,0.0,0.0,0.0,0.0,60.392261835196805
2024-03-04,19.92348636569011,13.350036466042864,9.885388777880864,9.270589907569459,5.146205227548164,2.7652038402646264,0.0,2.389362039630773,0.0,0.0,62.730272624626856
2024-03-05,20.019862022298977,13.16254433905534,9.943111553578278,9.269563724890395,5.220945532673406,2.7660589924971806,2.5191202739418603,2.3936378007935444,0.0,0.0,65.29484423972897
2024-03-06,20.080064739470796,13.141336563687995,10.007889335194264,9.269563724890395,5.152960930185342,2.7660589924971806,2.5207450631837136,2.3991962903051474,1.8649159887543547,0.0,67.20273162816919
2024-03-07,20.294622434618663,12.961322315398041,9.885217747434353,9.265287963727625,5.138904450877954,2.7730208723376286,2.5198471533395317,2.40475477981675,1.8644884126380779,0.0,67.10746613018863
2024-03-08,20.271191263446674,12.99629859755846,9.871364281266976,9.259515686157883,5.084901587392152,2.7730208723376286,2.521129881688363,2.40475477981675,1.8644884126380779,0.0,67.04666536230297
2024-03-11,20.23749826548404,13.064283200046528,9.873160100955339,9.26045635361369,5.023843717987777,2.768916141621368,2.521129881688363,2.40475477981675,1.8640608365218005,0.0,67.01810327773565
2024-03-12,20.23779756876543,13.1142961797609,9.882139199397159,9.26028532316718,4.963127909476424,2.768916141621368,2.521985033920917,2.405652689660932,1.8640608365218005,0.0,67.01826088229211
2024-03-13,20.17870654949593,13.11412514931439,9.858152179274011,9.26028532316718,5.057531798825078,2.7706264460864762,2.521129881688363,2.405652689660932,1.8640608365218005,0.0,67.03027085403417
2024-03-14,20.149246555084435,12.887196437151887,9.939947490317827,9.258660533925328,5.056120797641364,2.7671630795446314,2.512920420255842,2.407705055019062,1.8640608365218005,0.0,66.84302120546218
2024-03-15,20.13086078208452,12.8936955941193,9.906468280413328,9.25695022946022,5.056163555252991,2.7671630795446314,2.512920420255842,2.407918843077201,1.8640608365218005,0.0,66.79620162072983
2024-03-18,20.113116373259018,13.188933310769285,10.051673129501044,9.261140475399737,4.7230390030614755,2.7652389870213847,2.5128349050325864,2.4101849964934696,1.8640608365218005,0.0,66.8902220170598
2024-03-19,20.40882801527629,9.32329503478475,10.177294992463265,9.268836845492725,6.169942000197737,2.768659595951602,2.5164265444093146,2.4133918173655484,1.8640608365218005,0.0,64.91073568246303
