date,HAITONG INTERNATIONAL SECURITIES CO LTD,EVERBRIGHT SECURITIES INVESTMENT,YUE XIU SECURITIES CO LTD,BOCI SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD
2024-03-05,93.3452984300267,0.0,0.0,0.0,6.6547015699733,0.0,0.0
2024-03-06,86.86924247543762,0.0,0.0,0.0,6.192173739183428,0.0,6.938583785378954
2024-03-08,86.87033777554271,0.0,0.0,0.0,6.191242002626212,0.0,6.938420221831085
2024-03-12,86.80973245180101,0.0,0.0,0.0,6.256750649545537,0.0,6.933516898653447
2024-03-13,86.81308039406598,0.0,0.0,0.0,6.248800388063556,0.0,6.938119217870466
2024-03-14,86.85137325446513,0.0,0.0,0.0,6.207509934896208,0.0,6.941116810638652
2024-03-18,80.88054209713955,0.0,0.0,0.0,5.781280352554958,6.874480323619703,6.463697226685783
2024-03-19,80.88037003533086,0.0,0.0,0.0,5.781842682967468,6.874279179660736,6.463508102040932
2024-03-20,80.88005812762721,0.0,0.0,0.0,5.805122903520492,6.851452703032194,6.46336626582011
2024-04-03,80.87946651712241,0.0,0.0,0.0,5.805080440993007,6.851402586953076,6.464050454931507
2024-04-05,80.88005812762721,0.0,0.0,0.0,5.804391431701664,6.851452703032194,6.464097737638939
2024-04-08,80.88078959944603,0.0,0.0,0.0,5.803659959882834,6.851452703032194,6.464097737638939
2024-04-11,73.6214834364977,0.0,0.0,8.98284473269975,5.276768489697371,6.2357236694164015,5.883179671688779
2024-04-15,73.62236146317902,0.0,0.0,8.982545732665747,5.276592848905974,6.235516109156297,5.882983846092964
2024-04-17,73.62302717664264,0.0,0.0,8.982545732665747,5.2759271354423625,6.235516109156297,5.882983846092964
2024-04-18,73.62418301620505,0.0,0.0,8.98260553108015,5.274630822442681,6.235557620102905,5.883023010169211
2024-04-19,73.610637597666,0.0,0.0,8.980871700248116,5.292249211461449,6.234354027000743,5.88188746362369
2024-04-30,73.61116452153952,0.0,0.0,8.980692376639166,5.292143539622486,6.234229543888089,5.881770018310738
2024-05-02,73.60822500898492,0.0,0.0,8.948387373490126,5.325209685076753,6.233980592575721,5.884197339872481
2024-05-03,73.60840065815015,0.0,0.0,8.94832781793644,5.325174243404633,6.233939102623357,5.884158177885415
2024-05-07,73.60857630497736,0.0,0.0,8.948268263175487,5.32513880220427,6.233897613223258,5.8841190164196275
2024-05-10,73.60955610804383,0.0,0.0,8.948387373490126,5.325209685076753,6.233980592575721,5.882866240813567
2024-05-13,73.60910323143123,0.0,0.0,8.948089603648866,5.325032481433635,6.23377314833644,5.884001535149828
2024-05-14,73.60535998438323,0.0,0.0,8.947553667871446,5.327375494679058,6.21343515785364,5.9062756952126305
2024-05-16,73.6055356362499,0.0,0.0,8.947494123414579,5.327340041895858,6.213393808493191,5.906236389946473
2024-05-20,73.60571128577872,0.0,0.0,8.947434579750224,5.32730458958452,6.213352459683084,5.906197085203452
2024-05-22,73.60588693296974,0.0,0.0,8.947375036878363,5.327269137745033,6.213311111423309,5.906157780983556
2024-05-23,73.60763359455994,0.0,0.0,8.947910951256269,5.324260650813628,6.213683265574139,5.906511537796024
2024-05-27,73.60829910865479,0.0,0.0,8.947910951256269,5.3235951367187795,6.213683265574139,5.906511537796024
2024-05-28,73.60847474797518,0.0,0.0,8.947851402044002,5.323559707678577,6.213641912911405,5.906472229390829
2024-05-29,73.60865038495781,0.0,0.0,8.947791853624341,5.323524279109939,6.21360056079908,5.906432921508833
2024-05-30,73.60949152041054,0.0,0.0,8.947732305997272,5.322823350205011,6.213559209237151,5.906393614150026
2024-05-31,73.61015702121838,0.0,0.0,8.947732305997272,5.3221578493971675,6.213559209237151,5.906393614150026
2024-06-03,73.6098427738296,0.0,0.0,8.947613213120839,5.32275250428318,6.213476507764443,5.906315001001935
2024-06-04,73.61054525261773,0.0,0.0,8.947375036878363,5.322610818097054,6.213311111423309,5.906157780983556
2024-06-06,73.61121072685314,0.0,0.0,8.947375036878363,5.321945343861629,6.213311111423309,5.906157780983556
