date,RUIBANG SECURITIES LTD,BRIGHT SMART SECURITIES INTERNATIONAL,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,YUET SHEUNG INTERNATIONAL SECURITIES LTD,CMB WING LUNG BANK LTD,THE HONGKONG AND SHANGHAI BANKING,ICBC (ASIA) SECURITIES LTD,CNCB (HONG KONG) CAPITAL LTD
2024-03-01,0.0,66.91396890545927,33.08603109454072,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-04,0.0,61.91554974501252,30.644404746459614,7.440045508527859,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-05,0.0,61.89273124893899,30.662765500644092,7.444503250416911,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-06,0.0,61.882263630779065,30.67118820139142,7.446548167829513,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-07,0.0,61.59624085974404,30.568898490271135,7.42171361443924,0.0,0.0,0.0,0.0,0.4131470355455781,0.0
2024-03-08,0.0,61.588395177268254,30.571181091386983,7.422267799006383,0.0,0.0,0.0,0.0,0.41815593233838777,0.0
2024-03-11,0.0,61.51372447506497,30.571181091386983,7.496938501209666,0.0,0.0,0.0,0.0,0.41815593233838777,0.0
2024-03-12,0.0,61.408792882852836,30.575953242692925,7.597066715787062,0.0,0.0,0.0,0.0,0.4181871586671778,0.0
2024-03-13,0.0,60.59640404905471,31.38714479901612,7.598201526611133,0.0,0.0,0.0,0.0,0.418249625318044,0.0
2024-03-14,0.0,60.59338700602947,31.390560974273953,7.597823218668936,0.0,0.0,0.0,0.0,0.4182288010276479,0.0
2024-03-15,0.0,60.59489548998715,31.388852929168205,7.598012367931011,0.0,0.0,0.0,0.0,0.41823921291363364,0.0
2024-03-18,0.0,59.722491511183364,31.34374363028034,7.5939487041815195,0.0,0.0,0.922211119231209,0.0,0.41760503512356634,0.0
2024-03-19,0.0,59.43897721000313,31.349050458236572,7.5958368349602425,0.0,0.0,1.1984266299348076,0.0,0.4177088668652441,0.0
2024-03-20,0.0,57.49083605080754,30.29377622141835,7.357651716945961,0.0,0.0,1.1608471775999847,3.2922781987119896,0.40461063451617724,0.0
2024-03-21,0.0,57.48668252882643,30.293995819325502,7.357120151043723,0.0,0.0,1.165579755517238,3.292040342545588,0.40458140274152066,0.0
2024-03-22,0.0,56.79430587146768,30.411253325108913,7.361020085585412,0.0,0.0,1.6577354562627704,3.293785419638382,0.48189984193685187,0.0
2024-03-25,0.0,60.35617874113186,27.80862879111491,6.726793114229975,0.0,0.0,1.6448165159835648,3.0232035829256154,0.4403792546140736,0.0
2024-03-26,0.0,60.35352089727726,27.809606010031395,6.7264968932611735,0.0,0.0,1.6447440848661528,3.02527225248473,0.4403598620792912,0.0
2024-03-27,0.0,60.350863287493894,27.808381440529818,6.7284024007362495,0.0,0.0,1.6446716601276106,3.025139037503798,0.4425421736086342,0.0
2024-03-28,0.0,60.32562766294588,27.774745589633437,6.763002218387972,0.0,0.0,1.6593894151202506,3.03047642522624,0.4467586886862214,0.0
2024-04-02,0.0,60.47615065339771,27.624484478228144,6.7628533827471315,0.0,0.0,1.6593528963850757,3.0304097325228767,0.44674885671905884,0.0
2024-04-03,0.0,60.41764791330109,27.626916457211774,6.774453399771983,0.0,0.0,1.659498980970785,3.0306765209506246,0.4908067277937468,0.0
2024-04-05,0.0,60.41764791330109,27.620313676120382,6.781056180863379,0.0,0.0,1.659498980970785,3.0306765209506246,0.4908067277937468,0.0
2024-04-09,0.0,60.421637421751875,27.624338577755083,6.7815039487238185,0.0,0.0,1.6596085612910612,3.0220723536506986,0.49083913682746233,0.0
2024-04-10,0.0,60.4032016624694,27.63018861278904,6.789003751122695,0.0,0.0,1.659827765352306,3.026874240529736,0.4909039677368226,0.0
2024-04-11,0.0,60.33017455480598,27.63505539605094,6.856252091663291,0.0,0.0,1.6601201275254083,3.027407394359995,0.4909904355943847,0.0
2024-04-12,37.95672079955111,37.428132293504866,17.193222139997346,4.220575917507665,0.0,0.0,1.0219377783560626,1.8771668740360035,0.3022441970469522,0.0
2024-04-16,37.95723525489154,37.4286395844967,17.170413822641244,4.242319098297108,0.0,0.0,1.0219516294300384,1.8771923166586248,0.3022482935847461,0.0
2024-04-17,37.977309896476065,37.41046413547885,17.179494829227544,4.3571182537895945,0.0,0.0,1.0224921143346883,1.7507126254722585,0.302408145221002,0.0
2024-04-18,36.49839566059425,35.880640276087135,16.510490112004003,4.236967837621563,3.720868402463723,0.0,0.9826741770429588,1.690355978282119,0.47960755590425574,0.0
2024-04-19,36.44682989124177,35.15669977913391,17.329613850711272,4.387227450200455,3.7356201521987167,0.0,0.989186982508662,1.7480870484544608,0.2067348455507521,0.0
2024-04-22,36.467825048702316,35.1926621839586,17.077756132302728,4.549477366513751,3.7377720522005067,0.0,0.9871383983744946,1.7805148830096984,0.20685393493789145,0.0
2024-04-23,36.49984144746669,34.98638544776021,17.12026668274031,4.670092799094285,3.7410535750320384,0.0,0.9880050422326293,1.7873194663200351,0.20703553935378705,0.0
2024-04-24,36.546293283511595,34.96531021380664,17.03971744355694,4.723268921940109,3.745814658927503,0.0,0.9892624353174562,1.7830340180323911,0.20729902490737145,0.0
2024-04-25,36.53622667544603,34.97928892409961,17.016660676762935,4.763940954414647,3.74478288129235,0.0,0.9889899448316749,1.762868018373702,0.20724192477905123,0.0
2024-04-26,36.533351520222865,34.98440561660113,17.01532158005598,4.763566064313388,3.744488192074538,0.0,0.9889121179769533,1.7627292925212539,0.2072256162338974,0.0
2024-04-29,36.55732498287298,34.93649222918969,17.031736824007748,4.766691952532567,3.7469453536565203,0.0,0.9895610496171684,1.763886008866677,0.20736159925664804,0.0
2024-04-30,36.535268240090026,34.853767113405574,17.06343272815032,4.841201761772475,3.7446846463994627,0.0,0.9889640011857074,1.7654450206843,0.20723648831212438,0.0
2024-05-02,42.07332046164735,31.386771694488445,15.942433711619666,4.442898344174759,3.4365957118989265,0.0,0.9075983071004521,1.6201953864153957,0.1901863826550019,0.0
2024-05-03,42.076359328954716,31.385427300217643,15.926732024884918,4.456461025828695,3.4368439299678344,0.0,0.9076638610142722,1.6203124097151331,0.19020011941678383,0.0
2024-05-06,42.09460175541703,31.34604453094139,15.927615542473964,4.500544352702013,3.4383339916950084,0.0,0.908057383445897,1.5945198616477025,0.1902825816769917,0.0
2024-05-07,42.09764369781906,31.323017184481454,15.946832650033002,4.500869581974361,3.4385824609410753,0.0,0.9081230036951212,1.5946350887166318,0.19029633233929594,0.0
2024-05-08,42.236008332890265,31.209670792832938,15.631902789391516,4.549497078171598,3.4498842385604016,0.0,0.911107781392134,1.67237820881527,0.33955077794587485,0.0
2024-05-09,41.72473803811109,30.756876423307954,15.978149705758158,4.641234863813989,3.484282286665511,0.0,0.9201922396307516,1.6768489883987436,0.8176774543137977,0.0
2024-05-10,41.773679979082004,30.359198176028855,16.298687493432578,4.646678901414164,3.4883692515218083,0.0,0.9212715991759873,1.6824814218373136,0.8296331775072883,0.0
2024-05-13,41.83501910101636,30.124786780775153,16.441313014387557,4.631476419238553,3.493491460218248,0.0,0.9226243646250645,1.6971883206034013,0.8541005391356697,0.0
2024-05-14,41.55342040440546,30.139421452392494,16.70217090024045,4.6339146233368105,3.4953305811430893,0.0,0.9231100729183501,1.6980817919598827,0.8545501736034593,0.0
2024-05-16,41.570696279452704,30.18044066334732,16.631953973419062,4.613929509546399,3.49781432547928,0.0,0.9237660250127415,1.726241815972086,0.855157407770416,0.0
2024-05-17,41.56863033440193,30.100830367734282,16.69117574973285,4.627314882895601,3.498671607697813,0.0,0.9239924315951492,1.726664902012686,0.8627197239296884,0.0
2024-05-20,41.240635417755804,29.92046335989418,17.288945841651326,4.590803317633499,3.4710655380941846,0.0,0.9167017217944011,1.7130407506741527,0.8583440525024497,0.0
2024-05-21,41.240134026484334,29.904294585933055,17.294814497814045,4.60290520398189,3.4710233379208386,0.0,0.9166905768099167,1.7105883840471525,0.8595493870087682,0.0
2024-05-22,41.23762725298879,29.856280407598586,17.346038167994614,4.602625417287685,3.4708123524448866,0.0,0.9166348559521695,1.710484406266184,0.8594971394670874,0.0
